customer_id,region,age_group,gender,membership_level,registration_date
C0117,西南,18-25,男,钻石,2022-05-27
C0118,华东,26-35,女,银卡,2022-09-29
C0119,西北,46-55,男,银卡,2022-05-23
C0120,华北,36-45,男,银卡,2022-09-10
C0121,西南,26-35,女,普通,2023-07-29
C0122,西北,26-35,女,普通,2023-07-06
C0123,华南,26-35,女,银卡,2022-09-27
C0124,华东,26-35,女,钻石,2023-08-22
C0125,华东,36-45,女,普通,2023-03-15
C0126,华南,26-35,女,银卡,2023-08-21
C0127,西南,26-35,男,普通,2023-02-13
C0128,西北,36-45,男,银卡,2023-01-06
C0129,华东,18-25,男,普通,2022-08-13
C0130,华北,26-35,男,普通,2022-05-22
C0131,华南,36-45,女,金卡,2023-06-06
C0132,华东,46-55,女,普通,2023-05-21
C0133,华东,36-45,男,银卡,2022-04-04
C0134,华南,36-45,男,金卡,2022-02-18
C0135,东北,18-25,女,钻石,2022-04-23
C0136,华南,26-35,男,普通,2022-06-06
C0137,华北,36-45,女,普通,2023-10-05
C0138,华中,26-35,女,普通,2022-06-13
C0139,华南,26-35,女,钻石,2023-11-28
C0140,东北,26-35,女,钻石,2023-03-09
C0141,东北,18-25,女,银卡,2023-09-03
C0142,华南,26-35,男,金卡,2022-03-07
C0143,华北,26-35,女,银卡,2023-01-30
C0144,华南,26-35,女,银卡,2023-01-26
C0145,华南,18-25,男,普通,2023-09-03
C0146,华东,46-55,女,金卡,2023-04-25
C0147,华北,36-45,女,普通,2023-06-26
C0148,华北,36-45,女,金卡,2022-09-15
C0149,华东,46-55,女,金卡,2023-07-21
C0150,华南,26-35,女,银卡,2022-01-12
C0151,西北,18-25,女,普通,2023-11-28
C0152,华东,36-45,女,普通,2022-04-28
C0153,华东,36-45,女,普通,2023-11-30
C0154,华北,36-45,女,普通,2023-07-04
C0155,东北,26-35,女,普通,2022-10-01
C0156,华东,18-25,女,钻石,2023-10-19
C0157,华中,26-35,男,银卡,2022-12-15
C0158,西南,26-35,女,普通,2022-04-25
C0159,华东,36-45,女,普通,2022-10-28
C0160,华中,36-45,男,普通,2023-03-22
C0161,华南,26-35,女,银卡,2022-06-11
C0162,华中,55+,男,银卡,2023-04-10
C0163,华中,36-45,男,钻石,2022-01-04
C0164,华北,26-35,女,普通,2022-09-27
C0165,华东,18-25,男,钻石,2023-05-28
C0166,西南,26-35,女,金卡,2022-07-02
C0167,华南,26-35,女,普通,2023-06-04
C0168,华东,26-35,女,钻石,2022-04-19
C0169,华东,26-35,男,普通,2023-10-03
C0170,华北,26-35,男,金卡,2022-11-02
C0171,华中,26-35,女,普通,2023-10-17
C0172,华东,46-55,女,金卡,2023-06-04
C0173,华北,18-25,女,金卡,2023-09-16
C0174,华东,36-45,男,金卡,2022-07-23
C0175,华中,26-35,女,金卡,2022-06-06
C0176,华东,55+,女,普通,2023-01-18
C0177,华中,18-25,女,普通,2022-06-15
C0178,华南,26-35,男,普通,2023-07-07
C0179,东北,55+,女,普通,2023-06-28
C0180,华东,46-55,女,银卡,2022-01-01
C0181,华南,46-55,女,普通,2023-09-06
C0182,华东,26-35,男,钻石,2022-11-28
C0183,西北,26-35,女,银卡,2023-05-16
C0184,西北,36-45,女,金卡,2022-01-20
C0185,华南,55+,男,普通,2022-04-25
C0186,华中,36-45,女,金卡,2023-01-07
C0187,西南,36-45,女,钻石,2022-11-11
C0188,华北,26-35,男,普通,2022-09-03
C0189,华北,46-55,男,银卡,2022-03-01
C0190,华东,26-35,女,金卡,2022-09-04
C0191,华东,26-35,男,普通,2023-08-04
C0192,西北,26-35,女,银卡,2022-03-22
C0193,西北,36-45,男,普通,2022-03-29
C0194,华中,26-35,女,普通,2023-05-13
C0195,华南,18-25,男,普通,2022-03-12
C0196,华南,36-45,女,普通,2023-06-30
C0197,华中,26-35,女,普通,2022-05-09
C0198,西北,36-45,女,普通,2022-05-12
C0199,西北,26-35,女,钻石,2023-11-07
C0200,西南,26-35,男,银卡,2023-05-02
C0201,华中,36-45,女,钻石,2023-07-17
C0202,华东,18-25,男,普通,2022-06-19
C0203,华东,26-35,男,普通,2022-09-29
C0204,西北,18-25,男,银卡,2023-06-25
C0205,华北,18-25,女,普通,2023-09-14
C0206,华东,55+,女,普通,2023-03-10
C0207,华东,26-35,女,银卡,2022-08-05
C0208,华中,46-55,男,普通,2023-07-07
C0209,华东,26-35,男,银卡,2023-12-08
C0210,华东,36-45,女,银卡,2022-07-25
C0211,华北,46-55,男,普通,2024-01-01
C0212,华中,36-45,女,普通,2022-11-16
C0213,华中,26-35,男,金卡,2023-02-13
C0214,华东,26-35,女,普通,2023-11-19
C0215,华中,26-35,女,普通,2023-10-28
C0216,华东,55+,男,钻石,2023-01-18
C0217,华南,46-55,男,普通,2023-03-25
C0218,华中,55+,女,银卡,2023-06-14
C0219,华中,18-25,女,钻石,2023-04-08
C0220,西南,36-45,男,普通,2022-05-04
C0221,华中,55+,女,普通,2022-09-11
C0222,华北,26-35,男,普通,2022-08-19
C0223,华东,18-25,男,普通,2022-03-07
C0224,华南,36-45,女,普通,2022-12-13
C0225,华南,36-45,男,银卡,2022-01-22
C0226,华东,46-55,女,普通,2023-08-26
C0227,东北,18-25,男,银卡,2023-07-22
C0228,华南,46-55,男,钻石,2022-08-24
C0229,西北,26-35,女,金卡,2023-08-26
C0230,华中,26-35,男,银卡,2022-08-14
C0231,西南,26-35,女,普通,2022-01-08
C0232,华北,46-55,男,银卡,2022-03-14
C0233,华北,36-45,男,银卡,2023-12-26
C0234,华北,36-45,男,普通,2023-10-09
C0235,华东,26-35,女,普通,2022-03-02
C0236,华中,46-55,男,金卡,2022-08-23
C0237,华南,26-35,女,普通,2022-03-11
C0238,华东,46-55,女,普通,2022-02-02
C0239,华中,26-35,女,普通,2022-12-05
C0240,华东,26-35,男,普通,2022-03-14
C0241,东北,26-35,女,金卡,2023-06-11
C0242,东北,26-35,女,银卡,2022-09-01
C0243,西北,36-45,女,金卡,2022-10-13
C0244,华南,36-45,女,普通,2023-11-17
C0245,华东,26-35,女,普通,2023-05-13
C0246,西北,46-55,女,普通,2022-08-08
C0247,华南,26-35,男,普通,2023-07-07
C0248,东北,36-45,男,普通,2022-05-16
C0249,东北,55+,女,金卡,2023-08-08
C0250,西北,36-45,女,普通,2023-08-14
C0251,华南,18-25,女,银卡,2023-04-30
C0252,华南,55+,女,普通,2022-09-06
C0253,西北,36-45,男,普通,2023-04-30
C0254,华南,26-35,男,普通,2023-02-21
C0255,华东,18-25,女,钻石,2022-07-14
C0256,华北,46-55,男,金卡,2022-04-07
C0257,东北,36-45,男,钻石,2022-04-10
C0258,华中,36-45,女,普通,2023-11-06
C0259,华北,46-55,男,普通,2023-03-18
C0260,华东,46-55,女,银卡,2022-12-29
C0261,华北,26-35,男,普通,2023-03-10
C0262,东北,26-35,女,金卡,2023-02-25
C0263,华东,26-35,男,普通,2023-04-24
C0264,华北,36-45,女,普通,2022-02-25
C0265,西北,18-25,男,普通,2023-11-21
C0266,华中,36-45,男,普通,2023-11-01
C0267,华中,46-55,男,银卡,2023-10-24
C0268,华中,46-55,女,普通,2022-04-11
C0269,华南,26-35,女,普通,2022-03-04
C0270,华南,46-55,男,普通,2023-02-17
C0271,西南,18-25,女,普通,2022-12-14
C0272,西南,46-55,女,金卡,2022-04-22
C0273,西北,18-25,女,金卡,2022-09-12
C0274,西北,26-35,男,钻石,2022-07-16
C0275,华北,46-55,女,金卡,2022-07-14
C0276,华北,18-25,男,普通,2023-07-04
C0277,西南,26-35,男,银卡,2023-04-05
C0278,华中,36-45,女,普通,2022-05-24
C0279,华中,36-45,男,普通,2023-03-09
C0280,西南,36-45,女,金卡,2022-07-07
C0281,西北,36-45,女,普通,2022-10-13
C0282,华南,36-45,女,钻石,2023-04-19
C0283,华南,26-35,女,普通,2022-09-13
C0284,华东,26-35,男,银卡,2022-03-19
C0285,华北,26-35,男,银卡,2023-03-30
C0286,华东,55+,女,金卡,2023-07-18
C0287,华北,36-45,男,银卡,2022-04-11
C0288,华北,26-35,男,银卡,2022-02-21
C0289,华南,26-35,男,普通,2023-10-30
C0290,华北,55+,男,银卡,2023-07-08
C0291,华东,26-35,男,普通,2022-01-16
C0292,华东,36-45,男,银卡,2022-04-06
C0293,西南,36-45,女,银卡,2022-08-31
C0294,华南,36-45,女,银卡,2022-06-20
C0295,华东,18-25,女,普通,2023-02-21
C0296,华北,46-55,男,普通,2023-05-13
C0297,西南,55+,男,银卡,2023-05-08
C0298,华东,36-45,男,普通,2022-08-07
C0299,华北,36-45,女,普通,2023-02-15
C0300,华东,55+,女,普通,2022-03-02
C0301,华东,36-45,男,钻石,2022-06-18
C0302,华北,26-35,女,银卡,2023-01-24
C0303,华北,36-45,男,普通,2022-01-03
C0304,华中,36-45,女,普通,2023-02-04
C0305,华中,26-35,女,普通,2022-09-29
C0306,东北,36-45,女,金卡,2023-04-11
C0307,华北,55+,女,银卡,2022-10-20
C0308,华南,55+,女,普通,2023-03-10
C0309,西南,26-35,男,普通,2023-12-15
C0310,华南,18-25,女,普通,2023-07-24
C0311,华南,55+,男,银卡,2023-11-09
C0312,华东,46-55,女,金卡,2023-05-14
C0313,华东,18-25,女,普通,2022-06-08
C0314,东北,55+,女,普通,2022-07-14
C0315,西南,46-55,女,普通,2022-10-31
C0316,华中,36-45,女,钻石,2022-08-11
C0317,华南,36-45,女,普通,2022-03-01
C0318,华东,26-35,女,金卡,2023-08-17
C0319,华东,18-25,男,银卡,2023-07-10
C0320,华南,26-35,男,普通,2022-03-04
C0321,华北,46-55,男,普通,2022-11-18
C0322,华中,18-25,男,普通,2022-02-28
C0323,华中,26-35,女,银卡,2022-02-21
C0324,华南,26-35,男,金卡,2023-08-22
C0325,东北,36-45,女,银卡,2023-05-04
C0326,华中,55+,男,银卡,2023-05-30
C0327,华北,26-35,男,普通,2023-06-28
C0328,华北,26-35,女,钻石,2022-06-11
C0329,华南,36-45,女,金卡,2022-02-28
C0330,华东,26-35,女,普通,2023-06-05
C0331,华南,26-35,女,钻石,2022-03-24
C0332,西南,26-35,女,银卡,2022-07-10
C0333,华东,18-25,男,银卡,2022-03-12
C0334,华东,26-35,女,银卡,2023-09-02
C0335,华东,26-35,女,金卡,2022-03-11
C0336,华东,26-35,女,银卡,2023-11-23
C0337,西北,55+,男,普通,2022-08-29
C0338,华中,26-35,女,普通,2023-02-18
C0339,华北,36-45,男,钻石,2022-05-03
C0340,华东,36-45,男,普通,2023-08-07
C0341,华北,18-25,男,普通,2022-09-10
C0342,华北,36-45,女,普通,2023-08-16
C0343,华东,26-35,女,普通,2023-09-01
C0344,华南,55+,女,银卡,2022-02-10
C0345,华南,18-25,女,钻石,2023-09-27
C0346,华北,26-35,男,普通,2022-03-25
C0347,华中,18-25,男,普通,2023-03-06
C0348,华东,55+,男,普通,2023-11-05
C0349,华南,36-45,女,金卡,2023-08-21
C0350,华北,36-45,男,银卡,2023-08-02
C0351,华北,18-25,女,普通,2023-06-20
C0352,西北,36-45,女,金卡,2022-11-20
C0353,华中,26-35,男,金卡,2022-09-25
C0354,华东,46-55,女,金卡,2022-07-29
C0355,华东,26-35,女,钻石,2023-11-17
C0356,华中,26-35,女,普通,2022-11-18
C0357,华东,18-25,女,金卡,2022-09-02
C0358,华北,26-35,男,普通,2022-09-29
C0359,东北,36-45,男,金卡,2023-02-10
C0360,华北,18-25,女,银卡,2022-05-15
C0361,华南,46-55,女,金卡,2023-11-19
C0362,华中,26-35,男,银卡,2023-10-23
C0363,华北,36-45,女,普通,2022-11-04
C0364,华北,26-35,女,银卡,2023-04-14
C0365,东北,26-35,女,钻石,2022-11-20
C0366,华南,36-45,男,钻石,2022-03-16
C0367,东北,26-35,女,普通,2022-01-10
C0368,西北,26-35,女,普通,2023-04-15
C0369,华东,46-55,男,普通,2023-09-29
C0370,华东,55+,男,银卡,2023-07-31
C0371,华东,26-35,女,金卡,2022-04-13
C0372,华东,26-35,男,普通,2022-03-17
C0373,华东,36-45,女,银卡,2023-07-05
C0374,华中,26-35,女,金卡,2022-08-07
C0375,华东,18-25,男,银卡,2023-06-03
C0376,华南,26-35,女,银卡,2022-09-29
C0377,西南,36-45,男,银卡,2022-05-16
C0378,华东,36-45,女,银卡,2022-12-24
C0379,西南,18-25,男,普通,2022-03-12
C0380,华南,26-35,女,银卡,2022-09-08
C0381,华东,26-35,男,银卡,2023-01-14
C0382,华中,36-45,男,金卡,2022-10-19
C0383,华北,18-25,女,银卡,2022-06-11
C0384,西北,18-25,男,金卡,2023-03-25
C0385,华中,46-55,女,普通,2023-07-11
C0386,西南,26-35,男,普通,2023-12-22
C0387,华南,36-45,女,普通,2022-11-06
C0388,华东,26-35,男,普通,2023-09-19
C0389,西南,18-25,女,银卡,2023-11-01
C0390,西南,26-35,女,钻石,2023-06-26
C0391,东北,36-45,男,普通,2022-01-09
C0392,华南,46-55,男,普通,2023-11-15
C0393,华南,46-55,男,金卡,2023-07-22
C0394,西南,26-35,女,普通,2022-11-03
C0395,华南,36-45,男,银卡,2023-11-11
C0396,东北,26-35,女,银卡,2022-04-17
C0397,西北,26-35,男,银卡,2022-05-18
C0398,华南,46-55,男,普通,2022-09-28
C0399,西南,18-25,女,普通,2022-04-29
C0400,西南,18-25,女,金卡,2022-04-20
C0401,华东,26-35,男,银卡,2023-07-21
C0402,西北,18-25,男,普通,2022-06-09
C0403,华北,26-35,男,金卡,2022-10-06
C0404,西南,36-45,女,普通,2022-10-16
C0405,华南,26-35,女,银卡,2023-09-12
C0406,西北,46-55,女,普通,2022-08-04
C0407,华南,46-55,女,钻石,2022-12-18
C0408,华东,26-35,女,普通,2022-07-28
C0409,西北,26-35,女,普通,2023-12-05
C0410,华东,26-35,女,普通,2023-10-12
C0411,华南,36-45,男,普通,2022-09-28
C0412,东北,26-35,男,金卡,2023-06-02
C0413,东北,36-45,男,钻石,2023-05-16
C0414,华北,26-35,男,普通,2022-09-15
C0415,华中,36-45,女,普通,2022-02-22
C0416,华南,26-35,女,银卡,2022-04-05
C0417,华南,26-35,男,金卡,2023-10-12
C0418,华南,55+,男,银卡,2023-03-10
C0419,华中,46-55,女,普通,2022-10-11
C0420,西南,18-25,女,普通,2022-02-15
C0421,西南,46-55,男,银卡,2022-01-04
C0422,西南,26-35,女,普通,2022-12-08
C0423,华东,46-55,男,银卡,2022-05-14
C0424,华北,46-55,男,普通,2023-10-15
C0425,华东,26-35,女,金卡,2022-09-26
C0426,华北,18-25,女,普通,2022-06-15
C0427,华南,26-35,男,银卡,2023-03-29
C0428,西北,36-45,女,普通,2023-07-19
C0429,华南,36-45,女,银卡,2023-12-24
C0430,华东,26-35,女,普通,2023-03-14
C0431,华东,18-25,女,银卡,2023-07-29
C0432,西南,46-55,女,银卡,2022-01-10
C0433,华北,55+,女,银卡,2022-04-25
C0434,华东,36-45,女,银卡,2022-03-19
C0435,华东,26-35,男,银卡,2023-12-09
C0436,华中,26-35,男,金卡,2022-06-02
C0437,华东,18-25,男,普通,2023-07-13
C0438,西南,55+,女,金卡,2022-02-06
C0439,华中,18-25,男,普通,2023-01-14
C0440,华东,36-45,女,普通,2023-08-20
C0441,华东,26-35,女,普通,2023-07-20
C0442,东北,36-45,男,普通,2022-06-01
C0443,华南,36-45,女,金卡,2023-03-17
C0444,华南,46-55,男,银卡,2022-05-11
C0445,西南,26-35,女,金卡,2022-02-12
C0446,东北,18-25,男,银卡,2022-11-12
C0447,东北,18-25,女,普通,2023-01-09
C0448,西南,55+,女,普通,2022-02-10
C0449,华南,46-55,女,普通,2023-01-02
C0450,华东,36-45,女,普通,2022-08-04
C0451,西南,36-45,女,普通,2023-11-30
C0452,华北,36-45,女,普通,2022-09-13
C0453,华南,26-35,女,银卡,2023-11-14
C0454,西北,55+,女,银卡,2022-04-16
C0455,华东,26-35,男,钻石,2022-12-29
C0456,华北,26-35,女,钻石,2023-07-28
C0457,华东,36-45,女,银卡,2023-02-21
C0458,华北,18-25,女,普通,2023-09-28
C0459,华东,26-35,男,银卡,2022-06-08
C0460,华东,36-45,女,金卡,2022-08-31
C0461,华东,18-25,男,普通,2022-06-16
C0462,华中,36-45,女,普通,2022-07-01
C0463,华中,26-35,男,金卡,2023-02-27
C0464,华北,26-35,女,普通,2022-01-26
C0465,东北,26-35,女,银卡,2022-07-03
C0466,华南,26-35,男,银卡,2022-12-07
C0467,华南,36-45,女,普通,2023-02-26
C0468,西北,26-35,男,普通,2023-11-17
C0469,华东,36-45,女,普通,2022-09-12
C0470,东北,26-35,女,普通,2022-10-01
C0471,华东,36-45,女,普通,2022-06-13
C0472,东北,55+,女,金卡,2023-12-20
C0473,华东,36-45,女,普通,2022-04-21
C0474,西北,26-35,男,银卡,2023-01-27
C0475,华北,18-25,男,普通,2022-02-09
C0476,东北,26-35,女,钻石,2023-04-27
C0477,华东,36-45,女,普通,2022-08-16
C0478,华北,18-25,女,普通,2022-07-24
C0479,东北,26-35,女,金卡,2023-04-17
C0480,华北,36-45,男,金卡,2022-12-25
C0481,华北,26-35,女,普通,2022-11-09
C0482,华中,46-55,男,金卡,2022-08-22
C0483,华北,18-25,女,普通,2022-08-17
C0484,华北,18-25,男,普通,2022-01-25
C0485,华北,36-45,男,普通,2023-11-07
C0486,西北,26-35,男,普通,2022-07-17
C0487,华东,36-45,男,银卡,2023-02-13
C0488,华南,26-35,女,普通,2022-12-03
C0489,东北,26-35,男,普通,2022-10-13
C0490,西北,46-55,男,银卡,2022-03-13
C0491,华北,46-55,男,金卡,2022-10-13
C0492,华北,36-45,男,普通,2022-12-26
C0493,华南,26-35,男,银卡,2023-10-19
C0494,华东,36-45,男,普通,2023-06-06
C0495,华北,26-35,女,金卡,2023-02-14
C0496,华南,18-25,女,银卡,2023-11-27
C0497,华北,55+,女,钻石,2023-07-04
C0498,华东,18-25,女,普通,2022-12-06
C0499,东北,55+,男,普通,2022-01-29
C0500,东北,26-35,女,普通,2022-04-29
