transaction_id,date,customer_id,product_id,quantity,unit_price,discount,total_amount,payment_method,channel
T00000073,2023-10-25,C000476,P0031,1,791.65,0.15,672.9,支付宝,网页
T00000074,2023-11-21,C000202,P0005,6,766.59,0.0,4599.54,信用卡,APP
T00000075,2023-02-21,C000604,P0035,2,914.62,0.15,1554.85,信用卡,网页
T00000076,2023-10-19,C000596,P0001,4,461.62,0.3,1292.54,支付宝,小程序
T00000077,2023-08-15,C000659,P0050,3,740.01,0.2,1776.02,信用卡,APP
T00000078,2023-05-09,C000417,P0049,5,147.02,0.0,735.1,信用卡,小程序
T00000079,2023-04-01,C000520,P0022,4,596.78,0.15,2029.05,银行卡,小程序
T00000080,2023-06-03,C000889,P0017,6,798.65,0.0,4791.9,银行卡,小程序
T00000081,2023-08-14,C000775,P0008,3,779.89,0.0,2339.67,信用卡,网页
T00000082,2023-03-25,C000068,P0012,4,614.43,0.2,1966.18,银行卡,APP
T00000083,2023-08-15,C000654,P0022,9,596.78,0.0,5371.02,支付宝,APP
T00000084,2023-04-20,C000514,P0020,3,925.61,0.0,2776.83,信用卡,APP
T00000085,2023-12-17,C000950,P0020,9,925.61,0.2,6664.39,微信支付,网页
T00000086,2023-03-22,C000785,P0013,4,615.93,0.3,1724.6,微信支付,APP
T00000087,2023-11-09,C000161,P0043,8,861.78,0.1,6204.82,信用卡,小程序
T00000088,2023-05-18,C000956,P0015,3,986.74,0.1,2664.2,银行卡,网页
T00000089,2023-03-16,C000342,P0020,3,925.61,0.3,1943.78,银行卡,网页
T00000090,2023-06-07,C000577,P0028,7,210.19,0.0,1471.33,信用卡,APP
T00000091,2023-07-29,C000662,P0023,3,237.76,0.3,499.3,银行卡,APP
T00000092,2023-12-27,C000214,P0013,5,615.93,0.0,3079.65,支付宝,网页
T00000093,2023-08-07,C000334,P0025,8,476.28,0.0,3810.24,微信支付,小程序
T00000094,2023-09-15,C000877,P0029,3,287.8,0.0,863.4,支付宝,APP
T00000095,2023-03-24,C000741,P0021,4,519.75,0.2,1663.2,信用卡,APP
T00000096,2023-12-04,C000705,P0025,7,476.28,0.15,2833.87,信用卡,APP
T00000097,2023-02-21,C000655,P0004,3,330.99,0.0,992.97,银行卡,网页
T00000098,2023-05-26,C000484,P0008,2,779.89,0.2,1247.82,支付宝,网页
T00000099,2023-07-31,C000895,P0010,3,422.06,0.15,1076.25,微信支付,小程序
T00000100,2023-02-15,C000252,P0029,3,287.8,0.15,733.89,银行卡,小程序
T00000101,2023-09-29,C000707,P0019,1,340.95,0.0,340.95,支付宝,小程序
T00000102,2023-12-31,C000322,P0048,8,651.69,0.1,4692.17,微信支付,APP
T00000103,2023-06-14,C000234,P0030,5,179.49,0.0,897.45,银行卡,网页
T00000104,2023-11-06,C000956,P0048,1,651.69,0.2,521.35,信用卡,网页
T00000105,2023-07-22,C000818,P0032,1,95.61,0.0,95.61,银行卡,APP
T00000106,2023-10-17,C000033,P0028,5,210.19,0.3,735.66,银行卡,小程序
T00000107,2023-09-09,C000589,P0019,3,340.95,0.2,818.28,支付宝,小程序
T00000108,2023-02-08,C000095,P0037,5,484.48,0.3,1695.68,支付宝,小程序
T00000109,2023-03-23,C000867,P0033,1,838.62,0.15,712.83,信用卡,小程序
T00000110,2023-11-29,C000770,P0013,2,615.93,0.1,1108.67,银行卡,网页
T00000111,2023-08-20,C000156,P0048,3,651.69,0.2,1564.06,银行卡,网页
T00000112,2023-09-28,C000710,P0050,4,740.01,0.0,2960.04,信用卡,小程序
T00000113,2023-05-31,C000639,P0001,4,461.62,0.0,1846.48,支付宝,APP
T00000114,2023-06-15,C000155,P0028,5,210.19,0.15,893.31,银行卡,小程序
T00000115,2023-08-23,C000682,P0042,3,193.1,0.15,492.4,银行卡,小程序
T00000116,2023-10-23,C000194,P0010,2,422.06,0.0,844.12,银行卡,APP
T00000117,2023-02-21,C000547,P0002,5,123.04,0.3,430.64,支付宝,APP
T00000118,2023-10-04,C000978,P0023,1,237.76,0.0,237.76,银行卡,APP
T00000119,2023-12-03,C000207,P0014,5,354.38,0.0,1771.9,微信支付,APP
T00000120,2023-07-01,C000141,P0002,5,123.04,0.1,553.68,支付宝,网页
T00000121,2023-04-17,C000051,P0025,4,476.28,0.1,1714.61,信用卡,APP
T00000122,2023-04-16,C000390,P0050,5,740.01,0.3,2590.03,支付宝,APP
T00000123,2023-03-31,C000936,P0033,5,838.62,0.2,3354.48,支付宝,APP
T00000124,2023-04-18,C000964,P0008,4,779.89,0.2,2495.65,银行卡,小程序
T00000125,2023-06-12,C000196,P0027,3,145.04,0.3,304.58,银行卡,网页
T00000126,2023-05-11,C000115,P0033,4,838.62,0.0,3354.48,支付宝,网页
T00000127,2023-08-04,C000985,P0026,1,224.0,0.0,224.0,支付宝,网页
T00000128,2023-11-30,C000235,P0020,2,925.61,0.3,1295.85,信用卡,网页
T00000129,2023-01-09,C000748,P0018,3,63.49,0.0,190.47,微信支付,APP
T00000130,2023-04-01,C000010,P0037,2,484.48,0.15,823.62,微信支付,APP
T00000131,2023-12-22,C000781,P0031,1,791.65,0.3,554.15,微信支付,小程序
T00000132,2023-12-05,C000381,P0019,10,340.95,0.0,3409.5,信用卡,APP
T00000133,2023-03-31,C000989,P0034,2,255.35,0.2,408.56,微信支付,网页
T00000134,2023-02-26,C000031,P0011,4,643.43,0.0,2573.72,银行卡,网页
T00000135,2023-11-17,C000931,P0024,7,740.37,0.0,5182.59,支付宝,网页
T00000136,2023-01-15,C000036,P0031,2,791.65,0.1,1424.97,支付宝,小程序
T00000137,2023-07-13,C000613,P0049,6,147.02,0.0,882.12,支付宝,网页
T00000138,2023-04-25,C000430,P0006,1,281.15,0.0,281.15,信用卡,网页
T00000139,2023-08-01,C000451,P0035,3,914.62,0.3,1920.7,支付宝,网页
T00000140,2023-09-01,C000922,P0031,3,791.65,0.0,2374.95,银行卡,小程序
T00000141,2023-10-04,C000980,P0024,5,740.37,0.2,2961.48,支付宝,网页
T00000142,2023-09-10,C000852,P0048,5,651.69,0.0,3258.45,微信支付,APP
T00000143,2023-09-21,C000825,P0009,2,17.15,0.0,34.3,支付宝,小程序
T00000144,2023-02-18,C000414,P0046,3,519.59,0.15,1324.95,支付宝,APP
T00000145,2023-04-26,C000190,P0017,3,798.65,0.0,2395.95,信用卡,小程序
T00000146,2023-10-30,C000530,P0034,5,255.35,0.0,1276.75,微信支付,网页
T00000147,2023-08-05,C000678,P0024,3,740.37,0.3,1554.78,支付宝,小程序
T00000148,2023-07-17,C000050,P0041,3,976.66,0.0,2929.98,微信支付,小程序
T00000149,2023-01-18,C000166,P0016,4,469.57,0.0,1878.28,支付宝,小程序
T00000150,2023-09-04,C000879,P0031,3,791.65,0.0,2374.95,信用卡,网页
T00000151,2023-04-20,C000637,P0030,3,179.49,0.15,457.7,信用卡,APP
T00000152,2023-05-24,C000787,P0042,5,193.1,0.0,965.5,银行卡,APP
T00000153,2023-05-11,C000827,P0022,4,596.78,0.3,1670.98,信用卡,小程序
T00000154,2023-02-19,C000877,P0043,3,861.78,0.3,1809.74,银行卡,APP
T00000155,2023-07-07,C000658,P0028,1,210.19,0.0,210.19,支付宝,APP
T00000156,2023-08-23,C000124,P0008,8,779.89,0.0,6239.12,银行卡,网页
T00000157,2023-08-20,C000567,P0028,1,210.19,0.15,178.66,微信支付,网页
T00000158,2023-09-19,C000146,P0013,2,615.93,0.3,862.3,支付宝,APP
T00000159,2023-07-01,C000616,P0034,3,255.35,0.15,651.14,支付宝,小程序
T00000160,2023-07-05,C000236,P0035,6,914.62,0.0,5487.72,支付宝,小程序
T00000161,2023-03-26,C000650,P0041,5,976.66,0.0,4883.3,微信支付,小程序
T00000162,2023-11-09,C000879,P0028,3,210.19,0.1,567.51,银行卡,网页
T00000163,2023-09-25,C000916,P0027,4,145.04,0.1,522.14,银行卡,APP
T00000164,2023-06-03,C000077,P0001,5,461.62,0.2,1846.48,银行卡,APP
T00000165,2023-11-10,C000983,P0039,1,141.38,0.1,127.24,微信支付,APP
T00000166,2023-09-04,C000783,P0011,2,643.43,0.1,1158.17,微信支付,小程序
T00000167,2023-08-03,C000606,P0026,2,224.0,0.0,448.0,支付宝,APP
T00000168,2023-05-22,C000915,P0009,4,17.15,0.0,68.6,微信支付,APP
T00000169,2023-08-16,C000689,P0010,5,422.06,0.0,2110.3,支付宝,小程序
T00000170,2023-06-09,C000106,P0034,7,255.35,0.2,1429.96,信用卡,网页
T00000171,2023-03-05,C000761,P0035,5,914.62,0.1,4115.79,微信支付,APP
T00000172,2023-06-24,C000973,P0018,1,63.49,0.0,63.49,支付宝,小程序
T00000173,2023-08-27,C000600,P0028,3,210.19,0.2,504.46,信用卡,网页
T00000174,2023-04-26,C000106,P0034,1,255.35,0.2,204.28,银行卡,APP
T00000175,2023-12-07,C000857,P0032,8,95.61,0.2,611.9,支付宝,网页
T00000176,2023-05-22,C000656,P0017,5,798.65,0.0,3993.25,信用卡,小程序
T00000177,2023-05-09,C000086,P0023,1,237.76,0.0,237.76,信用卡,APP
T00000178,2023-10-27,C000227,P0032,5,95.61,0.1,430.25,银行卡,APP
T00000179,2023-12-29,C000575,P0032,13,95.61,0.1,1118.64,信用卡,APP
T00000180,2023-11-05,C000605,P0007,2,444.27,0.0,888.54,微信支付,网页
T00000181,2023-10-25,C000727,P0044,5,535.61,0.1,2410.25,信用卡,小程序
T00000182,2023-01-21,C000663,P0023,4,237.76,0.3,665.73,信用卡,小程序
T00000183,2023-09-25,C000963,P0003,4,806.41,0.3,2257.95,信用卡,小程序
T00000184,2023-01-14,C000581,P0014,2,354.38,0.0,708.76,银行卡,APP
T00000185,2023-05-30,C000822,P0027,1,145.04,0.2,116.03,信用卡,网页
T00000186,2023-07-03,C000353,P0044,5,535.61,0.0,2678.05,银行卡,网页
T00000187,2023-01-25,C000470,P0021,3,519.75,0.3,1091.47,微信支付,APP
T00000188,2023-10-13,C000885,P0050,5,740.01,0.2,2960.04,银行卡,小程序
T00000189,2023-07-25,C000357,P0049,3,147.02,0.3,308.74,支付宝,网页
T00000190,2023-06-30,C000552,P0040,2,484.99,0.0,969.98,支付宝,小程序
T00000191,2023-02-16,C000416,P0041,3,976.66,0.15,2490.48,信用卡,小程序
T00000192,2023-04-06,C000392,P0049,2,147.02,0.0,294.04,信用卡,网页
T00000193,2023-06-22,C000918,P0029,5,287.8,0.0,1439.0,银行卡,APP
T00000194,2023-02-27,C000596,P0013,3,615.93,0.15,1570.62,银行卡,小程序
T00000195,2023-10-03,C000408,P0012,5,614.43,0.2,2457.72,支付宝,APP
T00000196,2023-02-17,C000729,P0006,5,281.15,0.2,1124.6,信用卡,网页
T00000197,2023-03-16,C000349,P0046,5,519.59,0.0,2597.95,信用卡,APP
T00000198,2023-07-17,C000866,P0007,5,444.27,0.0,2221.35,银行卡,APP
T00000199,2023-08-15,C000252,P0003,6,806.41,0.0,4838.46,支付宝,网页
T00000200,2023-04-25,C000225,P0045,2,789.81,0.0,1579.62,信用卡,小程序
T00000201,2023-04-21,C000013,P0010,3,422.06,0.0,1266.18,支付宝,小程序
T00000202,2023-09-05,C000425,P0029,5,287.8,0.15,1223.15,微信支付,网页
T00000203,2023-04-06,C000595,P0034,4,255.35,0.2,817.12,信用卡,小程序
T00000204,2023-05-14,C000816,P0046,3,519.59,0.3,1091.14,银行卡,网页
T00000205,2023-07-09,C000922,P0024,2,740.37,0.0,1480.74,支付宝,小程序
T00000206,2023-03-10,C000881,P0021,2,519.75,0.3,727.65,微信支付,APP
T00000207,2023-09-17,C000488,P0046,5,519.59,0.0,2597.95,支付宝,小程序
T00000208,2023-04-27,C000357,P0047,5,371.93,0.3,1301.75,微信支付,网页
T00000209,2023-05-18,C000857,P0037,1,484.48,0.1,436.03,信用卡,网页
T00000210,2023-10-30,C000067,P0028,2,210.19,0.0,420.38,信用卡,小程序
T00000211,2023-11-29,C000918,P0004,6,330.99,0.2,1588.75,微信支付,APP
T00000212,2023-12-16,C000067,P0023,7,237.76,0.2,1331.46,支付宝,小程序
T00000213,2023-11-03,C000442,P0032,5,95.61,0.0,478.05,信用卡,网页
T00000214,2023-10-03,C000691,P0045,3,789.81,0.0,2369.43,微信支付,小程序
T00000215,2023-09-18,C000148,P0027,5,145.04,0.2,580.16,银行卡,APP
T00000216,2023-11-09,C000730,P0004,7,330.99,0.3,1621.85,支付宝,小程序
T00000217,2023-02-02,C000424,P0034,2,255.35,0.2,408.56,微信支付,APP
T00000218,2023-11-04,C000778,P0050,5,740.01,0.0,3700.05,信用卡,小程序
T00000219,2023-03-03,C000092,P0022,1,596.78,0.1,537.1,信用卡,网页
T00000220,2023-07-15,C000486,P0045,3,789.81,0.0,2369.43,支付宝,网页
T00000221,2023-07-01,C000725,P0012,7,614.43,0.1,3870.91,支付宝,APP
T00000222,2023-05-14,C000206,P0026,2,224.0,0.0,448.0,支付宝,网页
T00000223,2023-08-20,C000097,P0049,7,147.02,0.15,874.77,支付宝,小程序
T00000224,2023-01-31,C000383,P0044,1,535.61,0.0,535.61,支付宝,小程序
T00000225,2023-01-07,C000335,P0001,4,461.62,0.0,1846.48,支付宝,小程序
T00000226,2023-10-16,C000880,P0024,1,740.37,0.0,740.37,微信支付,小程序
T00000227,2023-11-14,C000187,P0032,9,95.61,0.0,860.49,支付宝,小程序
T00000228,2023-03-21,C000384,P0039,5,141.38,0.0,706.9,信用卡,小程序
T00000229,2023-04-01,C000153,P0033,4,838.62,0.0,3354.48,支付宝,小程序
T00000230,2023-03-03,C000958,P0020,3,925.61,0.0,2776.83,银行卡,小程序
T00000231,2023-04-03,C000531,P0038,2,562.9,0.0,1125.8,信用卡,APP
T00000232,2023-11-05,C000628,P0010,8,422.06,0.2,2701.18,信用卡,网页
T00000233,2023-03-01,C000568,P0043,1,861.78,0.0,861.78,微信支付,网页
T00000234,2023-03-14,C000984,P0016,4,469.57,0.0,1878.28,信用卡,APP
T00000235,2023-07-03,C000939,P0004,7,330.99,0.2,1853.54,支付宝,小程序
T00000236,2023-02-16,C000671,P0043,3,861.78,0.15,2197.54,信用卡,小程序
T00000237,2023-11-26,C000290,P0013,5,615.93,0.3,2155.75,微信支付,网页
T00000238,2023-11-17,C000414,P0028,8,210.19,0.1,1513.37,支付宝,网页
T00000239,2023-02-23,C000575,P0021,4,519.75,0.15,1767.15,信用卡,网页
T00000240,2023-09-12,C000295,P0050,1,740.01,0.15,629.01,支付宝,APP
T00000241,2023-02-15,C000914,P0020,5,925.61,0.2,3702.44,微信支付,小程序
T00000242,2023-06-10,C000050,P0048,6,651.69,0.0,3910.14,信用卡,APP
T00000243,2023-06-30,C000054,P0035,7,914.62,0.15,5441.99,微信支付,小程序
T00000244,2023-07-09,C000716,P0044,1,535.61,0.0,535.61,信用卡,APP
T00000245,2023-04-24,C000328,P0046,1,519.59,0.2,415.67,微信支付,网页
T00000246,2023-04-16,C000656,P0037,5,484.48,0.0,2422.4,支付宝,网页
T00000247,2023-04-16,C000120,P0045,3,789.81,0.0,2369.43,微信支付,小程序
T00000248,2023-06-19,C000400,P0012,2,614.43,0.3,860.2,信用卡,APP
T00000249,2023-03-21,C000614,P0010,2,422.06,0.15,717.5,银行卡,网页
T00000250,2023-12-15,C000728,P0037,5,484.48,0.2,1937.92,银行卡,网页
T00000251,2023-12-20,C000426,P0001,8,461.62,0.3,2585.07,微信支付,网页
T00000252,2023-05-10,C000011,P0039,4,141.38,0.0,565.52,信用卡,APP
T00000253,2023-12-06,C000229,P0045,2,789.81,0.0,1579.62,微信支付,网页
T00000254,2023-02-04,C000550,P0012,3,614.43,0.0,1843.29,银行卡,小程序
T00000255,2023-12-22,C000292,P0026,9,224.0,0.3,1411.2,银行卡,APP
T00000256,2023-03-03,C000843,P0026,2,224.0,0.0,448.0,信用卡,APP
T00000257,2023-03-07,C000037,P0034,4,255.35,0.1,919.26,支付宝,APP
T00000258,2023-04-28,C000854,P0003,4,806.41,0.0,3225.64,支付宝,小程序
T00000259,2023-02-04,C000447,P0016,5,469.57,0.0,2347.85,信用卡,小程序
T00000260,2023-03-15,C000612,P0029,1,287.8,0.2,230.24,微信支付,APP
T00000261,2023-06-12,C000583,P0003,1,806.41,0.0,806.41,银行卡,APP
T00000262,2023-06-29,C000206,P0030,1,179.49,0.0,179.49,银行卡,小程序
T00000263,2023-02-02,C000189,P0015,2,986.74,0.0,1973.48,信用卡,APP
T00000264,2023-08-14,C000864,P0005,3,766.59,0.0,2299.77,微信支付,APP
T00000265,2023-10-08,C000059,P0021,1,519.75,0.2,415.8,支付宝,网页
T00000266,2023-09-23,C000018,P0035,5,914.62,0.2,3658.48,微信支付,小程序
T00000267,2023-06-14,C000040,P0024,3,740.37,0.2,1776.89,微信支付,APP
T00000268,2023-07-15,C000577,P0001,1,461.62,0.3,323.13,支付宝,APP
T00000269,2023-11-18,C000578,P0003,8,806.41,0.2,5161.02,信用卡,小程序
T00000270,2023-11-27,C000290,P0025,10,476.28,0.2,3810.24,微信支付,小程序
T00000271,2023-09-09,C000257,P0040,3,484.99,0.2,1163.98,信用卡,网页
T00000272,2023-03-20,C000550,P0030,3,179.49,0.0,538.47,微信支付,网页
T00000273,2023-11-23,C000179,P0047,11,371.93,0.0,4091.23,银行卡,小程序
T00000274,2023-01-11,C000825,P0028,3,210.19,0.0,630.57,支付宝,网页
T00000275,2023-07-30,C000901,P0046,9,519.59,0.1,4208.68,微信支付,小程序
T00000276,2023-06-30,C000965,P0014,6,354.38,0.1,1913.65,信用卡,小程序
T00000277,2023-08-20,C000976,P0029,6,287.8,0.0,1726.8,银行卡,小程序
T00000278,2023-07-24,C000741,P0009,6,17.15,0.0,102.9,微信支付,小程序
T00000279,2023-04-10,C000676,P0047,5,371.93,0.0,1859.65,信用卡,小程序
T00000280,2023-07-29,C000660,P0024,4,740.37,0.0,2961.48,信用卡,APP
T00000281,2023-10-05,C000464,P0042,3,193.1,0.3,405.51,信用卡,APP
T00000282,2023-04-13,C000346,P0014,5,354.38,0.0,1771.9,信用卡,小程序
T00000283,2023-08-10,C000966,P0012,4,614.43,0.0,2457.72,信用卡,小程序
T00000284,2023-12-08,C000280,P0012,13,614.43,0.2,6390.07,信用卡,小程序
T00000285,2023-04-12,C000422,P0010,3,422.06,0.1,1139.56,微信支付,小程序
T00000286,2023-03-08,C000954,P0049,4,147.02,0.0,588.08,支付宝,小程序
T00000287,2023-02-19,C000088,P0005,1,766.59,0.0,766.59,支付宝,网页
T00000288,2023-02-16,C000954,P0021,3,519.75,0.0,1559.25,微信支付,APP
T00000289,2023-06-07,C000372,P0005,9,766.59,0.15,5864.41,信用卡,网页
T00000290,2023-06-23,C000180,P0046,4,519.59,0.3,1454.85,微信支付,APP
T00000291,2023-03-25,C000122,P0027,5,145.04,0.15,616.42,信用卡,APP
T00000292,2023-10-15,C000644,P0036,4,991.36,0.2,3172.35,银行卡,小程序
T00000293,2023-05-08,C000680,P0008,2,779.89,0.1,1403.8,支付宝,APP
T00000294,2023-03-11,C000485,P0025,4,476.28,0.1,1714.61,微信支付,APP
T00000295,2023-10-28,C000838,P0045,3,789.81,0.1,2132.49,微信支付,网页
T00000296,2023-01-11,C000970,P0032,5,95.61,0.0,478.05,银行卡,APP
T00000297,2023-07-09,C000182,P0005,3,766.59,0.2,1839.82,信用卡,APP
T00000298,2023-02-26,C000202,P0043,3,861.78,0.0,2585.34,支付宝,网页
T00000299,2023-11-05,C000017,P0032,14,95.61,0.1,1204.69,微信支付,网页
T00000300,2023-05-10,C000526,P0013,3,615.93,0.15,1570.62,支付宝,网页
T00000301,2023-06-13,C000054,P0011,3,643.43,0.0,1930.29,信用卡,网页
T00000302,2023-06-22,C000280,P0003,6,806.41,0.0,4838.46,支付宝,APP
T00000303,2023-11-16,C000753,P0001,7,461.62,0.1,2908.21,微信支付,网页
T00000304,2023-07-14,C000037,P0025,5,476.28,0.0,2381.4,银行卡,小程序
T00000305,2023-08-06,C000725,P0027,3,145.04,0.0,435.12,银行卡,小程序
T00000306,2023-04-09,C000289,P0032,3,95.61,0.0,286.83,信用卡,小程序
T00000307,2023-02-13,C000936,P0043,3,861.78,0.3,1809.74,支付宝,APP
T00000308,2023-03-07,C000110,P0049,2,147.02,0.0,294.04,微信支付,网页
T00000309,2023-02-03,C000586,P0010,2,422.06,0.3,590.88,支付宝,APP
T00000310,2023-01-05,C000014,P0047,3,371.93,0.3,781.05,支付宝,APP
T00000311,2023-10-26,C000989,P0041,4,976.66,0.2,3125.31,银行卡,小程序
T00000312,2023-02-24,C000125,P0040,1,484.99,0.2,387.99,微信支付,APP
T00000313,2023-02-11,C000094,P0012,1,614.43,0.0,614.43,信用卡,小程序
T00000314,2023-04-30,C000052,P0014,1,354.38,0.1,318.94,银行卡,小程序
T00000315,2023-09-29,C000488,P0013,2,615.93,0.2,985.49,信用卡,小程序
T00000316,2023-12-28,C000481,P0012,7,614.43,0.15,3655.86,支付宝,网页
T00000317,2023-04-05,C000007,P0033,1,838.62,0.0,838.62,微信支付,网页
T00000318,2023-03-15,C000590,P0035,2,914.62,0.2,1463.39,支付宝,小程序
T00000319,2023-02-08,C000192,P0013,3,615.93,0.3,1293.45,微信支付,APP
T00000320,2023-07-22,C000857,P0041,7,976.66,0.1,6152.96,银行卡,APP
T00000321,2023-08-07,C000845,P0017,5,798.65,0.15,3394.26,支付宝,小程序
T00000322,2023-12-16,C000289,P0017,3,798.65,0.0,2395.95,信用卡,网页
T00000323,2023-01-31,C000774,P0040,4,484.99,0.0,1939.96,信用卡,APP
