order_id,user_id,order_date,order_status,payment_method,total_amount
order_000053,user_0130,2025-05-22,已完成,微信支付,8173.21
order_000054,user_0126,2025-07-25,已完成,货到付款,4548.2
order_000055,user_0011,2026-01-20,已完成,微信支付,2597.95
order_000056,user_0178,2025-09-17,已完成,支付宝,701.85
order_000057,user_0159,2025-06-25,已完成,支付宝,25137.04
order_000058,user_0056,2026-04-27,已完成,信用卡,2334.03
order_000059,user_0083,2025-05-23,已完成,微信支付,9452.84
order_000060,user_0137,2025-06-13,已完成,货到付款,5344.01
order_000061,user_0099,2026-02-09,已完成,货到付款,1234.33
order_000062,user_0149,2026-01-18,已完成,货到付款,10824.59
order_000063,user_0073,2025-05-13,已完成,信用卡,2897.44
order_000064,user_0156,2025-11-12,已完成,支付宝,4324.23
order_000065,user_0190,2026-02-03,已取消,货到付款,10436.880000000001
order_000066,user_0115,2025-07-22,已取消,支付宝,9006.04
order_000067,user_0007,2026-01-02,已完成,信用卡,5970.01
order_000068,user_0080,2026-01-22,已完成,微信支付,7711.370000000001
order_000069,user_0144,2026-03-28,已完成,微信支付,5287.0599999999995
order_000070,user_0097,2025-08-22,已完成,微信支付,8915.24
order_000071,user_0004,2025-05-04,已完成,货到付款,3961.64
order_000072,user_0004,2025-09-11,已完成,微信支付,67.63
order_000073,user_0103,2025-10-20,已完成,货到付款,6045.65
order_000074,user_0040,2026-03-21,已完成,信用卡,2268.99
order_000075,user_0017,2026-03-08,已完成,信用卡,21679.52
order_000076,user_0101,2025-11-28,已完成,货到付款,9153.73
order_000077,user_0103,2025-07-18,已完成,支付宝,5788.23
order_000078,user_0124,2025-12-06,已取消,微信支付,2098.8
order_000079,user_0052,2025-08-08,已完成,微信支付,6829.46
order_000080,user_0052,2026-01-25,已完成,微信支付,3658.5299999999997
order_000081,user_0164,2025-05-11,已完成,货到付款,1732.14
order_000082,user_0124,2025-10-03,已完成,信用卡,5724.8
order_000083,user_0166,2025-09-26,已完成,微信支付,4463.31
order_000084,user_0178,2025-08-13,已完成,信用卡,3195.1
order_000085,user_0063,2025-11-01,已完成,微信支付,2326.67
order_000086,user_0116,2026-02-22,已完成,微信支付,901.55
order_000087,user_0191,2025-08-03,已完成,货到付款,5052.74
order_000088,user_0062,2025-09-05,已完成,支付宝,3374.84
order_000089,user_0007,2026-02-14,已完成,货到付款,7425.09
order_000090,user_0155,2025-10-15,已完成,微信支付,7872.91
order_000091,user_0092,2025-10-27,已完成,微信支付,10834.369999999999
order_000092,user_0014,2026-04-26,退款中,支付宝,9500.220000000001
order_000093,user_0199,2025-06-05,已完成,信用卡,6500.59
order_000094,user_0086,2025-05-12,已完成,信用卡,325.86
order_000095,user_0133,2025-05-01,已完成,微信支付,16944.92
order_000096,user_0183,2026-04-11,已完成,信用卡,7321.6
order_000097,user_0130,2025-11-23,已完成,微信支付,1320.03
order_000098,user_0062,2025-10-05,已完成,支付宝,1133.92
order_000099,user_0149,2025-05-13,退款中,支付宝,10681.890000000001
order_000100,user_0079,2025-08-13,已完成,微信支付,2707.44
order_000101,user_0149,2026-03-04,已完成,支付宝,2477.5099999999998
order_000102,user_0138,2025-12-10,已完成,货到付款,233.01
order_000103,user_0058,2025-10-14,已完成,货到付款,5379.57
order_000104,user_0120,2025-05-31,已完成,支付宝,5122.82
order_000105,user_0167,2026-01-03,已完成,微信支付,6196.1900000000005
order_000106,user_0133,2025-12-30,已完成,微信支付,63.29
order_000107,user_0065,2026-01-21,已完成,支付宝,1475.24
order_000108,user_0013,2025-09-15,已完成,信用卡,9670.33
order_000109,user_0181,2026-01-26,已取消,货到付款,10124.91
order_000110,user_0082,2025-08-01,已完成,信用卡,1866.8199999999997
order_000111,user_0173,2025-12-10,退款中,微信支付,1353.32
order_000112,user_0160,2025-06-05,已完成,微信支付,11953.54
order_000113,user_0164,2026-02-23,已取消,信用卡,3205.74
order_000114,user_0188,2025-05-26,已完成,支付宝,35.03
order_000115,user_0139,2026-03-11,已完成,信用卡,11209.550000000001
order_000116,user_0191,2025-12-28,退款中,信用卡,2443.2599999999998
order_000117,user_0149,2025-12-19,已完成,货到付款,1445.88
order_000118,user_0052,2025-10-29,退款中,货到付款,824.92
order_000119,user_0183,2026-01-24,已完成,信用卡,2945.59
order_000120,user_0117,2025-12-19,已完成,信用卡,4398.23
order_000121,user_0026,2025-12-22,已完成,微信支付,247.84
order_000122,user_0196,2026-01-18,已完成,货到付款,4035.75
order_000123,user_0034,2026-04-21,已完成,货到付款,2473.42
order_000124,user_0052,2026-04-02,已完成,微信支付,751.01
order_000125,user_0112,2025-07-01,已完成,支付宝,1848.67
order_000126,user_0082,2025-10-21,已完成,货到付款,627.78
order_000127,user_0180,2025-04-30,已完成,货到付款,16756.12
order_000128,user_0157,2025-09-16,已完成,支付宝,3988.0
order_000129,user_0166,2025-10-02,已完成,货到付款,12011.85
order_000130,user_0042,2026-03-17,已完成,货到付款,6270.36
order_000131,user_0021,2025-09-20,已完成,支付宝,3569.7
order_000132,user_0042,2026-02-14,已完成,支付宝,4757.24
order_000133,user_0141,2025-09-27,已完成,信用卡,3203.0299999999997
order_000134,user_0113,2025-11-06,已完成,微信支付,9389.439999999999
order_000135,user_0105,2025-07-09,退款中,微信支付,781.12
order_000136,user_0192,2026-02-26,已完成,支付宝,4654.58
order_000137,user_0017,2026-04-06,已完成,支付宝,2433.42
order_000138,user_0120,2025-09-14,已完成,货到付款,942.21
order_000139,user_0137,2025-10-31,已完成,信用卡,2602.53
order_000140,user_0169,2026-02-14,已完成,信用卡,6048.48
order_000141,user_0129,2025-06-27,已完成,支付宝,680.82
order_000142,user_0130,2025-11-11,已完成,货到付款,2747.51
order_000143,user_0060,2026-02-16,已完成,货到付款,28.2
order_000144,user_0048,2026-03-12,退款中,微信支付,1737.13
order_000145,user_0029,2026-02-23,已取消,微信支付,8274.42
order_000146,user_0097,2026-04-06,已完成,货到付款,12505.509999999998
order_000147,user_0010,2025-05-08,已完成,微信支付,6877.33
order_000148,user_0058,2025-06-28,已完成,支付宝,3000.1000000000004
order_000149,user_0188,2026-03-26,已完成,货到付款,1358.27
order_000150,user_0021,2025-12-09,已完成,微信支付,11554.439999999999
order_000151,user_0028,2025-09-27,已完成,信用卡,3497.8199999999997
order_000152,user_0034,2025-11-12,已完成,货到付款,6424.16
order_000153,user_0008,2025-06-18,已完成,货到付款,2856.51
order_000154,user_0187,2026-01-12,已完成,信用卡,2333.19
order_000155,user_0200,2025-06-25,退款中,支付宝,2964.6800000000003
order_000156,user_0177,2025-07-08,已取消,信用卡,5425.77
order_000157,user_0079,2025-09-22,已完成,货到付款,2365.19
order_000158,user_0145,2026-04-11,已完成,支付宝,2947.06
order_000159,user_0188,2025-06-29,已取消,微信支付,9132.75
order_000160,user_0087,2026-03-03,已完成,微信支付,858.37
order_000161,user_0088,2025-12-26,已完成,微信支付,8060.6
order_000162,user_0173,2026-03-23,已完成,货到付款,10806.09
order_000163,user_0069,2025-08-12,已完成,信用卡,9780.44
order_000164,user_0160,2025-12-09,已完成,支付宝,1817.8600000000001
order_000165,user_0172,2026-03-06,已取消,微信支付,2590.15
order_000166,user_0193,2025-12-01,已取消,支付宝,5850.33
order_000167,user_0087,2025-12-24,已完成,货到付款,3464.13
order_000168,user_0101,2026-01-11,已完成,微信支付,6038.95
order_000169,user_0008,2026-01-14,退款中,货到付款,5460.9
order_000170,user_0077,2025-05-02,已完成,信用卡,3177.39
order_000171,user_0200,2026-01-13,已取消,货到付款,726.41
order_000172,user_0087,2025-06-20,已完成,货到付款,2481.34
order_000173,user_0043,2025-06-13,已完成,信用卡,10076.82
order_000174,user_0129,2025-11-28,已完成,支付宝,3005.45
order_000175,user_0109,2025-10-21,已完成,信用卡,3510.44
order_000176,user_0179,2025-05-06,已完成,信用卡,9146.16
order_000177,user_0152,2025-08-04,已完成,货到付款,14499.82
order_000178,user_0152,2025-05-17,已完成,支付宝,4025.37
order_000179,user_0017,2025-12-24,已完成,微信支付,1008.51
order_000180,user_0133,2025-06-27,已完成,信用卡,4355.04
order_000181,user_0148,2025-10-22,已取消,支付宝,16878.77
order_000182,user_0021,2026-03-31,退款中,信用卡,2951.81
order_000183,user_0058,2025-06-28,已完成,信用卡,2176.25
order_000184,user_0159,2025-09-19,已完成,信用卡,7366.32
order_000185,user_0110,2025-11-29,已完成,信用卡,4051.18
order_000186,user_0139,2025-04-30,已完成,货到付款,1796.53
order_000187,user_0180,2025-10-04,退款中,支付宝,12038.49
order_000188,user_0143,2025-12-10,已完成,支付宝,297.29
order_000189,user_0135,2026-01-21,已完成,支付宝,10153.590000000002
order_000190,user_0028,2025-08-25,已取消,信用卡,3028.62
order_000191,user_0051,2025-07-25,已完成,货到付款,9265.599999999999
order_000192,user_0186,2026-03-22,已完成,信用卡,5278.46
order_000193,user_0005,2025-07-04,已取消,信用卡,90.1
order_000194,user_0005,2026-04-19,已完成,支付宝,5578.69
order_000195,user_0094,2025-08-03,已取消,信用卡,32.94
order_000196,user_0096,2026-01-19,已完成,微信支付,7565.88
order_000197,user_0008,2025-08-10,已完成,信用卡,2434.67
order_000198,user_0064,2026-03-16,已完成,微信支付,3330.39
order_000199,user_0138,2025-08-28,已取消,信用卡,2579.96
order_000200,user_0038,2025-05-26,已完成,货到付款,3603.98
order_000201,user_0111,2025-09-11,已完成,货到付款,5748.58
order_000202,user_0112,2025-11-08,已完成,支付宝,427.38
order_000203,user_0081,2025-12-09,已完成,信用卡,13194.58
order_000204,user_0136,2026-03-25,已完成,微信支付,5534.54
order_000205,user_0104,2025-10-14,已完成,微信支付,17395.26
order_000206,user_0153,2025-05-06,已完成,信用卡,6628.0
order_000207,user_0073,2025-06-06,已完成,微信支付,1126.6
order_000208,user_0194,2025-05-22,已完成,货到付款,2282.13
order_000209,user_0178,2026-01-13,已完成,微信支付,5430.0599999999995
order_000210,user_0195,2025-12-09,已完成,支付宝,1212.03
order_000211,user_0049,2025-08-29,退款中,货到付款,1225.21
order_000212,user_0036,2025-06-04,已完成,货到付款,13601.33
order_000213,user_0126,2026-03-21,退款中,货到付款,9326.31
order_000214,user_0068,2026-01-03,已完成,信用卡,16371.859999999999
order_000215,user_0078,2025-10-20,已完成,信用卡,1614.26
order_000216,user_0105,2025-07-26,已完成,货到付款,1488.77
order_000217,user_0169,2025-06-03,已完成,信用卡,4650.599999999999
order_000218,user_0122,2026-03-09,已完成,微信支付,5078.62
order_000219,user_0119,2025-10-20,已完成,信用卡,1457.13
order_000220,user_0190,2026-02-05,已完成,信用卡,9751.14
order_000221,user_0114,2025-07-17,已完成,货到付款,772.8199999999999
order_000222,user_0010,2025-08-19,已完成,支付宝,818.86
order_000223,user_0149,2025-06-06,已完成,支付宝,4561.39
order_000224,user_0164,2026-02-22,已完成,支付宝,682.9399999999999
order_000225,user_0140,2025-12-07,已完成,微信支付,8532.93
order_000226,user_0091,2026-03-11,已完成,信用卡,5748.11
order_000227,user_0002,2026-04-11,已完成,支付宝,4955.889999999999
order_000228,user_0118,2025-08-20,已完成,货到付款,8658.95
order_000229,user_0013,2025-10-30,已完成,支付宝,929.31
order_000230,user_0181,2026-03-16,已完成,支付宝,1788.83
order_000231,user_0160,2025-06-22,已完成,信用卡,10907.98
order_000232,user_0095,2025-06-06,已完成,信用卡,2134.57
order_000233,user_0144,2026-04-16,已完成,信用卡,2229.54
order_000234,user_0032,2025-06-06,已完成,微信支付,11554.66
order_000235,user_0032,2026-04-09,已完成,微信支付,1208.17
order_000236,user_0124,2025-12-20,已完成,支付宝,6177.67
order_000237,user_0011,2026-02-10,已取消,信用卡,155.46
order_000238,user_0010,2026-01-14,已完成,支付宝,1926.53
order_000239,user_0015,2025-11-29,退款中,货到付款,2649.02
order_000240,user_0017,2025-09-21,已完成,货到付款,3798.09
order_000241,user_0168,2026-03-29,已完成,信用卡,1511.77
order_000242,user_0146,2025-10-12,已完成,信用卡,2905.48
order_000243,user_0183,2025-07-28,已完成,货到付款,5412.85
order_000244,user_0153,2026-04-15,已完成,信用卡,3668.75
order_000245,user_0059,2025-06-25,已完成,微信支付,1689.19
order_000246,user_0078,2025-06-25,已完成,微信支付,7919.74
order_000247,user_0124,2026-02-25,已完成,信用卡,2203.6499999999996
order_000248,user_0114,2025-10-13,已完成,货到付款,8194.69
order_000249,user_0022,2026-01-21,已完成,支付宝,3684.2799999999997
order_000250,user_0158,2026-04-25,已完成,信用卡,7129.76
order_000251,user_0172,2025-06-11,已完成,信用卡,1785.44
order_000252,user_0032,2026-04-07,已完成,支付宝,740.6
order_000253,user_0179,2025-10-25,已取消,信用卡,3250.54
order_000254,user_0174,2025-10-14,已完成,支付宝,9339.49
order_000255,user_0113,2026-04-18,已取消,货到付款,1597.29
order_000256,user_0120,2025-11-04,已完成,微信支付,9741.94
order_000257,user_0149,2025-09-29,已完成,货到付款,12063.869999999999
order_000258,user_0122,2025-11-01,已完成,微信支付,369.21
order_000259,user_0032,2025-05-04,已完成,支付宝,6086.93
order_000260,user_0119,2025-09-07,退款中,微信支付,1801.98
order_000261,user_0039,2025-12-18,已完成,货到付款,2127.57
order_000262,user_0012,2025-06-11,已完成,微信支付,4486.7
order_000263,user_0175,2026-03-07,已完成,支付宝,7900.74
order_000264,user_0018,2026-01-01,已完成,微信支付,20113.96
order_000265,user_0149,2025-05-28,已取消,信用卡,8890.06
order_000266,user_0141,2025-05-20,已完成,货到付款,2290.23
order_000267,user_0149,2025-10-04,已完成,信用卡,6479.78
order_000268,user_0126,2026-04-25,已完成,支付宝,11961.5
order_000269,user_0136,2025-10-02,已完成,微信支付,2176.91
order_000270,user_0046,2025-06-05,已完成,信用卡,1616.13
order_000271,user_0104,2025-07-18,已完成,信用卡,1617.83
order_000272,user_0135,2026-04-18,已完成,微信支付,7499.21
order_000273,user_0151,2026-01-10,已完成,微信支付,360.57000000000005
order_000274,user_0086,2025-11-19,已完成,货到付款,246.84
order_000275,user_0150,2025-07-13,已完成,信用卡,3351.49
order_000276,user_0089,2025-05-09,已完成,信用卡,10540.79
order_000277,user_0022,2026-02-16,已完成,支付宝,461.54
order_000278,user_0092,2025-12-07,已完成,货到付款,9366.689999999999
order_000279,user_0029,2025-05-10,已完成,支付宝,19670.18
order_000280,user_0013,2025-06-12,已完成,信用卡,1668.68
order_000281,user_0002,2025-09-29,已完成,支付宝,1300.32
order_000282,user_0029,2025-08-18,已完成,信用卡,6030.26
order_000283,user_0180,2025-12-16,已完成,信用卡,3979.46
order_000284,user_0027,2025-05-14,已完成,支付宝,3081.16
order_000285,user_0050,2026-04-22,已完成,支付宝,3846.26
order_000286,user_0095,2025-12-06,已完成,微信支付,5353.51
order_000287,user_0151,2026-04-16,已完成,微信支付,2090.97
order_000288,user_0088,2025-11-01,已完成,微信支付,3760.2
order_000289,user_0044,2026-04-06,已完成,信用卡,11339.529999999999
order_000290,user_0022,2026-04-27,已完成,支付宝,4164.33
order_000291,user_0171,2025-10-07,已完成,货到付款,697.9
order_000292,user_0165,2026-03-19,已完成,信用卡,918.48
order_000293,user_0189,2025-07-10,已完成,货到付款,11617.94
order_000294,user_0097,2025-12-16,已完成,支付宝,137.56
order_000295,user_0184,2025-12-07,已完成,信用卡,4632.59
order_000296,user_0003,2026-03-12,已完成,货到付款,652.03
order_000297,user_0191,2025-06-26,已完成,货到付款,3063.01
order_000298,user_0118,2026-03-28,已完成,微信支付,7655.87
order_000299,user_0019,2025-12-05,已完成,微信支付,1195.12
order_000300,user_0023,2025-06-03,已完成,微信支付,3732.12
order_000301,user_0157,2026-01-30,已完成,信用卡,2748.9300000000003
order_000302,user_0030,2025-11-09,已完成,支付宝,395.94
order_000303,user_0039,2026-04-14,已完成,支付宝,6769.0
order_000304,user_0108,2025-12-25,已完成,微信支付,4012.7400000000002
order_000305,user_0111,2026-03-17,已取消,微信支付,11549.99
order_000306,user_0025,2025-12-02,已完成,微信支付,15771.96
order_000307,user_0128,2025-11-05,已取消,货到付款,8250.82
order_000308,user_0111,2025-05-14,已完成,微信支付,4974.12
order_000309,user_0136,2025-05-09,退款中,货到付款,3449.1
order_000310,user_0106,2025-11-06,已完成,支付宝,3090.37
order_000311,user_0186,2025-05-19,已完成,信用卡,2032.94
order_000312,user_0144,2025-08-25,已完成,信用卡,2737.05
order_000313,user_0072,2025-11-23,已完成,信用卡,6745.16
order_000314,user_0129,2026-02-27,已完成,信用卡,2077.08
order_000315,user_0108,2026-01-22,已完成,货到付款,1969.4099999999999
order_000316,user_0005,2025-11-05,已完成,货到付款,11403.949999999999
order_000317,user_0003,2025-10-19,已完成,微信支付,11220.3
order_000318,user_0193,2026-02-06,已完成,货到付款,15194.52
order_000319,user_0132,2025-11-17,已完成,微信支付,10923.95
order_000320,user_0104,2025-10-08,退款中,微信支付,11333.119999999999
order_000321,user_0064,2026-01-03,已完成,信用卡,2022.15
order_000322,user_0106,2025-12-10,退款中,货到付款,13535.23
order_000323,user_0098,2025-05-04,已完成,货到付款,6698.32
order_000324,user_0010,2025-05-26,已完成,微信支付,7594.990000000001
order_000325,user_0149,2025-05-30,已完成,微信支付,449.68
order_000326,user_0128,2025-09-08,已完成,支付宝,6461.88
order_000327,user_0046,2025-07-15,已完成,支付宝,5186.209999999999
order_000328,user_0155,2025-06-24,已完成,微信支付,1180.39
order_000329,user_0066,2025-05-23,已完成,支付宝,3584.39
order_000330,user_0169,2025-12-09,退款中,支付宝,2335.53
order_000331,user_0112,2026-02-06,已完成,微信支付,9306.850000000002
order_000332,user_0013,2025-05-01,已完成,微信支付,17895.75
order_000333,user_0137,2025-08-04,已完成,货到付款,873.6199999999999
order_000334,user_0164,2025-06-05,已完成,微信支付,4651.2
order_000335,user_0086,2026-01-23,已完成,微信支付,1814.98
order_000336,user_0090,2026-02-06,已完成,信用卡,16866.77
order_000337,user_0058,2025-10-01,已完成,货到付款,14231.71
order_000338,user_0054,2025-07-11,已完成,货到付款,3361.73
order_000339,user_0012,2026-02-09,已完成,货到付款,1973.81
order_000340,user_0014,2025-09-04,已完成,信用卡,13726.14
order_000341,user_0121,2025-10-19,已取消,微信支付,7673.419999999999
order_000342,user_0162,2025-07-20,已完成,货到付款,3277.7200000000003
order_000343,user_0181,2025-05-19,已完成,货到付款,14051.29
order_000344,user_0121,2025-05-24,已完成,支付宝,1486.24
order_000345,user_0020,2025-11-08,已取消,货到付款,15535.04
order_000346,user_0075,2026-03-30,已完成,微信支付,6237.33
order_000347,user_0144,2025-12-19,已完成,微信支付,2936.91
order_000348,user_0070,2025-07-28,已完成,支付宝,56.2
order_000349,user_0056,2025-05-18,已完成,货到付款,6569.93
order_000350,user_0101,2026-02-24,已完成,货到付款,6230.22
order_000351,user_0186,2026-04-19,已完成,货到付款,1124.26
order_000352,user_0132,2025-07-20,已完成,信用卡,362.94
order_000353,user_0111,2026-01-14,已完成,货到付款,3806.21
order_000354,user_0125,2025-09-21,已完成,微信支付,2290.81
order_000355,user_0132,2026-01-09,已完成,微信支付,1485.54
order_000356,user_0020,2025-06-24,已完成,信用卡,11967.97
order_000357,user_0138,2025-05-12,已完成,信用卡,479.98
order_000358,user_0024,2025-10-06,已取消,货到付款,5894.360000000001
order_000359,user_0154,2025-10-07,已完成,支付宝,2154.83
order_000360,user_0037,2026-03-13,已完成,信用卡,1091.24
order_000361,user_0054,2026-02-02,已完成,信用卡,9103.57
order_000362,user_0103,2026-02-01,已完成,货到付款,3520.8300000000004
order_000363,user_0149,2025-05-09,已完成,货到付款,196.32
order_000364,user_0038,2026-01-26,已完成,信用卡,11720.349999999999
order_000365,user_0174,2026-01-23,已完成,支付宝,6316.17
order_000366,user_0004,2025-11-21,已完成,信用卡,756.91
order_000367,user_0188,2025-05-24,已完成,货到付款,6330.3
order_000368,user_0057,2025-07-08,已完成,货到付款,1657.07
order_000369,user_0173,2025-06-26,已完成,信用卡,2543.44
order_000370,user_0020,2025-09-19,已完成,支付宝,4775.719999999999
order_000371,user_0017,2025-07-29,已完成,信用卡,8024.799999999999
order_000372,user_0119,2026-03-02,已完成,信用卡,3249.7300000000005
order_000373,user_0071,2025-05-05,已完成,货到付款,77.44
order_000374,user_0004,2025-07-15,已完成,支付宝,7504.969999999999
order_000375,user_0014,2025-05-24,已完成,微信支付,8608.9
order_000376,user_0003,2025-10-18,已完成,支付宝,1385.27
order_000377,user_0080,2025-06-16,已完成,信用卡,1180.96
order_000378,user_0186,2025-11-12,退款中,信用卡,11920.189999999999
order_000379,user_0055,2026-04-11,已完成,信用卡,1144.83
order_000380,user_0132,2025-10-25,已完成,支付宝,11089.5
order_000381,user_0120,2025-05-21,已完成,货到付款,1130.96
order_000382,user_0024,2026-03-09,已完成,信用卡,9761.27
order_000383,user_0162,2025-06-12,已完成,信用卡,184.7
order_000384,user_0158,2025-05-12,已完成,支付宝,2468.75
order_000385,user_0082,2025-09-27,退款中,微信支付,2011.1299999999999
order_000386,user_0147,2025-12-05,已完成,微信支付,30.49
order_000387,user_0159,2025-11-19,已完成,货到付款,5086.05
order_000388,user_0188,2026-01-25,已完成,货到付款,8527.11
order_000389,user_0060,2025-12-19,已完成,信用卡,958.33
order_000390,user_0147,2026-04-02,已完成,支付宝,9603.44
order_000391,user_0049,2025-12-11,已完成,信用卡,22356.57
order_000392,user_0063,2025-05-06,已完成,货到付款,7741.84
order_000393,user_0110,2025-10-10,已完成,支付宝,4035.8
order_000394,user_0150,2026-03-12,已完成,支付宝,9958.07
order_000395,user_0152,2025-11-27,已完成,货到付款,8540.64
order_000396,user_0109,2025-08-22,已完成,微信支付,7120.110000000001
order_000397,user_0076,2026-04-06,已完成,微信支付,9401.050000000001
order_000398,user_0030,2025-07-08,已完成,支付宝,6437.67
order_000399,user_0058,2025-06-30,已完成,信用卡,13100.88
order_000400,user_0117,2025-11-18,已完成,微信支付,290.48
order_000401,user_0159,2025-11-22,退款中,信用卡,5457.92
order_000402,user_0100,2025-07-08,已完成,微信支付,4585.9
order_000403,user_0192,2026-01-29,已完成,微信支付,2020.5500000000002
order_000404,user_0019,2026-01-26,已取消,信用卡,6349.110000000001
order_000405,user_0176,2026-03-13,已完成,货到付款,2355.2799999999997
order_000406,user_0173,2026-03-31,已完成,微信支付,8859.66
order_000407,user_0094,2025-07-31,已完成,微信支付,8030.62
order_000408,user_0183,2025-10-10,已完成,信用卡,5922.09
order_000409,user_0113,2025-05-29,已完成,货到付款,657.63
order_000410,user_0183,2025-05-08,已完成,微信支付,5986.82
order_000411,user_0146,2026-02-22,已完成,微信支付,4265.37
order_000412,user_0063,2025-11-30,已完成,货到付款,652.86
order_000413,user_0116,2026-02-10,已完成,微信支付,3973.13
order_000414,user_0113,2025-08-07,已完成,货到付款,4391.63
order_000415,user_0047,2026-01-19,已完成,货到付款,15408.630000000001
order_000416,user_0057,2025-11-27,已完成,信用卡,1169.24
order_000417,user_0118,2025-10-23,退款中,支付宝,461.38
order_000418,user_0045,2025-07-24,已取消,货到付款,12851.44
order_000419,user_0161,2025-06-07,已完成,信用卡,4266.43
order_000420,user_0145,2025-07-12,退款中,支付宝,10033.150000000001
order_000421,user_0198,2025-06-12,已完成,微信支付,2740.8199999999997
order_000422,user_0004,2025-10-04,退款中,支付宝,223.94
order_000423,user_0148,2025-07-16,已完成,货到付款,1208.95
order_000424,user_0047,2026-03-03,已完成,货到付款,4510.929999999999
order_000425,user_0143,2025-07-22,已完成,货到付款,5553.84
order_000426,user_0198,2025-07-28,已完成,货到付款,1092.06
order_000427,user_0047,2025-09-22,已完成,货到付款,222.4
order_000428,user_0078,2025-10-05,已完成,信用卡,3757.5
order_000429,user_0124,2025-11-15,已完成,货到付款,5000.929999999999
order_000430,user_0075,2025-12-25,已完成,信用卡,1423.5
order_000431,user_0103,2026-04-15,已完成,微信支付,9794.74
order_000432,user_0137,2025-04-29,已完成,货到付款,2921.67
order_000433,user_0090,2025-12-08,已完成,货到付款,1567.29
order_000434,user_0144,2026-02-10,已完成,支付宝,3447.67
order_000435,user_0069,2025-12-16,已完成,微信支付,12694.35
order_000436,user_0061,2025-07-13,已完成,货到付款,9176.41
order_000437,user_0138,2025-08-21,已完成,货到付款,9481.78
order_000438,user_0050,2025-09-28,已取消,微信支付,5799.48
order_000439,user_0003,2025-08-08,已完成,信用卡,3741.41
order_000440,user_0107,2025-11-07,已完成,货到付款,1391.17
order_000441,user_0113,2025-10-10,已取消,支付宝,2552.91
order_000442,user_0094,2026-04-21,已完成,货到付款,1994.1799999999998
order_000443,user_0118,2025-07-26,已完成,支付宝,8671.939999999999
