order_id,product_id,quantity,unit_price,discount,line_amount
order_000020,product_0063,1,905.54,0.95,860.0
order_000021,product_0063,1,905.54,0.8,720.15
order_000022,product_0085,1,3877.47,0.73,2818.82
order_000022,product_0036,2,3161.33,0.8,5065.94
order_000022,product_0076,1,827.87,0.73,600.25
order_000022,product_0016,2,578.89,0.93,1071.8
order_000023,product_0052,1,1439.64,0.83,1198.69
order_000023,product_0067,3,1068.73,0.82,2623.86
order_000023,product_0046,3,258.53,0.76,593.23
order_000023,product_0021,1,163.3,0.93,151.55
order_000023,product_0029,1,2220.92,0.78,1733.32
order_000024,product_0002,2,1062.63,0.74,1567.74
order_000024,product_0018,1,815.05,0.95,772.84
order_000024,product_0030,1,851.17,0.8,682.01
order_000024,product_0034,1,143.75,0.77,111.26
order_000025,product_0100,2,4775.03,0.8,7651.44
order_000025,product_0036,1,3161.33,0.77,2431.06
order_000025,product_0019,2,2966.75,0.77,4581.61
order_000025,product_0079,1,129.11,0.74,95.84
order_000025,product_0032,2,4394.58,0.82,7199.18
order_000026,product_0087,2,1093.92,0.86,1882.74
order_000026,product_0022,2,1926.05,0.71,2736.85
order_000026,product_0044,2,394.62,0.71,559.58
order_000026,product_0009,2,522.7,0.85,890.04
order_000027,product_0019,2,2966.75,0.94,5566.49
order_000027,product_0035,1,455.76,0.85,388.36
order_000027,product_0031,3,166.64,1.0,497.7
order_000027,product_0032,2,4394.58,0.83,7297.71
order_000028,product_0002,2,1062.63,0.8,1698.26
order_000028,product_0017,2,361.8,0.71,511.63
order_000029,product_0088,1,2877.95,0.74,2126.09
order_000029,product_0085,3,3877.47,0.7,8199.22
order_000029,product_0050,3,1140.24,0.84,2877.8
order_000030,product_0092,1,114.84,0.9,102.85
order_000030,product_0053,2,380.57,0.94,713.52
order_000030,product_0024,3,184.03,0.74,407.32
order_000031,product_0043,3,1552.19,0.95,4442.68
order_000031,product_0012,3,615.3,0.9,1666.75
order_000032,product_0054,2,510.54,0.93,949.35
order_000033,product_0060,2,3260.77,0.83,5404.52
order_000033,product_0038,1,833.85,0.71,588.29
order_000034,product_0060,2,3260.77,0.77,5021.58
order_000034,product_0077,1,136.92,0.9,122.64
order_000035,product_0080,1,3202.18,0.88,2823.68
order_000035,product_0084,2,205.17,0.71,292.78
order_000035,product_0041,2,416.17,0.76,628.45
order_000035,product_0089,2,45.03,0.82,74.16
order_000035,product_0073,2,2174.6,0.7,3062.29
order_000036,product_0098,3,1899.63,0.89,5068.66
order_000037,product_0051,2,986.1,0.79,1555.63
order_000038,product_0078,2,745.58,0.72,1066.37
order_000039,product_0028,1,3202.88,0.71,2265.73
order_000039,product_0021,2,163.3,0.86,282.19
order_000039,product_0018,2,815.05,0.94,1532.39
order_000039,product_0058,2,414.5,0.74,615.93
order_000040,product_0045,2,431.23,0.86,739.68
order_000040,product_0080,1,3202.18,0.97,3106.37
order_000040,product_0089,1,45.03,0.95,42.84
order_000040,product_0020,2,1829.43,0.87,3199.16
order_000041,product_0016,3,578.89,0.98,1697.22
order_000041,product_0021,3,163.3,0.88,430.15
order_000041,product_0095,2,917.2,0.92,1685.14
order_000041,product_0016,1,578.89,0.9,520.72
order_000041,product_0014,1,2890.27,0.8,2320.36
order_000042,product_0017,1,361.8,0.84,303.26
order_000042,product_0044,2,394.62,0.8,627.82
order_000042,product_0027,3,105.19,0.92,289.91
order_000042,product_0078,3,745.58,0.97,2163.73
order_000043,product_0031,3,166.64,0.81,403.42
order_000043,product_0083,2,846.2,0.7,1191.23
order_000043,product_0087,1,1093.92,0.99,1080.02
order_000043,product_0035,1,455.76,0.85,389.37
order_000043,product_0070,3,429.16,0.86,1113.23
order_000044,product_0045,1,431.23,0.82,352.15
order_000044,product_0089,3,45.03,0.84,114.02
order_000045,product_0087,3,1093.92,0.95,3114.12
order_000045,product_0054,3,510.54,0.86,1316.52
order_000045,product_0090,3,316.49,0.97,918.51
order_000045,product_0067,1,1068.73,0.8,850.72
order_000046,product_0001,1,1796.91,0.85,1521.46
order_000046,product_0084,2,205.17,0.88,360.15
order_000046,product_0051,1,986.1,0.89,877.35
order_000046,product_0035,1,455.76,0.87,398.13
order_000046,product_0076,1,827.87,0.78,643.27
order_000047,product_0019,2,2966.75,0.73,4318.11
order_000047,product_0043,1,1552.19,0.9,1400.25
order_000047,product_0057,2,1403.71,0.79,2224.2
order_000047,product_0053,1,380.57,0.95,363.44
order_000048,product_0072,2,522.59,0.86,895.79
order_000048,product_0026,3,165.38,0.88,434.45
order_000048,product_0028,1,3202.88,0.73,2324.68
order_000049,product_0039,3,1878.99,0.88,4936.16
order_000049,product_0095,3,917.2,0.77,2119.07
order_000049,product_0026,2,165.38,0.95,312.91
order_000050,product_0043,3,1552.19,0.91,4222.55
order_000050,product_0046,2,258.53,0.9,463.23
order_000051,product_0065,3,343.18,0.94,970.83
order_000051,product_0059,2,51.42,0.97,99.56
order_000051,product_0007,3,87.52,0.97,255.29
order_000051,product_0068,1,408.45,0.91,371.74
order_000052,product_0043,3,1552.19,0.97,4532.71
order_000052,product_0046,1,258.53,0.79,205.46
order_000052,product_0013,1,1762.43,0.95,1674.24
order_000052,product_0054,1,510.54,0.99,505.42
order_000053,product_0075,1,36.6,0.9,33.04
order_000053,product_0011,2,2576.99,0.87,4458.92
order_000053,product_0045,3,431.23,0.8,1028.99
order_000053,product_0057,2,1403.71,0.94,2652.26
order_000054,product_0083,1,846.2,0.85,720.78
order_000054,product_0078,3,745.58,0.9,2007.32
order_000054,product_0017,3,361.8,0.84,906.88
order_000054,product_0030,1,851.17,0.96,818.65
order_000054,product_0089,3,45.03,0.7,94.57
order_000055,product_0047,1,487.4,0.83,405.81
order_000055,product_0038,3,833.85,0.82,2062.5
order_000055,product_0007,2,87.52,0.74,129.64
order_000056,product_0041,2,416.17,0.84,701.85
order_000057,product_0050,2,1140.24,0.96,2190.29
order_000057,product_0033,1,1946.63,0.75,1457.56
order_000057,product_0060,2,3260.77,0.71,4639.59
order_000057,product_0004,3,4896.76,0.91,13360.22
order_000057,product_0004,1,4896.76,0.71,3489.38
order_000058,product_0073,1,2174.6,0.87,1898.63
order_000058,product_0024,3,184.03,0.79,435.4
order_000059,product_0043,3,1552.19,0.88,4087.68
order_000059,product_0018,1,815.05,0.74,605.62
order_000059,product_0047,3,487.4,0.83,1213.38
order_000059,product_0004,1,4896.76,0.72,3546.16
order_000060,product_0048,3,1563.92,0.85,3991.5
order_000060,product_0030,2,851.17,0.79,1352.51
order_000061,product_0012,2,615.3,0.81,994.25
order_000061,product_0090,1,316.49,0.76,240.08
order_000062,product_0001,3,1796.91,0.96,5188.79
order_000062,product_0087,2,1093.92,0.75,1647.76
order_000062,product_0070,2,429.16,0.84,721.72
order_000062,product_0018,3,815.05,1.0,2441.95
order_000062,product_0030,1,851.17,0.97,824.37
order_000063,product_0012,2,615.3,0.89,1089.55
order_000063,product_0039,1,1878.99,0.96,1807.89
order_000064,product_0029,1,2220.92,0.87,1932.35
order_000064,product_0015,2,889.71,0.89,1589.35
order_000064,product_0044,2,394.62,0.74,582.56
order_000064,product_0007,3,87.52,0.84,219.97
order_000065,product_0058,1,414.5,0.95,394.03
order_000065,product_0095,2,917.2,0.83,1526.85
order_000065,product_0082,1,2909.14,0.85,2475.86
order_000065,product_0088,2,2877.95,0.77,4405.87
order_000065,product_0006,2,873.64,0.94,1634.27
order_000066,product_0085,3,3877.47,0.77,9006.04
order_000067,product_0096,3,147.09,0.89,391.71
order_000067,product_0009,2,522.7,0.76,789.75
order_000067,product_0032,1,4394.58,0.88,3872.98
order_000067,product_0042,1,1068.32,0.86,915.57
order_000068,product_0039,2,1878.99,0.72,2720.9
order_000068,product_0029,3,2220.92,0.75,4990.47
order_000069,product_0010,1,408.3,0.82,333.18
order_000069,product_0006,3,873.64,0.96,2506.76
order_000069,product_0093,3,845.23,0.97,2447.12
order_000070,product_0084,3,205.17,0.85,524.24
order_000070,product_0085,3,3877.47,0.72,8391.0
order_000071,product_0067,1,1068.73,0.87,926.98
order_000071,product_0077,1,136.92,0.71,97.84
order_000071,product_0015,3,889.71,0.71,1903.68
order_000071,product_0041,2,416.17,0.86,717.79
order_000071,product_0044,1,394.62,0.8,315.35
order_000072,product_0089,2,45.03,0.75,67.63
order_000073,product_0060,2,3260.77,0.93,6045.65
order_000074,product_0036,1,3161.33,0.72,2268.99
order_000075,product_0043,1,1552.19,0.74,1152.92
order_000075,product_0013,3,1762.43,0.87,4581.01
order_000075,product_0018,3,815.05,0.7,1714.68
order_000075,product_0057,3,1403.71,0.8,3366.14
order_000075,product_0032,3,4394.58,0.82,10864.77
order_000076,product_0092,1,114.84,0.71,81.15
order_000076,product_0098,3,1899.63,0.99,5643.84
order_000076,product_0006,3,873.64,0.82,2143.77
order_000076,product_0013,1,1762.43,0.73,1284.97
order_000077,product_0082,2,2909.14,0.88,5098.61
order_000077,product_0045,2,431.23,0.8,689.62
order_000078,product_0077,2,136.92,0.89,243.26
order_000078,product_0055,3,258.67,0.95,739.64
order_000078,product_0053,2,380.57,0.96,732.44
order_000078,product_0045,1,431.23,0.89,383.46
order_000079,product_0086,3,450.93,0.71,953.72
order_000079,product_0019,2,2966.75,0.94,5596.12
order_000079,product_0092,3,114.84,0.81,279.62
order_000080,product_0052,1,1439.64,0.75,1086.02
order_000080,product_0037,2,171.25,0.97,331.21
order_000080,product_0099,2,408.72,0.82,670.97
order_000080,product_0087,2,1093.92,0.72,1570.33
order_000081,product_0035,1,455.76,0.74,337.22
order_000081,product_0055,3,258.67,0.87,676.32
order_000081,product_0026,1,165.38,1.0,164.96
order_000081,product_0065,2,343.18,0.81,553.64
order_000082,product_0023,2,1889.93,0.98,3710.31
order_000082,product_0018,3,815.05,0.77,1890.44
order_000082,product_0021,1,163.3,0.76,124.05
order_000083,product_0045,2,431.23,0.72,621.61
order_000083,product_0047,3,487.4,0.81,1179.19
order_000083,product_0050,3,1140.24,0.78,2662.51
order_000084,product_0057,3,1403.71,0.76,3195.1
order_000085,product_0077,1,136.92,0.74,101.31
order_000085,product_0092,1,114.84,0.91,104.3
order_000085,product_0066,1,166.29,0.8,132.32
order_000085,product_0041,2,416.17,0.97,809.37
order_000085,product_0038,2,833.85,0.71,1179.37
order_000086,product_0040,3,267.72,0.75,604.24
order_000086,product_0099,1,408.72,0.73,297.31
order_000087,product_0064,1,3486.99,0.81,2819.21
order_000087,product_0088,1,2877.95,0.78,2233.53
order_000088,product_0100,1,4775.03,0.71,3374.84
order_000089,product_0098,1,1899.63,0.79,1509.87
order_000089,product_0093,3,845.23,0.94,2389.93
order_000089,product_0025,2,418.26,0.97,814.7
order_000089,product_0001,2,1796.91,0.75,2710.59
order_000090,product_0080,3,3202.18,0.82,7833.36
order_000090,product_0089,1,45.03,0.88,39.55
order_000091,product_0070,1,429.16,0.72,310.91
order_000091,product_0039,3,1878.99,0.75,4236.46
order_000091,product_0030,1,851.17,0.76,650.46
order_000091,product_0060,1,3260.77,0.94,3076.73
order_000091,product_0015,3,889.71,0.96,2559.81
order_000092,product_0009,2,522.7,0.98,1024.31
order_000092,product_0016,3,578.89,0.75,1295.79
order_000092,product_0052,1,1439.64,0.84,1205.78
order_000092,product_0020,3,1829.43,0.9,4933.47
order_000092,product_0002,1,1062.63,0.98,1040.87
order_000093,product_0074,1,622.24,0.79,489.18
order_000093,product_0008,3,2803.44,0.71,6011.41
order_000094,product_0094,1,465.33,0.7,325.86
order_000095,product_0042,1,1068.32,0.76,814.95
order_000095,product_0013,1,1762.43,0.77,1360.1
order_000095,product_0073,3,2174.6,0.79,5178.46
order_000095,product_0056,3,754.6,0.89,2005.98
order_000095,product_0064,3,3486.99,0.73,7585.43
order_000096,product_0078,2,745.58,0.93,1393.59
order_000096,product_0095,1,917.2,0.75,683.83
order_000096,product_0020,3,1829.43,0.74,4057.03
order_000096,product_0002,1,1062.63,0.92,976.34
order_000096,product_0092,2,114.84,0.92,210.81
order_000097,product_0058,3,414.5,0.83,1029.92
order_000097,product_0084,1,205.17,0.77,157.91
order_000097,product_0059,3,51.42,0.86,132.2
order_000098,product_0068,3,408.45,0.93,1133.92
order_000099,product_0055,2,258.67,0.75,390.51
order_000099,product_0100,3,4775.03,0.71,10137.45
order_000099,product_0049,1,158.53,0.97,153.93
order_000100,product_0072,2,522.59,0.8,831.0
order_000100,product_0083,2,846.2,0.86,1461.86
order_000100,product_0045,1,431.23,0.96,414.58
order_000101,product_0034,1,143.75,0.97,139.95
order_000101,product_0018,3,815.05,0.96,2337.56
order_000102,product_0055,1,258.67,0.9,233.01
order_000103,product_0026,3,165.38,0.74,365.15
order_000103,product_0098,3,1899.63,0.75,4292.05
order_000103,product_0061,2,433.27,0.83,722.37
order_000104,product_0054,3,510.54,0.93,1417.59
order_000104,product_0072,3,522.59,0.98,1542.25
order_000104,product_0096,2,147.09,0.96,281.69
order_000104,product_0009,1,522.7,0.91,476.45
order_000104,product_0063,2,905.54,0.78,1404.84
order_000105,product_0003,2,810.71,0.79,1284.4
order_000105,product_0007,3,87.52,0.99,259.37
order_000105,product_0080,2,3202.18,0.73,4652.42
order_000106,product_0075,2,36.6,0.86,63.29
order_000107,product_0063,1,905.54,0.85,772.73
order_000107,product_0081,3,249.67,0.94,702.51
order_000108,product_0047,2,487.4,0.82,799.99
order_000108,product_0014,3,2890.27,0.91,7905.1
order_000108,product_0061,3,433.27,0.74,965.24
order_000109,product_0024,3,184.03,0.88,487.83
order_000109,product_0078,2,745.58,0.71,1064.93
order_000109,product_0070,3,429.16,0.9,1163.56
order_000109,product_0036,3,3161.33,0.78,7408.59
order_000110,product_0062,3,35.13,0.96,101.07
order_000110,product_0098,1,1899.63,0.74,1409.1
order_000110,product_0094,1,465.33,0.77,356.65
order_000111,product_0062,3,35.13,0.81,85.07
order_000111,product_0093,2,845.23,0.75,1268.25
order_000112,product_0031,1,166.64,0.82,137.44
order_000112,product_0014,3,2890.27,0.77,6719.81
order_000112,product_0081,1,249.67,0.9,224.44
order_000112,product_0056,2,754.6,0.82,1244.4
order_000112,product_0085,1,3877.47,0.94,3627.45
order_000113,product_0016,2,578.89,0.89,1035.78
order_000113,product_0043,1,1552.19,0.78,1215.46
order_000113,product_0002,1,1062.63,0.9,954.5
order_000114,product_0089,1,45.03,0.78,35.03
order_000115,product_0037,1,171.25,0.83,141.39
order_000115,product_0057,2,1403.71,0.7,1965.39
order_000115,product_0100,2,4775.03,0.95,9102.77
order_000116,product_0055,1,258.67,0.74,190.41
order_000116,product_0097,2,1228.6,0.92,2252.85
order_000117,product_0001,1,1796.91,0.8,1445.88
order_000118,product_0059,1,51.42,0.92,47.08
order_000118,product_0055,2,258.67,0.73,378.9
order_000118,product_0034,3,143.75,0.93,398.94
order_000119,product_0013,2,1762.43,0.84,2945.59
order_000120,product_0043,3,1552.19,0.94,4398.23
order_000121,product_0079,2,129.11,0.96,247.84
order_000122,product_0030,2,851.17,0.86,1464.85
order_000122,product_0068,3,408.45,0.94,1154.79
order_000122,product_0018,2,815.05,0.87,1416.11
order_000123,product_0065,2,343.18,0.82,562.54
order_000123,product_0029,1,2220.92,0.86,1910.88
order_000124,product_0047,2,487.4,0.77,751.01
order_000125,product_0070,3,429.16,0.7,901.47
order_000125,product_0065,2,343.18,0.77,530.11
order_000125,product_0024,3,184.03,0.76,417.09
order_000126,product_0055,3,258.67,0.81,627.78
order_000127,product_0022,3,1926.05,0.97,5613.99
order_000127,product_0029,3,2220.92,0.8,5323.86
order_000127,product_0098,1,1899.63,0.99,1873.07
order_000127,product_0018,3,815.05,1.0,2440.59
order_000127,product_0038,2,833.85,0.9,1504.61
order_000128,product_0056,3,754.6,0.74,1668.77
order_000128,product_0044,2,394.62,0.97,767.8
order_000128,product_0001,1,1796.91,0.86,1551.43
order_000129,product_0065,3,343.18,0.84,867.86
order_000129,product_0021,1,163.3,0.74,121.12
order_000129,product_0061,2,433.27,0.7,610.02
order_000129,product_0080,1,3202.18,0.95,3045.04
order_000129,product_0064,3,3486.99,0.7,7367.81
order_000130,product_0023,3,1889.93,0.76,4307.71
order_000130,product_0071,3,434.99,0.96,1257.37
order_000130,product_0068,2,408.45,0.86,705.28
order_000131,product_0002,2,1062.63,0.76,1611.55
order_000131,product_0081,1,249.67,0.95,236.92
order_000131,product_0022,1,1926.05,0.89,1721.23
order_000132,product_0058,2,414.5,0.94,777.55
order_000132,product_0006,1,873.64,0.76,660.29
order_000132,product_0023,2,1889.93,0.76,2883.92
order_000132,product_0079,3,129.11,0.81,312.07
order_000132,product_0079,1,129.11,0.96,123.41
order_000133,product_0057,1,1403.71,0.74,1042.06
order_000133,product_0055,2,258.67,0.73,379.01
order_000133,product_0087,2,1093.92,0.81,1781.96
order_000134,product_0026,3,165.38,0.89,440.72
order_000134,product_0087,1,1093.92,0.74,813.66
order_000134,product_0041,1,416.17,0.98,405.89
order_000134,product_0003,2,810.71,0.89,1439.22
order_000134,product_0082,3,2909.14,0.72,6289.95
order_000135,product_0061,2,433.27,0.9,781.12
order_000136,product_0071,2,434.99,0.88,764.66
order_000136,product_0100,1,4775.03,0.81,3889.92
order_000137,product_0097,2,1228.6,0.99,2433.42
order_000138,product_0051,1,986.1,0.86,845.9
order_000138,product_0062,3,35.13,0.91,96.31
order_000139,product_0058,2,414.5,0.81,674.36
order_000139,product_0071,1,434.99,0.8,349.24
order_000139,product_0087,2,1093.92,0.72,1578.93
order_000140,product_0097,3,1228.6,0.72,2641.69
order_000140,product_0048,3,1563.92,0.73,3406.79
order_000141,product_0045,2,431.23,0.79,680.82
order_000142,product_0088,1,2877.95,0.95,2747.51
order_000143,product_0062,1,35.13,0.8,28.2
order_000144,product_0050,2,1140.24,0.76,1737.13
order_000145,product_0085,1,3877.47,0.83,3230.44
order_000145,product_0029,2,2220.92,0.86,3821.62
order_000145,product_0018,2,815.05,0.75,1222.36
order_000146,product_0045,2,431.23,0.76,655.8
order_000146,product_0014,1,2890.27,0.73,2122.82
order_000146,product_0004,2,4896.76,0.85,8330.39
order_000146,product_0047,3,487.4,0.72,1047.45
order_000146,product_0077,3,136.92,0.85,349.05
order_000147,product_0019,2,2966.75,0.98,5789.69
order_000147,product_0089,2,45.03,0.8,72.29
order_000147,product_0092,1,114.84,0.83,95.71
order_000147,product_0053,3,380.57,0.81,919.64
order_000148,product_0019,1,2966.75,0.79,2343.05
order_000148,product_0076,1,827.87,0.79,657.05
order_000149,product_0049,3,158.53,0.95,451.75
order_000149,product_0072,1,522.59,0.88,460.1
order_000149,product_0046,2,258.53,0.86,446.42
order_000150,product_0054,2,510.54,0.83,851.36
order_000150,product_0025,2,418.26,0.72,601.25
order_000150,product_0016,2,578.89,0.88,1013.09
order_000150,product_0092,2,114.84,0.89,204.51
order_000150,product_0080,3,3202.18,0.92,8884.23
order_000151,product_0026,2,165.38,0.88,290.71
order_000151,product_0033,2,1946.63,0.71,2756.66
order_000151,product_0084,3,205.17,0.73,450.45
order_000152,product_0026,3,165.38,0.88,438.56
order_000152,product_0030,1,851.17,0.97,825.11
order_000152,product_0044,1,394.62,0.91,359.97
order_000152,product_0088,2,2877.95,0.83,4800.52
order_000153,product_0021,2,163.3,0.71,230.78
order_000153,product_0087,3,1093.92,0.8,2625.73
order_000154,product_0048,2,1563.92,0.75,2333.19
order_000155,product_0046,3,258.53,0.85,657.47
order_000155,product_0040,2,267.72,0.96,512.24
order_000155,product_0078,3,745.58,0.8,1794.97
order_000156,product_0006,1,873.64,0.97,846.75
order_000156,product_0022,2,1926.05,0.8,3075.34
order_000156,product_0094,1,465.33,0.82,380.68
order_000156,product_0071,3,434.99,0.8,1046.59
order_000156,product_0027,1,105.19,0.73,76.41
order_000157,product_0069,3,251.55,0.78,590.31
order_000157,product_0003,2,810.71,0.92,1494.88
order_000157,product_0053,1,380.57,0.74,280.0
order_000158,product_0093,2,845.23,0.76,1290.71
order_000158,product_0021,1,163.3,0.95,155.29
order_000158,product_0038,2,833.85,0.9,1501.06
order_000159,product_0014,3,2890.27,0.92,7940.5
order_000159,product_0012,2,615.3,0.86,1056.19
order_000159,product_0034,1,143.75,0.95,136.06
order_000160,product_0017,3,361.8,0.79,858.37
order_000161,product_0001,3,1796.91,0.88,4744.79
order_000161,product_0013,2,1762.43,0.81,2868.96
order_000161,product_0086,1,450.93,0.99,446.85
order_000162,product_0019,2,2966.75,0.74,4369.57
order_000162,product_0074,2,622.24,0.76,939.75
order_000162,product_0051,3,986.1,0.89,2624.05
order_000162,product_0012,1,615.3,0.82,506.0
order_000162,product_0011,1,2576.99,0.92,2366.72
order_000163,product_0084,1,205.17,0.82,167.35
order_000163,product_0014,2,2890.27,0.92,5346.92
order_000163,product_0086,1,450.93,0.74,334.16
order_000163,product_0094,3,465.33,0.97,1351.35
order_000163,product_0087,3,1093.92,0.79,2580.66
order_000164,product_0038,2,833.85,0.71,1185.76
order_000164,product_0044,2,394.62,0.8,632.1
order_000165,product_0006,1,873.64,0.89,774.97
order_000165,product_0038,3,833.85,0.73,1815.18
order_000166,product_0070,1,429.16,0.78,336.64
order_000166,product_0039,1,1878.99,0.83,1557.2
order_000166,product_0056,1,754.6,0.84,631.63
order_000166,product_0076,2,827.87,0.76,1255.86
order_000166,product_0052,2,1439.64,0.72,2069.0
order_000167,product_0025,3,418.26,0.94,1176.46
order_000167,product_0057,2,1403.71,0.81,2287.67
order_000168,product_0085,2,3877.47,0.78,6038.95
order_000169,product_0098,3,1899.63,0.96,5460.9
order_000170,product_0018,2,815.05,0.81,1312.33
order_000170,product_0072,1,522.59,0.97,504.53
order_000170,product_0053,2,380.57,0.82,625.1
order_000170,product_0049,3,158.53,0.96,456.84
order_000170,product_0090,1,316.49,0.88,278.59
order_000171,product_0068,2,408.45,0.89,726.41
order_000172,product_0094,3,465.33,0.76,1061.57
order_000172,product_0054,1,510.54,0.73,372.03
order_000172,product_0034,1,143.75,0.73,105.51
order_000172,product_0018,1,815.05,0.86,704.36
order_000172,product_0026,2,165.38,0.72,237.87
order_000173,product_0029,3,2220.92,0.96,6367.03
order_000173,product_0058,2,414.5,0.93,767.27
order_000173,product_0002,3,1062.63,0.92,2942.52
order_000174,product_0077,1,136.92,0.88,120.62
order_000174,product_0002,3,1062.63,0.9,2884.83
order_000175,product_0090,3,316.49,0.87,830.33
order_000175,product_0060,1,3260.77,0.82,2680.11
order_000176,product_0013,1,1762.43,0.76,1335.19
order_000176,product_0052,1,1439.64,0.78,1125.03
order_000176,product_0050,3,1140.24,0.76,2601.59
order_000176,product_0007,3,87.52,0.79,207.5
order_000176,product_0100,1,4775.03,0.81,3876.85
order_000177,product_0011,2,2576.99,0.98,5067.72
order_000177,product_0023,1,1889.93,0.84,1578.25
order_000177,product_0091,3,1546.55,0.76,3538.8
order_000177,product_0023,3,1889.93,0.76,4315.05
order_000178,product_0068,3,408.45,0.71,865.47
order_000178,product_0025,2,418.26,0.94,790.51
order_000178,product_0097,1,1228.6,0.86,1058.45
order_000178,product_0054,2,510.54,0.89,905.04
order_000178,product_0099,1,408.72,0.99,405.9
order_000179,product_0077,3,136.92,0.98,403.53
order_000179,product_0058,2,414.5,0.73,604.98
order_000180,product_0053,1,380.57,0.76,290.96
order_000180,product_0072,1,522.59,0.98,511.52
order_000180,product_0074,3,622.24,0.94,1753.6
order_000180,product_0038,3,833.85,0.72,1798.96
order_000181,product_0054,3,510.54,0.76,1165.63
order_000181,product_0004,3,4896.76,0.89,13115.97
order_000181,product_0036,1,3161.33,0.82,2597.17
order_000182,product_0036,1,3161.33,0.83,2625.04
order_000182,product_0061,1,433.27,0.75,326.77
order_000183,product_0063,1,905.54,0.8,722.5
order_000183,product_0078,1,745.58,0.88,657.95
order_000183,product_0045,2,431.23,0.92,795.8
order_000184,product_0080,1,3202.18,0.79,2519.39
order_000184,product_0001,3,1796.91,0.9,4846.93
order_000185,product_0091,3,1546.55,0.87,4051.18
order_000186,product_0049,2,158.53,0.9,285.17
order_000186,product_0022,1,1926.05,0.78,1511.36
order_000187,product_0071,3,434.99,0.7,916.36
order_000187,product_0088,3,2877.95,0.94,8109.07
order_000187,product_0031,3,166.64,0.99,496.78
order_000187,product_0051,3,986.1,0.85,2516.28
order_000188,product_0090,1,316.49,0.94,297.29
order_000189,product_0068,2,408.45,0.82,666.44
order_000189,product_0036,3,3161.33,0.91,8622.37
order_000189,product_0086,2,450.93,0.96,864.78
order_000190,product_0049,3,158.53,0.71,337.25
order_000190,product_0068,3,408.45,0.96,1179.04
order_000190,product_0058,3,414.5,0.75,929.56
order_000190,product_0084,3,205.17,0.95,582.77
order_000191,product_0021,3,163.3,0.85,416.82
