user_id,region,register_date,age,gender
user_0106,华东,2025-02-23,40,女
user_0107,华北,2024-06-14,46,男
user_0108,华中,2024-12-14,60,男
user_0109,华东,2025-11-07,28,男
user_0110,华东,2025-12-28,35,男
user_0111,华北,2025-04-10,64,男
user_0112,华东,2026-02-07,29,男
user_0113,西北,2024-06-03,26,男
user_0114,西南,2024-05-01,27,男
user_0115,华中,2024-09-01,61,男
user_0116,西南,2025-09-21,34,男
user_0117,西南,2025-11-25,55,男
user_0118,华东,2025-10-31,24,男
user_0119,西北,2025-05-20,63,女
user_0120,华南,2024-09-06,30,男
user_0121,西南,2025-04-22,57,女
user_0122,西北,2025-05-29,59,女
user_0123,华北,2024-05-07,26,男
user_0124,华东,2024-05-17,44,女
user_0125,华东,2026-02-04,19,女
user_0126,华北,2025-01-10,22,男
user_0127,西南,2024-07-25,46,男
user_0128,西南,2025-07-09,54,女
user_0129,华东,2026-02-05,55,女
user_0130,华南,2024-09-04,36,男
user_0131,华北,2024-07-18,25,男
user_0132,华东,2026-03-25,62,男
user_0133,华东,2025-12-17,18,男
user_0134,华北,2025-09-15,39,女
user_0135,西北,2025-04-14,34,男
user_0136,华北,2026-02-11,24,男
user_0137,华南,2024-06-12,42,女
user_0138,华中,2025-07-04,62,男
user_0139,华北,2025-03-25,21,男
user_0140,东北,2024-07-02,53,女
user_0141,东北,2025-12-14,23,女
user_0142,华北,2024-05-29,48,男
user_0143,华南,2024-06-09,36,男
user_0144,华北,2024-06-11,61,男
user_0145,华北,2025-11-30,56,男
user_0146,华东,2024-08-03,44,男
user_0147,华南,2026-01-31,27,男
user_0148,华南,2025-04-18,43,男
user_0149,华东,2024-12-11,36,男
user_0150,华北,2025-12-03,56,男
user_0151,西北,2025-11-23,20,男
user_0152,华东,2025-03-02,62,男
user_0153,华东,2024-06-27,30,男
user_0154,华南,2026-01-31,45,男
user_0155,东北,2024-07-04,37,女
user_0156,华东,2024-11-02,45,女
user_0157,华中,2025-12-24,25,女
user_0158,华中,2024-06-30,58,女
user_0159,华东,2025-12-02,56,男
user_0160,华中,2024-09-16,18,男
user_0161,华北,2024-08-06,20,男
user_0162,华中,2024-11-27,30,女
user_0163,华中,2025-08-05,45,女
user_0164,华南,2025-07-01,42,男
user_0165,华东,2025-09-22,50,男
user_0166,西南,2025-01-07,55,男
user_0167,华北,2024-08-26,23,男
user_0168,华东,2025-07-26,61,女
user_0169,华东,2026-01-13,62,女
user_0170,华南,2025-10-27,49,男
user_0171,华中,2024-06-12,62,女
user_0172,华东,2025-01-19,64,女
user_0173,华南,2026-01-03,38,男
user_0174,华东,2024-05-02,33,男
user_0175,华中,2025-06-18,38,男
user_0176,华东,2025-08-22,28,男
user_0177,华中,2026-01-20,54,男
user_0178,华北,2026-02-11,53,男
user_0179,西北,2025-12-26,52,男
user_0180,华东,2025-01-01,36,男
user_0181,华北,2025-09-07,37,女
user_0182,华东,2025-08-24,35,男
user_0183,西北,2024-12-11,64,男
user_0184,西南,2025-01-22,58,男
user_0185,华北,2025-04-23,31,女
user_0186,华中,2024-09-25,32,男
user_0187,西南,2024-07-26,48,男
user_0188,华南,2025-06-14,18,女
user_0189,华南,2025-07-19,20,女
user_0190,华东,2025-04-07,33,女
user_0191,华东,2026-03-07,40,男
user_0192,西北,2024-10-24,28,男
user_0193,西北,2025-12-20,29,女
user_0194,华中,2025-10-01,27,女
user_0195,华北,2025-08-19,49,女
user_0196,华北,2024-06-09,33,女
user_0197,华中,2025-01-12,25,男
user_0198,西北,2024-07-30,55,女
user_0199,西北,2025-05-09,29,男
user_0200,华中,2024-10-30,41,男
