date,city,temperature,humidity,precipitation,wind_speed,pressure,year,month,day,dayofyear,weekofyear,quarter,season
2020-02-27,北京,6.41,75.99,2.78,2.39,1016.92,2020,2,27,58,9,1,冬季
2020-02-28,北京,14.03,65.21,0.77,2.75,1025.81,2020,2,28,59,9,1,冬季
2020-02-29,北京,9.12,63.7,6.02,3.21,1028.98,2020,2,29,60,9,1,冬季
2020-03-01,北京,9.97,47.86,2.23,5.75,1023.01,2020,3,1,61,9,1,春季
2020-03-02,北京,14.94,51.03,0.12,10.31,1022.21,2020,3,2,62,10,1,春季
2020-03-03,北京,21.79,55.67,3.45,3.89,1030.32,2020,3,3,63,10,1,春季
2020-03-04,北京,12.61,53.36,0.17,8.22,982.44,2020,3,4,64,10,1,春季
2020-03-05,北京,22.85,56.98,1.26,3.32,1032.07,2020,3,5,65,10,1,春季
2020-03-06,北京,18.85,64.93,0.94,3.57,1007.85,2020,3,6,66,10,1,春季
2020-03-07,北京,17.29,60.7,1.89,6.57,1020.1,2020,3,7,67,10,1,春季
2020-03-08,北京,15.27,82.76,2.38,4.5,1031.01,2020,3,8,68,10,1,春季
2020-03-09,北京,24.08,58.89,1.94,6.54,1010.63,2020,3,9,69,11,1,春季
2020-03-10,北京,8.22,70.33,0.16,0.43,1018.44,2020,3,10,70,11,1,春季
2020-03-11,北京,10.51,64.92,4.84,5.64,1035.15,2020,3,11,71,11,1,春季
2020-03-12,北京,20.9,55.31,8.73,4.16,996.54,2020,3,12,72,11,1,春季
2020-03-13,北京,14.43,72.38,1.07,3.06,1012.17,2020,3,13,73,11,1,春季
2020-03-14,北京,15.03,60.47,2.93,2.59,989.01,2020,3,14,74,11,1,春季
2020-03-15,北京,15.6,65.14,0.52,6.89,1036.12,2020,3,15,75,11,1,春季
2020-03-16,北京,16.66,52.52,1.47,3.64,1036.27,2020,3,16,76,12,1,春季
2020-03-17,北京,25.3,77.55,4.19,1.33,1008.96,2020,3,17,77,12,1,春季
2020-03-18,北京,18.23,73.69,2.44,2.33,1007.87,2020,3,18,78,12,1,春季
2020-03-19,北京,20.29,42.41,1.0,6.18,1010.94,2020,3,19,79,12,1,春季
2020-03-20,北京,22.51,60.74,1.01,6.56,1017.96,2020,3,20,80,12,1,春季
2020-03-21,北京,6.48,59.44,1.23,3.32,1019.05,2020,3,21,81,12,1,春季
2020-03-22,北京,8.48,66.7,0.16,1.22,1020.32,2020,3,22,82,12,1,春季
2020-03-23,北京,14.69,69.55,2.2,2.31,1005.86,2020,3,23,83,13,1,春季
2020-03-24,北京,12.35,52.07,0.39,0.83,1010.13,2020,3,24,84,13,1,春季
2020-03-25,北京,24.82,60.35,0.08,4.85,1031.07,2020,3,25,85,13,1,春季
2020-03-26,北京,14.44,57.79,3.28,1.77,1021.69,2020,3,26,86,13,1,春季
2020-03-27,北京,13.62,36.98,1.93,1.96,980.12,2020,3,27,87,13,1,春季
2020-03-28,北京,17.88,63.11,1.43,1.4,1014.19,2020,3,28,88,13,1,春季
2020-03-29,北京,6.97,62.03,0.63,2.87,1012.28,2020,3,29,89,13,1,春季
2020-03-30,北京,11.77,49.18,0.26,3.93,1026.66,2020,3,30,90,14,1,春季
2020-03-31,北京,14.96,74.8,0.18,3.21,1028.22,2020,3,31,91,14,1,春季
2020-04-01,北京,17.31,53.1,0.67,8.39,993.36,2020,4,1,92,14,2,春季
2020-04-02,北京,15.51,60.63,0.21,2.28,1003.61,2020,4,2,93,14,2,春季
2020-04-03,北京,19.54,46.36,0.38,5.43,1018.85,2020,4,3,94,14,2,春季
2020-04-04,北京,22.08,57.37,0.6,4.09,1020.92,2020,4,4,95,14,2,春季
2020-04-05,北京,23.54,75.43,0.66,9.51,1004.53,2020,4,5,96,14,2,春季
2020-04-06,北京,17.49,57.8,0.56,0.08,990.14,2020,4,6,97,15,2,春季
2020-04-07,北京,26.49,43.61,1.31,4.07,1010.77,2020,4,7,98,15,2,春季
2020-04-08,北京,20.46,48.98,2.29,5.71,1002.15,2020,4,8,99,15,2,春季
2020-04-09,北京,34.67,37.3,5.31,1.31,1015.55,2020,4,9,100,15,2,春季
2020-04-10,北京,22.95,59.88,3.69,9.3,1004.08,2020,4,10,101,15,2,春季
2020-04-11,北京,25.44,51.82,3.37,2.58,979.88,2020,4,11,102,15,2,春季
2020-04-12,北京,24.3,52.3,3.39,6.43,1002.85,2020,4,12,103,15,2,春季
2020-04-13,北京,11.35,65.52,1.4,1.6,1009.41,2020,4,13,104,16,2,春季
2020-04-14,北京,26.62,63.92,1.96,3.59,1015.48,2020,4,14,105,16,2,春季
2020-04-15,北京,25.34,46.25,3.16,2.4,1027.49,2020,4,15,106,16,2,春季
2020-04-16,北京,22.91,50.13,0.75,4.49,1035.65,2020,4,16,107,16,2,春季
2020-04-17,北京,24.51,51.52,3.44,5.97,1032.3,2020,4,17,108,16,2,春季
2020-04-18,北京,20.28,50.73,2.56,2.1,1033.79,2020,4,18,109,16,2,春季
2020-04-19,北京,27.54,38.68,0.85,4.11,1015.56,2020,4,19,110,16,2,春季
2020-04-20,北京,26.68,46.09,5.89,0.21,1015.71,2020,4,20,111,17,2,春季
2020-04-21,北京,35.72,52.97,4.11,3.46,1039.73,2020,4,21,112,17,2,春季
2020-04-22,北京,25.45,57.17,0.33,4.61,992.88,2020,4,22,113,17,2,春季
2020-04-23,北京,31.93,56.84,5.2,3.6,1051.08,2020,4,23,114,17,2,春季
2020-04-24,北京,25.12,49.12,0.82,3.0,1025.78,2020,4,24,115,17,2,春季
2020-04-25,北京,10.9,52.7,0.85,5.23,990.46,2020,4,25,116,17,2,春季
2020-04-26,北京,21.2,43.75,0.39,2.96,1025.07,2020,4,26,117,17,2,春季
2020-04-27,北京,21.71,65.8,2.0,0.48,997.74,2020,4,27,118,18,2,春季
2020-04-28,北京,25.08,47.01,1.89,2.93,1002.84,2020,4,28,119,18,2,春季
2020-04-29,北京,23.25,47.17,4.57,5.4,1051.55,2020,4,29,120,18,2,春季
2020-04-30,北京,16.96,68.89,1.16,0.1,995.34,2020,4,30,121,18,2,春季
2020-05-01,北京,29.01,54.24,5.84,2.72,1025.5,2020,5,1,122,18,2,春季
2020-05-02,北京,21.36,47.72,0.34,3.16,1011.66,2020,5,2,123,18,2,春季
2020-05-03,北京,28.14,44.3,2.23,1.78,1014.48,2020,5,3,124,18,2,春季
2020-05-04,北京,27.34,56.34,0.54,1.29,1025.21,2020,5,4,125,19,2,春季
2020-05-05,北京,23.29,53.69,1.01,4.03,1003.14,2020,5,5,126,19,2,春季
2020-05-06,北京,23.3,34.64,4.46,10.28,994.38,2020,5,6,127,19,2,春季
2020-05-07,北京,23.91,64.5,0.62,0.55,1031.7,2020,5,7,128,19,2,春季
2020-05-08,北京,17.14,33.81,5.93,2.12,1027.58,2020,5,8,129,19,2,春季
2020-05-09,北京,27.84,47.98,0.05,8.16,1045.33,2020,5,9,130,19,2,春季
2020-05-10,北京,31.35,45.11,3.6,2.37,993.67,2020,5,10,131,19,2,春季
2020-05-11,北京,28.49,35.04,1.62,4.97,1005.96,2020,5,11,132,20,2,春季
2020-05-12,北京,30.63,67.55,2.19,9.25,1010.63,2020,5,12,133,20,2,春季
2020-05-13,北京,32.02,55.18,0.1,0.19,1007.78,2020,5,13,134,20,2,春季
2020-05-14,北京,28.98,37.0,0.99,5.07,1033.12,2020,5,14,135,20,2,春季
2020-05-15,北京,23.57,57.08,1.29,0.55,1014.43,2020,5,15,136,20,2,春季
2020-05-16,北京,28.89,57.42,0.11,0.75,987.66,2020,5,16,137,20,2,春季
2020-05-17,北京,32.93,47.82,0.16,4.0,1042.63,2020,5,17,138,20,2,春季
2020-05-18,北京,27.75,35.76,3.42,2.4,996.68,2020,5,18,139,21,2,春季
2020-05-19,北京,32.64,33.71,0.19,7.25,993.21,2020,5,19,140,21,2,春季
2020-05-20,北京,26.86,61.99,2.64,3.65,1032.29,2020,5,20,141,21,2,春季
2020-05-21,北京,33.3,46.8,1.34,5.25,1025.28,2020,5,21,142,21,2,春季
2020-05-22,北京,28.66,55.81,7.08,2.81,1029.94,2020,5,22,143,21,2,春季
2020-05-23,北京,27.59,46.69,3.53,6.19,991.92,2020,5,23,144,21,2,春季
2020-05-24,北京,30.5,40.91,2.58,7.84,1019.19,2020,5,24,145,21,2,春季
2020-05-25,北京,18.34,44.83,1.97,6.82,992.76,2020,5,25,146,22,2,春季
2020-05-26,北京,30.92,58.47,3.21,3.46,1031.35,2020,5,26,147,22,2,春季
2020-05-27,北京,24.57,46.24,1.98,0.6,986.62,2020,5,27,148,22,2,春季
2020-05-28,北京,25.89,48.52,0.88,1.35,997.24,2020,5,28,149,22,2,春季
2020-05-29,北京,27.82,53.68,0.97,1.26,1023.24,2020,5,29,150,22,2,春季
2020-05-30,北京,32.91,49.2,5.79,3.21,1003.04,2020,5,30,151,22,2,春季
2020-05-31,北京,28.82,56.26,1.87,0.7,1014.11,2020,5,31,152,22,2,春季
2020-06-01,北京,26.88,44.45,1.89,2.21,1010.48,2020,6,1,153,23,2,夏季
2020-06-02,北京,37.1,44.29,1.89,4.3,1007.35,2020,6,2,154,23,2,夏季
2020-06-03,北京,31.01,34.84,7.19,1.6,1015.47,2020,6,3,155,23,2,夏季
2020-06-04,北京,26.94,46.12,1.89,4.94,1029.25,2020,6,4,156,23,2,夏季
2020-06-05,北京,29.12,42.02,3.73,6.18,998.74,2020,6,5,157,23,2,夏季
2020-06-06,北京,27.41,52.24,1.89,1.55,1032.86,2020,6,6,158,23,2,夏季
2020-06-07,北京,24.34,33.61,1.89,4.68,1026.99,2020,6,7,159,23,2,夏季
2020-06-08,北京,32.11,54.06,1.89,5.54,1028.13,2020,6,8,160,24,2,夏季
2020-06-09,北京,37.66,43.51,1.89,4.73,1007.45,2020,6,9,161,24,2,夏季
2020-06-10,北京,25.83,43.1,1.89,4.78,1009.61,2020,6,10,162,24,2,夏季
2020-06-11,北京,30.02,58.18,1.89,0.78,1024.3,2020,6,11,163,24,2,夏季
2020-06-12,北京,23.25,64.95,0.91,3.92,1021.07,2020,6,12,164,24,2,夏季
2020-06-13,北京,30.24,62.09,1.89,0.82,1015.63,2020,6,13,165,24,2,夏季
2020-06-14,北京,32.04,48.14,1.89,2.39,985.85,2020,6,14,166,24,2,夏季
2020-06-15,北京,34.83,45.2,1.89,3.67,1018.51,2020,6,15,167,25,2,夏季
2020-06-16,北京,27.37,48.69,1.89,0.36,987.49,2020,6,16,168,25,2,夏季
2020-06-17,北京,27.97,37.7,1.89,2.9,1029.83,2020,6,17,169,25,2,夏季
2020-06-18,北京,36.55,47.78,1.89,1.16,994.59,2020,6,18,170,25,2,夏季
2020-06-19,北京,38.3,58.98,2.09,2.83,1014.11,2020,6,19,171,25,2,夏季
2020-06-20,北京,28.85,59.51,5.13,2.52,1017.05,2020,6,20,172,25,2,夏季
2020-06-21,北京,28.85,57.08,1.89,5.57,998.83,2020,6,21,173,25,2,夏季
2020-06-22,北京,31.62,62.49,5.25,4.77,1018.62,2020,6,22,174,26,2,夏季
2020-06-23,北京,26.21,36.42,5.41,2.58,989.13,2020,6,23,175,26,2,夏季
2020-06-24,北京,32.82,43.65,4.86,6.62,1010.4,2020,6,24,176,26,2,夏季
2020-06-25,北京,26.56,74.72,2.76,2.21,1018.58,2020,6,25,177,26,2,夏季
2020-06-26,北京,32.39,49.76,0.89,2.07,1049.03,2020,6,26,178,26,2,夏季
2020-06-27,北京,29.89,55.25,0.08,10.37,999.86,2020,6,27,179,26,2,夏季
2020-06-28,北京,30.19,47.31,0.65,3.12,1015.93,2020,6,28,180,26,2,夏季
2020-06-29,北京,24.69,59.89,1.79,5.22,1017.13,2020,6,29,181,27,2,夏季
2020-06-30,北京,26.01,68.12,1.89,4.35,1004.31,2020,6,30,182,27,2,夏季
2020-07-01,北京,33.44,52.49,1.89,6.44,1019.02,2020,7,1,183,27,3,夏季
2020-07-02,北京,38.9,47.64,0.5,3.89,997.53,2020,7,2,184,27,3,夏季
2020-07-03,北京,25.34,57.53,5.52,7.18,999.0,2020,7,3,185,27,3,夏季
2020-07-04,北京,31.76,40.06,9.12,5.01,1029.37,2020,7,4,186,27,3,夏季
2020-07-05,北京,27.44,60.67,4.43,6.13,989.57,2020,7,5,187,27,3,夏季
2020-07-06,北京,38.0,50.29,1.89,10.37,988.51,2020,7,6,188,28,3,夏季
2020-07-07,北京,25.13,59.34,1.89,3.82,1033.65,2020,7,7,189,28,3,夏季
2020-07-08,北京,31.88,55.36,1.89,1.86,1017.86,2020,7,8,190,28,3,夏季
2020-07-09,北京,26.53,34.83,1.89,3.2,979.48,2020,7,9,191,28,3,夏季
2020-07-10,北京,29.17,39.78,3.97,4.23,1025.11,2020,7,10,192,28,3,夏季
2020-07-11,北京,21.76,62.42,1.12,1.82,989.66,2020,7,11,193,28,3,夏季
2020-07-12,北京,26.63,30.39,1.89,4.03,1022.73,2020,7,12,194,28,3,夏季
2020-07-13,北京,21.03,42.96,1.47,4.87,1025.71,2020,7,13,195,29,3,夏季
2020-07-14,北京,34.1,63.48,1.89,3.11,1008.45,2020,7,14,196,29,3,夏季
2020-07-15,北京,29.89,48.07,0.47,2.1,1011.04,2020,7,15,197,29,3,夏季
2020-07-16,北京,22.82,49.44,5.66,4.63,1015.09,2020,7,16,198,29,3,夏季
2020-07-17,北京,30.25,50.0,5.8,7.0,999.93,2020,7,17,199,29,3,夏季
2020-07-18,北京,30.01,41.96,8.95,5.29,1017.15,2020,7,18,200,29,3,夏季
2020-07-19,北京,24.74,62.07,1.56,2.93,1012.54,2020,7,19,201,29,3,夏季
2020-07-20,北京,38.01,60.97,6.76,4.19,1015.96,2020,7,20,202,30,3,夏季
2020-07-21,北京,30.24,40.57,8.6,5.37,1001.43,2020,7,21,203,30,3,夏季
2020-07-22,北京,29.47,61.39,1.89,2.72,1021.47,2020,7,22,204,30,3,夏季
2020-07-23,北京,29.77,34.49,8.81,1.46,1023.82,2020,7,23,205,30,3,夏季
2020-07-24,北京,31.17,64.24,1.02,2.7,993.83,2020,7,24,206,30,3,夏季
2020-07-25,北京,19.77,42.49,4.76,9.16,993.6,2020,7,25,207,30,3,夏季
2020-07-26,北京,24.99,53.04,8.83,1.83,979.26,2020,7,26,208,30,3,夏季
2020-07-27,北京,24.58,51.93,5.22,7.17,995.65,2020,7,27,209,31,3,夏季
2020-07-28,北京,20.33,65.79,6.1,0.49,1023.2,2020,7,28,210,31,3,夏季
2020-07-29,北京,30.87,48.81,1.89,4.45,1010.17,2020,7,29,211,31,3,夏季
2020-07-30,北京,30.76,51.0,2.37,1.43,1027.56,2020,7,30,212,31,3,夏季
2020-07-31,北京,24.9,32.22,7.54,4.47,1003.95,2020,7,31,213,31,3,夏季
2020-08-01,北京,14.57,53.66,9.14,2.94,1040.7,2020,8,1,214,31,3,夏季
2020-08-02,北京,23.61,56.6,2.37,1.45,1033.96,2020,8,2,215,31,3,夏季
2020-08-03,北京,22.12,49.21,8.02,3.5,1031.09,2020,8,3,216,32,3,夏季
2020-08-04,北京,24.42,52.16,1.91,4.48,1030.24,2020,8,4,217,32,3,夏季
2020-08-05,北京,21.0,52.25,2.16,5.67,1025.04,2020,8,5,218,32,3,夏季
2020-08-06,北京,19.7,73.2,0.8,1.62,1046.34,2020,8,6,219,32,3,夏季
2020-08-07,北京,16.31,60.24,1.89,1.77,1031.37,2020,8,7,220,32,3,夏季
2020-08-08,北京,30.62,39.63,3.97,4.07,1017.72,2020,8,8,221,32,3,夏季
2020-08-09,北京,22.49,59.15,4.14,1.71,1027.65,2020,8,9,222,32,3,夏季
2020-08-10,北京,28.02,58.03,6.91,2.14,996.49,2020,8,10,223,33,3,夏季
2020-08-11,北京,18.94,49.13,5.86,2.85,1003.67,2020,8,11,224,33,3,夏季
2020-08-12,北京,26.01,65.31,8.42,3.62,995.41,2020,8,12,225,33,3,夏季
2020-08-13,北京,16.33,61.95,1.89,3.21,1014.45,2020,8,13,226,33,3,夏季
2020-08-14,北京,19.1,45.09,6.14,5.24,1036.75,2020,8,14,227,33,3,夏季
2020-08-15,北京,20.97,68.14,1.89,1.08,1004.99,2020,8,15,228,33,3,夏季
2020-08-16,北京,15.46,55.73,1.89,5.78,1001.76,2020,8,16,229,33,3,夏季
2020-08-17,北京,23.63,49.73,1.89,4.36,996.94,2020,8,17,230,34,3,夏季
2020-08-18,北京,18.05,47.96,1.89,2.75,1000.28,2020,8,18,231,34,3,夏季
2020-08-19,北京,14.49,76.56,5.8,1.18,1016.77,2020,8,19,232,34,3,夏季
2020-08-20,北京,22.49,51.15,1.89,4.68,1006.42,2020,8,20,233,34,3,夏季
2020-08-21,北京,28.33,60.68,2.91,5.13,995.18,2020,8,21,234,34,3,夏季
2020-08-22,北京,20.73,44.63,1.89,8.0,1009.62,2020,8,22,235,34,3,夏季
2020-08-23,北京,23.49,79.65,1.89,2.62,975.11,2020,8,23,236,34,3,夏季
2020-08-24,北京,22.82,51.28,0.56,1.37,1020.62,2020,8,24,237,35,3,夏季
2020-08-25,北京,22.77,36.98,5.64,1.93,1017.25,2020,8,25,238,35,3,夏季
2020-08-26,北京,18.53,60.4,8.4,1.0,1002.67,2020,8,26,239,35,3,夏季
2020-08-27,北京,22.19,49.36,1.04,2.38,1017.54,2020,8,27,240,35,3,夏季
2020-08-28,北京,19.36,55.16,1.89,1.78,989.99,2020,8,28,241,35,3,夏季
2020-08-29,北京,27.06,60.0,4.44,3.21,1011.07,2020,8,29,242,35,3,夏季
2020-08-30,北京,27.45,49.93,4.28,1.13,1026.18,2020,8,30,243,35,3,夏季
2020-08-31,北京,26.31,54.7,5.25,2.9,1025.95,2020,8,31,244,36,3,夏季
2020-09-01,北京,11.02,61.09,0.48,1.2,998.09,2020,9,1,245,36,3,秋季
2020-09-02,北京,14.85,40.4,3.72,3.21,995.1,2020,9,2,246,36,3,秋季
2020-09-03,北京,14.8,71.68,1.29,1.56,999.88,2020,9,3,247,36,3,秋季
2020-09-04,北京,3.62,62.85,6.22,3.9,1030.13,2020,9,4,248,36,3,秋季
2020-09-05,北京,9.4,44.01,3.68,2.39,1011.67,2020,9,5,249,36,3,秋季
2020-09-06,北京,19.61,74.11,4.51,7.56,1003.39,2020,9,6,250,36,3,秋季
2020-09-07,北京,15.84,48.09,2.67,3.5,1009.57,2020,9,7,251,37,3,秋季
2020-09-08,北京,15.45,62.37,0.15,2.29,1000.96,2020,9,8,252,37,3,秋季
2020-09-09,北京,21.49,50.19,2.98,0.95,1006.23,2020,9,9,253,37,3,秋季
2020-09-10,北京,12.82,62.83,2.89,1.82,1022.11,2020,9,10,254,37,3,秋季
2020-09-11,北京,21.56,47.47,0.26,2.2,1022.63,2020,9,11,255,37,3,秋季
2020-09-12,北京,21.12,54.17,6.91,3.43,1034.83,2020,9,12,256,37,3,秋季
2020-09-13,北京,24.0,67.46,2.14,5.11,1021.35,2020,9,13,257,37,3,秋季
2020-09-14,北京,13.95,54.05,1.13,1.0,1021.69,2020,9,14,258,38,3,秋季
2020-09-15,北京,15.74,55.16,0.44,2.55,992.89,2020,9,15,259,38,3,秋季
2020-09-16,北京,19.57,63.04,3.75,4.07,1025.56,2020,9,16,260,38,3,秋季
2020-09-17,北京,10.93,72.14,2.61,2.98,997.42,2020,9,17,261,38,3,秋季
2020-09-18,北京,17.51,63.26,5.54,3.41,1011.58,2020,9,18,262,38,3,秋季
2020-09-19,北京,14.57,68.13,0.48,5.06,1020.42,2020,9,19,263,38,3,秋季
2020-09-20,北京,18.62,83.0,1.42,6.95,1040.17,2020,9,20,264,38,3,秋季
2020-09-21,北京,18.12,63.29,2.86,6.24,1009.24,2020,9,21,265,39,3,秋季
2020-09-22,北京,14.9,68.28,1.89,1.47,1032.32,2020,9,22,266,39,3,秋季
2020-09-23,北京,12.89,62.61,2.64,0.87,1005.28,2020,9,23,267,39,3,秋季
2020-09-24,北京,9.45,62.78,0.01,8.68,991.25,2020,9,24,268,39,3,秋季
2020-09-25,北京,9.47,55.46,4.19,1.63,1000.74,2020,9,25,269,39,3,秋季
2020-09-26,北京,4.53,65.89,1.8,4.29,1038.22,2020,9,26,270,39,3,秋季
2020-09-27,北京,11.25,71.67,0.2,2.06,1046.21,2020,9,27,271,39,3,秋季
2020-09-28,北京,13.52,61.26,1.65,1.85,1037.46,2020,9,28,272,40,3,秋季
2020-09-29,北京,19.78,53.75,3.49,5.96,1029.74,2020,9,29,273,40,3,秋季
2020-09-30,北京,11.75,69.48,1.46,5.42,1006.52,2020,9,30,274,40,3,秋季
2020-10-01,北京,3.07,56.57,0.5,3.0,1015.85,2020,10,1,275,40,4,秋季
2020-10-02,北京,10.38,83.62,3.08,1.25,1030.21,2020,10,2,276,40,4,秋季
2020-10-03,北京,5.98,76.99,1.77,0.42,991.84,2020,10,3,277,40,4,秋季
2020-10-04,北京,1.63,59.72,1.46,5.75,1028.49,2020,10,4,278,40,4,秋季
2020-10-05,北京,6.53,61.31,3.25,4.48,996.33,2020,10,5,279,41,4,秋季
2020-10-06,北京,7.24,67.06,1.37,2.45,1026.5,2020,10,6,280,41,4,秋季
2020-10-07,北京,11.39,68.55,0.29,1.23,1018.3,2020,10,7,281,41,4,秋季
2020-10-08,北京,8.11,55.24,0.57,1.52,1000.4,2020,10,8,282,41,4,秋季
2020-10-09,北京,2.89,61.96,3.0,9.24,1005.11,2020,10,9,283,41,4,秋季
2020-10-10,北京,7.43,66.02,1.06,1.18,1016.71,2020,10,10,284,41,4,秋季
2020-10-11,北京,7.94,72.02,0.11,3.59,1026.27,2020,10,11,285,41,4,秋季
2020-10-12,北京,2.9,53.9,1.67,5.02,1014.2,2020,10,12,286,42,4,秋季
2020-10-13,北京,9.24,56.92,0.33,2.58,1022.49,2020,10,13,287,42,4,秋季
2020-10-14,北京,5.25,75.18,0.24,2.63,1015.28,2020,10,14,288,42,4,秋季
2020-10-15,北京,3.36,65.86,1.23,1.02,1012.13,2020,10,15,289,42,4,秋季
2020-10-16,北京,9.68,74.04,1.24,10.31,997.48,2020,10,16,290,42,4,秋季
2020-10-17,北京,7.6,57.72,3.28,1.93,1012.12,2020,10,17,291,42,4,秋季
2020-10-18,北京,4.27,57.01,0.36,7.32,1001.47,2020,10,18,292,42,4,秋季
