date,revenue,quantity,transactions,revenue_ma7,quantity_ma7
2023-06-03,49162.49,113,28,21970.420000000002,52.42857142857143
2023-06-04,36939.979999999996,65,16,25492.83714285714,57.57142857142857
2023-06-05,46471.42,87,18,29669.134285714284,62.57142857142857
2023-06-06,26818.46,70,13,29863.79,65.28571428571429
2023-06-07,20314.579999999998,61,13,30338.901428571426,68.85714285714286
2023-06-08,18365.53,35,12,30855.059999999998,67.85714285714286
2023-06-09,38886.45,79,15,33851.27285714285,72.85714285714286
2023-06-10,22838.42,66,15,30090.691428571423,66.14285714285714
2023-06-11,28423.079999999998,61,10,28873.99142857143,65.57142857142857
2023-06-12,9811.99,22,8,23636.929999999997,56.285714285714285
2023-06-13,45545.69,87,17,26312.24857142857,58.714285714285715
2023-06-14,25500.16,56,14,27053.045714285716,58.0
2023-06-15,11418.529999999999,32,9,26060.617142857143,57.57142857142857
2023-06-16,38954.62,82,18,26070.355714285713,58.0
2023-06-17,37091.76,72,18,28106.547142857144,58.857142857142854
2023-06-18,38458.25,69,16,29540.14285714286,60.0
2023-06-19,41774.64,91,20,34106.235714285714,69.85714285714286
2023-06-20,10023.88,27,7,29031.691428571434,61.285714285714285
2023-06-21,23649.45,58,14,28767.304285714286,61.57142857142857
2023-06-22,40112.41,84,16,32866.43,69.0
2023-06-23,19878.18,55,15,30141.22428571429,65.14285714285714
2023-06-24,35221.979999999996,87,18,29874.11285714286,67.28571428571429
2023-06-25,25940.99,54,10,28085.932857142856,65.14285714285714
2023-06-26,15725.46,28,6,24364.62142857143,56.142857142857146
2023-06-27,23851.079999999998,55,13,26339.93571428571,60.142857142857146
2023-06-28,17032.739999999998,46,11,25394.691428571427,58.42857142857143
2023-06-29,39465.79,62,15,25302.317142857144,55.285714285714285
2023-06-30,18732.68,54,14,25138.67428571428,55.142857142857146
2023-07-01,21259.699999999997,67,16,23144.062857142857,52.285714285714285
2023-07-02,24319.65,49,9,22912.442857142858,51.57142857142857
2023-07-03,30147.94,65,17,24972.79714285714,56.857142857142854
2023-07-04,11284.800000000001,26,6,23177.614285714284,52.714285714285715
2023-07-05,36546.38,70,15,25965.277142857143,56.142857142857146
2023-07-06,20227.58,63,15,23216.961428571427,56.285714285714285
2023-07-07,23771.739999999998,55,13,23936.827142857142,56.42857142857143
2023-07-08,20789.58,47,11,23869.66714285714,53.57142857142857
2023-07-09,18202.59,51,12,22995.801428571427,53.857142857142854
2023-07-10,29356.809999999998,71,13,22882.782857142854,54.714285714285715
2023-07-11,21442.51,66,17,24333.884285714284,60.42857142857143
2023-07-12,20366.260000000002,37,11,22022.43857142857,55.714285714285715
2023-07-13,17024.93,61,12,21564.91714285714,55.42857142857143
2023-07-14,24551.1,64,13,21676.254285714287,56.714285714285715
2023-07-15,25254.8,48,15,22314.14285714286,56.857142857142854
2023-07-16,26959.690000000002,59,13,23565.157142857144,58.0
2023-07-17,30678.96,73,16,23754.035714285714,58.285714285714285
2023-07-18,32613.77,77,18,25349.93,59.857142857142854
2023-07-19,28650.68,75,15,26533.41857142857,65.28571428571429
2023-07-20,18570.79,53,13,26754.255714285715,64.14285714285714
2023-07-21,20413.19,60,18,26163.125714285714,63.57142857142857
2023-07-22,38957.6,80,17,28120.66857142857,68.14285714285714
2023-07-23,9074.66,51,11,25565.664285714283,67.0
2023-07-24,25602.71,80,13,24840.485714285718,68.0
2023-07-25,36182.51,72,17,25350.305714285718,67.28571428571429
2023-07-26,25713.5,74,16,24930.708571428575,67.14285714285714
2023-07-27,28027.44,58,16,26281.65857142857,67.85714285714286
2023-07-28,33895.76,70,15,28207.739999999998,69.28571428571429
2023-07-29,23609.04,44,11,26015.088571428576,64.14285714285714
2023-07-30,13592.84,36,11,26660.54285714286,62.0
2023-07-31,14830.21,33,11,25121.614285714284,55.285714285714285
2023-08-01,23985.95,50,12,23379.24857142857,52.142857142857146
2023-08-02,28868.3,79,19,23829.934285714284,52.857142857142854
2023-08-03,42483.12,96,20,25895.031428571434,58.285714285714285
2023-08-04,23816.54,55,11,24455.14285714286,56.142857142857146
2023-08-05,27453.68,57,13,25004.377142857145,58.0
2023-08-06,31221.92,61,13,27522.817142857144,61.57142857142857
2023-08-07,33927.85,59,14,30251.05142857143,65.28571428571429
2023-08-08,27227.16,72,15,30714.08142857143,68.42857142857143
2023-08-09,23681.59,42,12,29973.12285714286,63.142857142857146
2023-08-10,17826.96,56,16,26450.814285714285,57.42857142857143
2023-08-11,30404.1,59,12,27391.894285714287,58.0
2023-08-12,33453.76,85,20,28249.048571428575,62.0
2023-08-13,25185.98,64,14,27386.77142857143,62.42857142857143
2023-08-14,20377.1,49,14,25450.95,61.0
2023-08-15,33032.54,97,18,26280.289999999997,64.57142857142857
2023-08-16,24979.56,59,15,26465.714285714286,67.0
2023-08-17,22722.12,40,12,27165.022857142856,64.71428571428571
2023-08-18,22430.69,55,13,26025.964285714286,64.14285714285714
2023-08-19,33272.59,67,17,26000.08285714285,61.57142857142857
2023-08-20,40583.73,76,16,28199.761428571426,63.285714285714285
2023-08-21,42839.07,85,20,31408.614285714284,68.42857142857143
2023-08-22,27595.55,68,18,30631.90142857143,64.28571428571429
2023-08-23,19327.07,38,10,29824.402857142853,61.285714285714285
2023-08-24,24428.66,52,14,30068.194285714282,63.0
2023-08-25,27553.56,58,14,30800.032857142854,63.42857142857143
2023-08-26,21696.82,50,16,29146.35142857143,61.0
2023-08-27,15173.05,55,13,25516.254285714287,58.0
2023-08-28,27034.96,63,13,23258.524285714284,54.857142857142854
2023-08-29,17103.79,33,7,21759.70142857143,49.857142857142854
2023-08-30,27461.010000000002,57,14,22921.692857142858,52.57142857142857
2023-08-31,16550.66,40,8,21796.264285714286,50.857142857142854
2023-09-01,25698.62,43,12,21531.272857142856,48.714285714285715
2023-09-02,19273.5,35,13,21185.084285714285,46.57142857142857
2023-09-03,18584.77,40,14,21672.472857142857,44.42857142857143
2023-09-04,23872.45,44,16,21220.68571428571,41.714285714285715
2023-09-05,12064.98,33,13,20500.855714285713,41.714285714285715
2023-09-06,20758.48,39,13,19543.351428571426,39.142857142857146
2023-09-07,19861.39,37,10,20016.312857142857,38.714285714285715
2023-09-08,13270.93,31,12,18240.928571428572,37.0
2023-09-09,27991.66,50,18,19486.38,39.142857142857146
2023-09-10,19662.63,56,17,19640.359999999997,41.42857142857143
2023-09-11,29149.14,58,17,20394.172857142858,43.42857142857143
2023-09-12,16043.83,38,13,20962.579999999998,44.142857142857146
2023-09-13,11994.98,39,10,19710.65142857143,44.142857142857146
2023-09-14,15352.670000000002,36,12,19066.54857142857,44.0
2023-09-15,19135.57,41,14,19904.354285714286,45.42857142857143
2023-09-16,18528.760000000002,34,13,18552.51142857143,43.142857142857146
2023-09-17,19001.12,39,10,18458.010000000002,40.714285714285715
2023-09-18,21187.79,51,15,17320.674285714285,39.714285714285715
2023-09-19,12485.51,34,12,16812.34285714286,39.142857142857146
2023-09-20,21626.27,43,14,18188.24142857143,39.714285714285715
2023-09-21,13223.67,28,9,17884.09857142857,38.57142857142857
2023-09-22,18808.63,40,13,17837.39285714286,38.42857142857143
2023-09-23,15356.0,26,10,17384.14142857143,37.285714285714285
2023-09-24,12110.51,29,9,16399.768571428573,35.857142857142854
2023-09-25,25227.38,64,17,16976.852857142858,37.714285714285715
2023-09-26,23124.579999999998,63,20,18496.72,41.857142857142854
2023-09-27,18195.01,37,12,18006.54,41.0
2023-09-28,23391.88,54,16,19459.141428571427,44.714285714285715
2023-09-29,20641.93,42,15,19721.04142857143,45.0
2023-09-30,12638.06,24,7,19332.764285714286,44.714285714285715
2023-10-01,17768.940000000002,42,13,20141.11142857143,46.57142857142857
2023-10-02,24071.42,55,19,19975.97428571429,45.285714285714285
2023-10-03,22464.7,50,14,19881.705714285716,43.42857142857143
2023-10-04,15852.72,38,11,19547.092857142856,43.57142857142857
2023-10-05,20338.6,43,15,19110.91,42.0
2023-10-06,9183.86,22,10,17474.042857142857,39.142857142857146
2023-10-07,18384.63,44,13,18294.98142857143,42.0
2023-10-08,14403.77,34,13,17814.242857142854,40.857142857142854
2023-10-09,15765.33,30,9,16627.658571428572,37.285714285714285
2023-10-10,14798.41,29,10,15532.474285714285,34.285714285714285
2023-10-11,11642.06,35,14,14930.951428571427,33.857142857142854
2023-10-12,14854.27,42,13,14147.475714285714,33.714285714285715
2023-10-13,27138.16,48,14,16712.375714285714,37.42857142857143
2023-10-14,15159.08,35,11,16251.582857142857,36.142857142857146
2023-10-15,12577.17,41,15,15990.64,37.142857142857146
2023-10-16,18489.63,39,19,16379.825714285715,38.42857142857143
2023-10-17,16324.99,49,14,16597.908571428572,41.285714285714285
2023-10-18,6977.25,23,8,15931.507142857143,39.57142857142857
2023-10-19,13915.65,39,15,15797.41857142857,39.142857142857146
2023-10-20,18621.88,43,17,14580.807142857142,38.42857142857143
2023-10-21,15624.21,31,11,14647.254285714285,37.857142857142854
2023-10-22,17797.15,36,14,15392.965714285714,37.142857142857146
2023-10-23,25919.52,62,21,16454.378571428573,40.42857142857143
2023-10-24,21786.08,39,13,17234.534285714286,39.0
2023-10-25,19099.79,36,12,18966.325714285715,40.857142857142854
2023-10-26,19216.75,39,12,19723.625714285714,40.857142857142854
2023-10-27,18746.13,45,15,19741.375714285714,41.142857142857146
2023-10-28,17988.52,36,14,20079.134285714284,41.857142857142854
2023-10-29,15670.960000000001,33,10,19775.39285714286,41.42857142857143
2023-10-30,28290.95,71,22,20114.16857142857,42.714285714285715
2023-10-31,12865.75,32,14,18839.835714285717,41.714285714285715
2023-11-01,36796.99,76,11,21368.007142857143,47.42857142857143
2023-11-02,19161.27,48,9,21360.08142857143,48.714285714285715
2023-11-03,58019.01,138,18,26970.492857142857,62.0
2023-11-04,48372.88,108,17,31311.115714285716,72.28571428571429
2023-11-05,17456.48,61,12,31566.19,76.28571428571429
2023-11-06,82499.76,132,21,39310.305714285714,85.0
2023-11-07,46552.3,89,13,44122.67,93.14285714285714
2023-11-08,37780.270000000004,74,10,44263.13857142858,92.85714285714286
2023-11-09,29126.329999999998,60,9,45686.71857142857,94.57142857142857
2023-11-10,26358.93,69,14,41163.85,84.71428571428571
2023-11-11,31625.29,65,12,38771.33714285714,78.57142857142857
2023-11-12,23044.56,57,10,39569.63428571429,78.0
2023-11-13,55113.57,119,15,35657.32142857143,76.14285714285714
2023-11-14,30216.57,61,11,33323.64571428572,72.14285714285714
2023-11-15,25828.04,69,10,31616.184285714287,71.42857142857143
2023-11-16,44958.71,100,15,33877.95285714286,77.14285714285714
2023-11-17,73610.28,132,21,40628.14571428572,86.14285714285714
2023-11-18,82014.87,152,22,47826.65714285714,98.57142857142857
2023-11-19,38584.2,74,13,50046.60571428571,101.0
2023-11-20,36462.85,76,12,47382.217142857146,94.85714285714286
2023-11-21,62131.07,117,19,51941.43142857143,102.85714285714286
2023-11-22,35950.91,77,12,53387.555714285714,104.0
2023-11-23,29746.48,100,14,51214.38,104.0
2023-11-24,44551.17,78,11,47063.07857142858,96.28571428571429
2023-11-25,27256.239999999998,60,11,39240.41714285714,83.14285714285714
2023-11-26,38282.85,90,14,39197.36714285713,85.42857142857143
2023-11-27,26581.37,70,12,37785.72714285715,84.57142857142857
2023-11-28,32464.989999999998,68,11,33547.71571428571,77.57142857142857
2023-11-29,39865.98,75,14,34107.01142857143,77.28571428571429
2023-11-30,43137.02,95,17,36019.945714285706,76.57142857142857
2023-12-01,29327.09,72,11,33845.07714285714,75.71428571428571
2023-12-02,22892.01,54,8,33221.61571428571,74.85714285714286
2023-12-03,51873.4,101,14,35163.12285714286,76.42857142857143
2023-12-04,59366.71,108,14,39846.74285714286,81.85714285714286
2023-12-05,37671.22,98,17,40590.49,86.14285714285714
2023-12-06,35173.71,77,13,39920.16571428571,86.42857142857143
2023-12-07,34451.17,90,15,38679.33,85.71428571428571
2023-12-08,27392.98,69,12,38403.02857142857,85.28571428571429
2023-12-09,42646.46,81,13,41225.09285714286,89.14285714285714
2023-12-10,43250.2,95,13,39993.20714285714,88.28571428571429
2023-12-11,25608.77,77,10,35170.64428571428,83.85714285714286
2023-12-12,54198.93,122,14,37531.74571428571,87.28571428571429
2023-12-13,22179.98,100,13,35675.49857142857,90.57142857142857
2023-12-14,27175.52,57,12,34636.12,85.85714285714286
2023-12-15,27169.92,60,10,34604.25428571428,84.57142857142857
2023-12-16,61365.02,108,21,37278.334285714285,88.42857142857143
2023-12-17,38268.19,99,19,36566.618571428575,89.0
2023-12-18,49479.270000000004,114,19,39976.69,94.28571428571429
2023-12-19,41434.02,73,15,38153.131428571425,87.28571428571429
2023-12-20,28989.37,87,14,39125.90142857143,85.42857142857143
2023-12-21,9914.89,26,6,36660.09714285714,81.0
2023-12-22,56644.06,105,17,40870.688571428575,87.42857142857143
2023-12-23,51900.02,93,15,39518.54571428571,85.28571428571429
2023-12-24,27113.46,79,13,37925.01285714285,82.42857142857143
2023-12-25,34234.83,71,11,35747.235714285714,76.28571428571429
2023-12-26,16934.199999999997,41,9,32247.26142857143,71.71428571428571
2023-12-27,42512.259999999995,97,14,34179.102857142854,73.14285714285714
2023-12-28,26291.89,54,9,36518.67428571428,77.14285714285714
2023-12-29,26903.23,86,11,32269.984285714283,74.42857142857143
2023-12-30,35690.56,71,12,29954.347142857143,71.28571428571429
2023-12-31,29289.129999999997,56,9,30265.15714285714,68.0
