customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,rfm_segment,customer_segment
C000044,11,5,22955.82,5,3,5,13,535,重要保持客户
C000045,62,7,9635.84,3,4,4,11,344,重要挽留客户
C000046,127,4,8171.49,1,2,3,6,123,低价值客户
C000047,111,10,16865.77,2,5,5,12,255,重要挽留客户
C000048,42,6,6549.71,3,4,2,9,342,一般保持客户
C000049,12,5,6036.79,5,3,2,10,532,重要保持客户
C000050,157,9,22526.82,1,5,5,11,155,重要挽留客户
C000051,43,4,3864.71,3,2,1,6,321,低价值客户
C000052,8,8,12278.41,5,5,4,14,554,重要价值客户
C000053,8,8,14878.42,5,5,5,15,555,重要价值客户
C000054,132,5,10923.89,1,3,4,8,134,潜力客户
C000055,102,7,7655.75,2,4,3,9,243,一般保持客户
C000056,18,5,9731.32,4,3,4,11,434,重要保持客户
C000057,8,7,12348.17,5,4,4,13,544,重要价值客户
C000058,5,7,16306.27,5,4,5,14,545,重要价值客户
C000059,9,7,9832.69,5,4,4,13,544,重要价值客户
C000060,46,6,11754.55,3,4,4,11,344,重要挽留客户
C000061,16,7,17803.03,5,4,5,14,545,重要价值客户
C000062,106,6,9204.77,2,4,3,9,243,一般保持客户
C000063,3,7,14111.08,5,4,5,14,545,重要价值客户
C000064,84,4,9257.46,2,2,3,7,223,低价值客户
C000065,77,2,825.56,2,1,1,4,211,低价值客户
C000066,23,4,3445.61,4,2,1,7,421,新客户
C000067,7,8,8237.11,5,5,3,13,553,重要保持客户
C000068,52,5,11787.43,3,3,4,10,334,潜力客户
C000069,16,9,24254.15,5,5,5,15,555,重要价值客户
C000070,171,5,3136.85,1,3,1,5,131,低价值客户
C000071,14,3,13349.77,5,1,5,11,515,重要发展客户
C000072,124,5,5593.32,1,3,2,6,132,低价值客户
C000073,13,4,4890.389999999999,5,2,2,9,522,新客户
C000074,78,3,2363.8599999999997,2,1,1,4,211,低价值客户
C000075,5,3,4913.4,5,1,2,8,512,新客户
C000076,13,6,10067.49,5,4,4,13,544,重要价值客户
C000077,51,5,10583.79,3,3,4,10,334,潜力客户
C000078,38,7,12421.76,4,4,4,12,444,重要价值客户
C000079,15,6,7391.45,5,4,3,12,543,重要保持客户
C000080,30,2,4007.2700000000004,4,1,1,6,411,新客户
C000081,102,8,10726.119999999999,2,5,4,11,254,重要挽留客户
C000082,0,8,14015.119999999999,5,5,5,15,555,重要价值客户
C000083,40,5,6152.5,4,3,2,9,432,重要保持客户
C000084,112,3,2682.38,1,1,1,3,111,低价值客户
C000085,86,4,6791.67,2,2,3,7,223,低价值客户
C000086,14,6,8440.35,5,4,3,12,543,重要保持客户
C000087,42,3,2919.43,3,1,1,5,311,低价值客户
C000088,65,6,9169.64,3,4,3,10,343,一般保持客户
C000089,16,5,13787.84,5,3,5,13,535,重要保持客户
C000090,55,7,10582.68,3,4,4,11,344,重要挽留客户
C000091,39,2,8486.36,4,1,3,8,413,重要发展客户
C000092,42,7,8815.47,3,4,3,10,343,一般保持客户
C000093,7,8,10349.36,5,5,4,14,554,重要价值客户
C000094,20,3,4653.71,4,1,2,7,412,新客户
C000095,1,10,27276.3,5,5,5,15,555,重要价值客户
C000096,26,2,5874.66,4,1,2,7,412,新客户
C000097,4,6,13302.28,5,4,5,14,545,重要价值客户
C000098,44,3,3698.54,3,1,1,5,311,低价值客户
C000099,11,2,3047.29,5,1,1,7,511,新客户
C000100,62,5,8558.25,3,3,3,9,333,一般价值客户
C000101,105,3,6713.93,2,1,3,6,213,低价值客户
C000102,169,2,3333.7999999999997,1,1,1,3,111,低价值客户
C000103,28,7,15288.400000000001,4,4,5,13,445,重要价值客户
C000104,17,7,13722.64,4,4,5,13,445,重要价值客户
C000105,169,2,7747.610000000001,1,1,3,5,113,低价值客户
C000106,128,5,8283.36,1,3,3,7,133,低价值客户
C000107,40,7,16708.82,4,4,5,13,445,重要价值客户
C000108,7,7,13545.130000000001,5,4,5,14,545,重要价值客户
C000109,111,5,7632.48,2,3,3,8,233,低价值客户
C000110,155,5,7412.49,1,3,3,7,133,低价值客户
C000111,57,4,10075.84,3,2,4,9,324,潜力客户
C000112,61,7,5630.86,3,4,2,9,342,一般保持客户
C000113,71,7,15210.33,2,4,5,11,245,重要挽留客户
C000114,23,5,3030.79,4,3,1,8,431,重要保持客户
C000115,12,6,12192.94,5,4,4,13,544,重要价值客户
C000116,61,6,9402.09,3,4,4,11,344,重要挽留客户
C000117,20,8,18781.03,4,5,5,14,455,重要价值客户
C000118,114,6,8145.21,1,4,3,8,143,一般保持客户
C000119,69,1,3119.56,2,1,1,4,211,低价值客户
C000120,61,2,2710.3799999999997,3,1,1,5,311,低价值客户
C000121,61,5,9841.63,3,3,4,10,334,潜力客户
C000122,30,5,10656.94,4,3,4,11,434,重要保持客户
C000123,242,3,2729.04,1,1,1,3,111,低价值客户
C000124,27,9,13272.35,4,5,5,14,455,重要价值客户
C000125,193,6,6529.41,1,4,2,7,142,一般保持客户
C000126,171,4,5171.009999999999,1,2,2,5,122,低价值客户
C000127,315,1,478.46,1,1,1,3,111,低价值客户
C000128,31,8,19411.54,4,5,5,14,455,重要价值客户
C000129,67,7,12556.51,3,4,5,12,345,重要挽留客户
C000130,69,5,9100.51,2,3,3,8,233,低价值客户
C000131,59,5,9580.52,3,3,4,10,334,潜力客户
C000132,76,7,6707.58,2,4,3,9,243,一般保持客户
C000133,65,6,11978.1,3,4,4,11,344,重要挽留客户
C000134,99,3,4548.12,2,1,2,5,212,低价值客户
C000135,69,5,9312.14,2,3,4,9,234,潜力客户
C000136,238,4,9082.1,1,2,3,6,123,低价值客户
C000137,220,3,4000.66,1,1,1,3,111,低价值客户
C000138,24,5,7963.139999999999,4,3,3,10,433,重要保持客户
C000139,58,5,12463.91,3,3,4,10,334,潜力客户
C000140,81,6,7841.860000000001,2,4,3,9,243,一般保持客户
C000141,7,4,6675.03,5,2,2,9,522,新客户
C000142,209,4,8037.0,1,2,3,6,123,低价值客户
C000143,351,1,2251.6,1,1,1,3,111,低价值客户
C000144,16,7,8896.8,5,4,3,12,543,重要保持客户
C000145,179,7,12909.900000000001,1,4,5,10,145,重要挽留客户
C000146,103,3,4619.63,2,1,2,5,212,低价值客户
C000147,18,4,8806.11,4,2,3,9,423,重要发展客户
C000148,40,5,5803.89,4,3,2,9,432,重要保持客户
C000149,53,6,12414.17,3,4,4,11,344,重要挽留客户
C000150,104,4,11102.470000000001,2,2,4,8,224,潜力客户
C000151,95,5,13779.289999999999,2,3,5,10,235,潜力客户
C000152,126,4,6894.68,1,2,3,6,123,低价值客户
C000153,62,8,18352.68,3,5,5,13,355,重要挽留客户
C000154,88,5,10015.64,2,3,4,9,234,潜力客户
C000155,1,7,13245.86,5,4,5,14,545,重要价值客户
C000156,88,4,6188.21,2,2,2,6,222,低价值客户
C000157,66,5,5890.62,3,3,2,8,332,一般价值客户
C000158,114,7,14015.79,1,4,5,10,145,重要挽留客户
C000159,227,6,6073.92,1,4,2,7,142,一般保持客户
C000160,45,3,4065.92,3,1,1,5,311,低价值客户
C000161,4,6,18612.579999999998,5,4,5,14,545,重要价值客户
C000162,47,7,15361.23,3,4,5,12,345,重要挽留客户
C000163,14,7,12517.03,5,4,5,14,545,重要价值客户
C000164,75,4,3604.94,2,2,1,5,221,低价值客户
C000165,15,4,8023.83,5,2,3,10,523,重要发展客户
C000166,177,6,14471.22,1,4,5,10,145,重要挽留客户
C000167,132,5,8217.470000000001,1,3,3,7,133,低价值客户
C000168,69,5,7433.6,2,3,3,8,233,低价值客户
C000169,68,4,5849.54,2,2,2,6,222,低价值客户
C000170,0,8,24943.96,5,5,5,15,555,重要价值客户
C000171,36,6,11860.34,4,4,4,12,444,重要价值客户
C000172,25,2,3237.7200000000003,4,1,1,6,411,新客户
C000173,123,2,596.66,1,1,1,3,111,低价值客户
C000174,69,2,1195.67,2,1,1,4,211,低价值客户
C000175,4,9,14312.89,5,5,5,15,555,重要价值客户
C000176,15,2,1414.69,5,1,1,7,511,新客户
C000177,17,4,4557.64,4,2,2,8,422,新客户
C000178,36,5,9205.0,4,3,3,10,433,重要保持客户
C000179,38,3,4996.6,4,1,2,7,412,新客户
C000180,185,6,11897.3,1,4,4,9,144,重要挽留客户
C000181,221,1,1920.7,1,1,1,3,111,低价值客户
C000182,12,8,14392.56,5,5,5,15,555,重要价值客户
C000183,50,4,11117.630000000001,3,2,4,9,324,潜力客户
C000184,115,2,1920.74,1,1,1,3,111,低价值客户
C000185,72,6,8160.469999999999,2,4,3,9,243,一般保持客户
C000186,75,5,10473.94,2,3,4,9,234,潜力客户
C000187,47,3,1920.07,3,1,1,5,311,低价值客户
C000188,17,6,10759.99,4,4,4,12,444,重要价值客户
C000189,35,7,9089.84,4,4,3,11,443,重要保持客户
C000190,94,8,17135.57,2,5,5,12,255,重要挽留客户
C000191,12,6,12739.82,5,4,5,14,545,重要价值客户
C000192,65,5,2924.31,3,3,1,7,331,一般价值客户
C000193,71,3,3554.98,2,1,1,4,211,低价值客户
C000194,69,4,4847.89,2,2,2,6,222,低价值客户
C000195,85,2,4302.469999999999,2,1,2,5,212,低价值客户
C000196,138,4,4660.32,1,2,2,5,122,低价值客户
C000197,95,3,10680.33,2,1,4,7,214,潜力客户
C000198,111,4,6205.91,2,2,2,6,222,低价值客户
C000199,145,2,2531.36,1,1,1,3,111,低价值客户
C000200,6,6,16724.35,5,4,5,14,545,重要价值客户
C000201,0,4,11144.27,5,2,4,11,524,重要发展客户
C000202,24,5,15337.85,4,3,5,12,435,重要保持客户
C000203,8,4,4760.9,5,2,2,9,522,新客户
C000204,56,4,6545.900000000001,3,2,2,7,322,低价值客户
C000205,73,5,7215.070000000001,2,3,3,8,233,低价值客户
C000206,85,7,6624.22,2,4,2,8,242,一般保持客户
C000207,14,3,5356.26,5,1,2,8,512,新客户
C000208,150,6,10376.79,1,4,4,9,144,重要挽留客户
C000209,25,4,3939.82,4,2,1,7,421,新客户
C000210,141,3,5657.5,1,1,2,4,112,低价值客户
C000211,18,5,6005.7,4,3,2,9,432,重要保持客户
C000212,110,2,1254.05,2,1,1,4,211,低价值客户
C000213,13,10,17798.14,5,5,5,15,555,重要价值客户
C000214,4,8,10675.65,5,5,4,14,554,重要价值客户
C000215,17,8,10443.84,4,5,4,13,454,重要价值客户
C000216,135,3,4926.610000000001,1,1,2,4,112,低价值客户
C000217,41,4,8351.25,3,2,3,8,323,低价值客户
C000218,113,3,7174.09,1,1,3,5,113,低价值客户
C000219,261,2,4029.92,1,1,1,3,111,低价值客户
C000220,94,7,11991.27,2,4,4,10,244,重要挽留客户
C000221,97,4,7691.18,2,2,3,7,223,低价值客户
C000222,83,3,8389.13,2,1,3,6,213,低价值客户
C000223,32,9,26175.75,4,5,5,14,455,重要价值客户
C000224,71,7,15422.820000000002,2,4,5,11,245,重要挽留客户
C000225,7,5,4539.78,5,3,2,10,532,重要保持客户
C000226,163,3,5395.700000000001,1,1,2,4,112,低价值客户
C000227,65,6,4564.9,3,4,2,9,342,一般保持客户
C000228,38,5,8261.470000000001,4,3,3,10,433,重要保持客户
C000229,25,6,7651.219999999999,4,4,3,11,443,重要保持客户
C000230,98,4,4373.71,2,2,2,6,222,低价值客户
C000231,218,3,7416.0,1,1,3,5,113,低价值客户
C000232,118,1,579.3,1,1,1,3,111,低价值客户
C000233,31,2,2064.3,4,1,1,6,411,新客户
C000234,31,8,14744.72,4,5,5,14,455,重要价值客户
C000235,31,4,6760.21,4,2,3,9,423,重要发展客户
C000236,33,4,16929.32,4,2,5,11,425,重要发展客户
C000237,75,6,6088.05,2,4,2,8,242,一般保持客户
C000238,57,6,15208.34,3,4,5,12,345,重要挽留客户
C000239,102,5,8446.27,2,3,3,8,233,低价值客户
C000240,22,5,4910.51,4,3,2,9,432,重要保持客户
C000241,176,4,975.22,1,2,1,4,121,低价值客户
C000242,79,5,11773.95,2,3,4,9,234,潜力客户
C000243,61,4,6087.34,3,2,2,7,322,低价值客户
C000244,19,6,12494.27,4,4,4,12,444,重要价值客户
C000245,57,6,13838.9,3,4,5,12,345,重要挽留客户
C000246,158,4,6834.280000000001,1,2,3,6,123,低价值客户
C000247,56,6,9074.61,3,4,3,10,343,一般保持客户
C000248,9,8,24320.04,5,5,5,15,555,重要价值客户
C000249,69,5,11917.34,2,3,4,9,234,潜力客户
C000250,31,2,4636.21,4,1,2,7,412,新客户
C000251,20,11,19989.96,4,5,5,14,455,重要价值客户
C000252,5,11,20053.92,5,5,5,15,555,重要价值客户
C000253,55,6,24018.96,3,4,5,12,345,重要挽留客户
C000254,54,5,13716.07,3,3,5,11,335,潜力客户
C000255,18,2,2758.3900000000003,4,1,1,6,411,新客户
C000256,4,5,6638.27,5,3,2,10,532,重要保持客户
C000257,43,5,10862.12,3,3,4,10,334,潜力客户
C000258,6,5,6923.5,5,3,3,11,533,重要保持客户
C000259,41,3,6065.04,3,1,2,6,312,低价值客户
C000260,114,4,9646.59,1,2,4,7,124,潜力客户
C000261,159,7,11299.48,1,4,4,9,144,重要挽留客户
C000262,165,2,3547.11,1,1,1,3,111,低价值客户
C000263,171,3,2603.11,1,1,1,3,111,低价值客户
C000264,68,7,5510.95,2,4,2,8,242,一般保持客户
C000265,44,6,19135.62,3,4,5,12,345,重要挽留客户
C000266,26,8,10349.91,4,5,4,13,454,重要价值客户
C000267,111,1,896.0,2,1,1,4,211,低价值客户
C000268,43,2,8605.95,3,1,3,7,313,低价值客户
C000269,106,8,7205.54,2,5,3,10,253,一般保持客户
C000270,57,5,8183.57,3,3,3,9,333,一般价值客户
C000271,5,5,6658.18,5,3,2,10,532,重要保持客户
C000272,63,3,5213.75,3,1,2,6,312,低价值客户
C000273,6,9,20960.57,5,5,5,15,555,重要价值客户
C000274,39,2,877.85,4,1,1,6,411,新客户
C000275,75,5,7772.21,2,3,3,8,233,低价值客户
C000276,44,5,13215.6,3,3,5,11,335,潜力客户
C000277,31,3,8390.75,4,1,3,8,413,重要发展客户
C000278,128,3,9767.6,1,1,4,6,114,潜力客户
C000279,87,4,9627.8,2,2,4,8,224,潜力客户
C000280,9,7,21123.129999999997,5,4,5,14,545,重要价值客户
C000281,343,1,2343.98,1,1,1,3,111,低价值客户
C000282,49,4,4834.34,3,2,2,7,322,低价值客户
C000283,14,2,1414.3700000000001,5,1,1,7,511,新客户
C000284,121,4,8695.42,1,2,3,6,123,低价值客户
C000285,35,8,9222.9,4,5,3,12,453,重要保持客户
C000286,266,1,1188.8,1,1,1,3,111,低价值客户
C000287,1,7,18167.04,5,4,5,14,545,重要价值客户
C000288,13,10,28581.7,5,5,5,15,555,重要价值客户
C000289,15,5,6812.36,5,3,3,11,533,重要保持客户
C000290,34,5,6479.639999999999,4,3,2,9,432,重要保持客户
C000291,80,4,6076.92,2,2,2,6,222,低价值客户
C000292,9,9,13970.24,5,5,5,15,555,重要价值客户
C000293,129,2,7725.24,1,1,3,5,113,低价值客户
C000294,122,5,12245.130000000001,1,3,4,8,134,潜力客户
C000295,26,8,13703.34,4,5,5,14,455,重要价值客户
C000296,45,3,16046.05,3,1,5,9,315,潜力客户
C000297,12,7,5265.05,5,4,2,11,542,重要保持客户
C000298,36,6,9032.64,4,4,3,11,443,重要保持客户
C000299,106,4,7411.75,2,2,3,7,223,低价值客户
C000300,38,3,3358.17,4,1,1,6,411,新客户
C000301,20,10,19187.85,4,5,5,14,455,重要价值客户
C000302,2,5,8387.630000000001,5,3,3,11,533,重要保持客户
C000303,18,8,11136.17,4,5,4,13,454,重要价值客户
C000304,89,6,15564.12,2,4,5,11,245,重要挽留客户
C000305,4,4,4766.04,5,2,2,9,522,新客户
C000306,44,5,8175.01,3,3,3,9,333,一般价值客户
C000307,237,3,3477.74,1,1,1,3,111,低价值客户
C000308,32,5,14191.16,4,3,5,12,435,重要保持客户
C000309,16,8,10109.61,5,5,4,14,554,重要价值客户
C000310,21,7,12258.490000000002,4,4,4,12,444,重要价值客户
C000311,131,5,6211.25,1,3,2,6,132,低价值客户
C000312,116,2,6512.11,1,1,2,4,112,低价值客户
C000313,185,1,5920.44,1,1,2,4,112,低价值客户
C000314,58,3,5295.6,3,1,2,6,312,低价值客户
C000315,60,7,5640.45,3,5,2,10,352,一般保持客户
C000316,7,4,3036.9700000000003,5,2,1,8,521,新客户
C000317,98,2,4461.65,2,1,2,5,212,低价值客户
C000318,80,3,3232.9199999999996,2,1,1,4,211,低价值客户
C000319,64,5,11059.94,3,3,4,10,334,潜力客户
C000320,40,3,7422.049999999999,4,1,3,8,413,重要发展客户
C000321,14,8,9753.439999999999,5,5,4,14,554,重要价值客户
C000322,0,7,15185.09,5,5,5,15,555,重要价值客户
C000323,92,4,1951.0300000000002,2,2,1,5,221,低价值客户
C000324,19,5,9073.720000000001,4,3,3,10,433,重要保持客户
C000325,216,1,1240.33,1,1,1,3,111,低价值客户
C000326,79,3,899.48,2,1,1,4,211,低价值客户
C000327,19,5,8382.289999999999,4,3,3,10,433,重要保持客户
C000328,9,9,20547.4,5,5,5,15,555,重要价值客户
C000329,11,6,9371.19,5,4,4,13,544,重要价值客户
C000330,96,2,2087.44,2,1,1,4,211,低价值客户
C000331,28,8,11107.31,4,5,4,13,454,重要价值客户
C000332,108,7,8041.05,2,5,3,10,253,一般保持客户
C000333,6,2,2236.0699999999997,5,1,1,7,511,新客户
C000334,54,8,31881.739999999998,3,5,5,13,355,重要挽留客户
C000335,41,6,8371.47,3,4,3,10,343,一般保持客户
C000336,42,4,7658.889999999999,3,2,3,8,323,低价值客户
C000337,126,5,10111.64,1,3,4,8,134,潜力客户
C000338,141,2,7602.13,1,1,3,5,113,低价值客户
C000339,45,6,11515.58,3,4,4,11,344,重要挽留客户
C000340,104,2,1536.6599999999999,2,1,1,4,211,低价值客户
C000341,10,4,7970.410000000001,5,2,3,10,523,重要发展客户
C000342,77,8,17696.93,2,5,5,12,255,重要挽留客户
C000343,40,8,16471.79,4,5,5,14,455,重要价值客户
C000344,117,6,7592.51,1,4,3,8,143,一般保持客户
C000345,135,1,2665.62,1,1,1,3,111,低价值客户
C000346,26,9,17508.3,4,5,5,14,455,重要价值客户
C000347,162,2,1797.1100000000001,1,1,1,3,111,低价值客户
C000348,53,2,3793.86,3,1,1,5,311,低价值客户
C000349,199,8,10403.99,1,5,4,10,154,重要挽留客户
C000350,37,4,10157.960000000001,4,2,4,10,424,重要发展客户
C000351,25,6,13477.910000000002,4,4,5,13,445,重要价值客户
C000352,180,2,5146.65,1,1,2,4,112,低价值客户
C000353,94,2,3291.76,2,1,1,4,211,低价值客户
C000354,151,3,2869.77,1,1,1,3,111,低价值客户
C000355,35,5,6185.0599999999995,4,3,2,9,432,重要保持客户
C000356,111,4,7713.91,2,2,3,7,223,低价值客户
C000357,80,6,9994.32,2,4,4,10,244,重要挽留客户
C000358,7,7,5193.96,5,5,2,12,552,重要保持客户
C000359,10,6,11296.390000000001,5,4,4,13,544,重要价值客户
C000360,75,2,3904.37,2,1,1,4,211,低价值客户
C000361,86,4,4296.94,2,2,2,6,222,低价值客户
C000362,94,8,9022.94,2,5,3,10,253,一般保持客户
C000363,27,5,6233.49,4,3,2,9,432,重要保持客户
C000364,239,3,2398.45,1,1,1,3,111,低价值客户
C000365,25,7,10368.94,4,5,4,13,454,重要价值客户
C000366,15,5,4789.09,5,3,2,10,532,重要保持客户
C000367,58,2,6009.1,3,1,2,6,312,低价值客户
C000368,57,6,10339.34,3,4,4,11,344,重要挽留客户
C000369,72,4,9772.14,2,2,4,8,224,潜力客户
C000370,20,6,3994.4900000000002,4,4,1,9,441,重要保持客户
C000371,13,7,18739.239999999998,5,5,5,15,555,重要价值客户
C000372,26,6,21177.19,4,4,5,13,445,重要价值客户
C000373,22,5,8058.0,4,3,3,10,433,重要保持客户
C000374,23,3,5797.009999999999,4,1,2,7,412,新客户
C000375,28,2,7735.0,4,1,3,8,413,重要发展客户
C000376,12,1,2590.2,5,1,1,7,511,新客户
C000377,208,2,3217.1,1,1,1,3,111,低价值客户
C000378,81,6,11008.029999999999,2,4,4,10,244,重要挽留客户
C000379,218,2,716.55,1,1,1,3,111,低价值客户
C000380,46,6,14162.810000000001,3,4,5,12,345,重要挽留客户
C000381,26,5,9403.16,4,3,4,11,434,重要保持客户
C000382,54,4,9650.84,3,2,4,9,324,潜力客户
C000383,8,4,3201.33,5,2,1,8,521,新客户
C000384,55,6,4332.87,3,4,2,9,342,一般保持客户
C000385,20,6,14726.91,4,4,5,13,445,重要价值客户
C000386,84,3,3902.03,2,1,1,4,211,低价值客户
C000387,176,5,8647.779999999999,1,3,3,7,133,低价值客户
C000388,85,9,17573.91,2,5,5,12,255,重要挽留客户
C000389,85,6,8290.18,2,4,3,9,243,一般保持客户
C000390,73,2,4169.65,2,1,2,5,212,低价值客户
C000391,143,5,5252.23,1,3,2,6,132,低价值客户
C000392,257,5,4597.94,1,3,2,6,132,低价值客户
C000393,41,3,2028.55,3,1,1,5,311,低价值客户
C000394,13,6,8620.21,5,4,3,12,543,重要保持客户
C000395,36,8,10481.66,4,5,4,13,454,重要价值客户
C000396,73,3,3072.46,2,1,1,4,211,低价值客户
C000397,21,6,11405.23,4,4,4,12,444,重要价值客户
C000398,48,5,7824.23,3,3,3,9,333,一般价值客户
C000399,57,7,9027.27,3,5,3,11,353,一般保持客户
C000400,159,2,1867.5,1,1,1,3,111,低价值客户
C000401,35,6,14570.119999999999,4,4,5,13,445,重要价值客户
C000402,47,8,6362.19,3,5,2,10,352,一般保持客户
C000403,4,4,6604.55,5,2,2,9,522,新客户
C000404,28,5,11867.89,4,3,4,11,434,重要保持客户
C000405,68,7,13234.369999999999,2,5,5,12,255,重要挽留客户
C000406,71,5,7463.44,2,3,3,8,233,低价值客户
C000407,267,1,613.27,1,1,1,3,111,低价值客户
C000408,6,10,13169.08,5,5,5,15,555,重要价值客户
C000409,39,3,7222.8,4,1,3,8,413,重要发展客户
C000410,283,3,5526.86,1,1,2,4,112,低价值客户
C000411,65,4,3814.62,3,2,1,6,321,低价值客户
C000412,11,6,11176.99,5,4,4,13,544,重要价值客户
C000413,14,9,14785.56,5,5,5,15,555,重要价值客户
C000414,44,5,9990.49,3,3,4,10,334,潜力客户
C000415,19,6,18096.59,4,4,5,13,445,重要价值客户
C000416,40,7,11986.15,4,5,4,13,454,重要价值客户
C000417,22,7,6981.74,4,5,3,12,453,重要保持客户
C000418,49,6,9971.84,3,4,4,11,344,重要挽留客户
C000419,16,8,12652.13,5,5,5,15,555,重要价值客户
C000420,4,2,6912.18,5,1,3,9,513,重要发展客户
C000421,0,4,3589.55,5,2,1,8,521,新客户
C000422,99,4,4828.27,2,2,2,6,222,低价值客户
C000423,75,5,4675.66,2,3,2,7,232,低价值客户
C000424,99,7,8421.83,2,5,3,10,253,一般保持客户
C000425,89,5,11228.23,2,3,4,9,234,潜力客户
C000426,11,7,14626.23,5,5,5,15,555,重要价值客户
C000427,110,3,5182.46,2,1,2,5,212,低价值客户
C000428,73,3,2803.3900000000003,2,1,1,4,211,低价值客户
C000429,77,7,13793.81,2,5,5,12,255,重要挽留客户
C000430,80,6,3417.88,2,4,1,7,241,一般保持客户
C000431,75,3,5100.13,2,1,2,5,212,低价值客户
C000432,139,1,374.93,1,1,1,3,111,低价值客户
C000433,157,3,1724.9499999999998,1,1,1,3,111,低价值客户
C000434,31,5,8203.89,4,3,3,10,433,重要保持客户
C000435,137,2,578.54,1,1,1,3,111,低价值客户
C000436,70,5,4654.18,2,3,2,7,232,低价值客户
C000437,95,3,8039.17,2,1,3,6,213,低价值客户
C000438,69,7,6349.7699999999995,2,5,2,9,252,一般保持客户
C000439,119,6,6873.26,1,4,3,8,143,一般保持客户
C000440,146,5,6194.7,1,3,2,6,132,低价值客户
C000441,63,4,6058.57,3,2,2,7,322,低价值客户
C000442,58,7,11496.32,3,5,4,12,354,重要挽留客户
C000443,24,3,8862.17,4,1,3,8,413,重要发展客户
C000444,232,4,6960.51,1,2,3,6,123,低价值客户
C000445,126,5,5418.04,1,3,2,6,132,低价值客户
C000446,9,9,16174.23,5,5,5,15,555,重要价值客户
C000447,5,8,11476.43,5,5,4,14,554,重要价值客户
C000448,105,5,6644.68,2,3,2,7,232,低价值客户
C000449,166,3,6572.82,1,1,2,4,112,低价值客户
C000450,27,7,9278.27,4,5,3,12,453,重要保持客户
C000451,48,5,11923.359999999999,3,3,4,10,334,潜力客户
C000452,9,10,18196.06,5,5,5,15,555,重要价值客户
C000453,59,4,10694.62,3,2,4,9,324,潜力客户
C000454,84,4,6552.67,2,2,2,6,222,低价值客户
C000455,78,4,1377.24,2,2,1,5,221,低价值客户
C000456,6,3,2638.4900000000002,5,1,1,7,511,新客户
C000457,162,3,3351.17,1,1,1,3,111,低价值客户
C000458,116,4,4871.1900000000005,1,2,2,5,122,低价值客户
C000459,22,3,2682.4300000000003,4,1,1,6,411,新客户
C000460,54,4,2699.79,3,2,1,6,321,低价值客户
C000461,213,3,4584.87,1,1,2,4,112,低价值客户
C000462,30,4,8162.62,4,2,3,9,423,重要发展客户
C000463,31,2,792.0899999999999,4,1,1,6,411,新客户
