user_id,course_id,course_category,watch_duration_minutes,quiz_score,is_completed,registration_date,last_activity_date
USER_000664,COURSE_00116,编程开发,169.97,63.31,0,2024-09-16,2026-04-12
USER_001999,COURSE_00087,编程开发,145.5,70.01,0,2024-09-23,2026-03-19
USER_003446,COURSE_00104,编程开发,110.14,86.03,1,2024-01-26,2026-04-06
USER_003744,COURSE_00123,编程开发,130.74,70.56,0,2024-02-28,2026-04-11
USER_001496,COURSE_00079,职业技能,41.2,100.0,0,2024-01-25,2026-03-26
USER_003305,COURSE_00043,数据科学,113.05,95.08,1,2024-04-11,2026-04-08
USER_003764,COURSE_00097,数据科学,109.0,56.85,1,2024-12-22,2026-04-08
USER_001854,COURSE_00031,人工智能,120.61,69.53,0,2024-04-20,2026-04-09
USER_004660,COURSE_00099,编程开发,166.81,66.8,1,2024-02-19,2026-03-18
USER_001292,COURSE_00017,人工智能,133.66,,1,2024-11-02,2026-03-26
USER_003582,COURSE_00083,产品设计,37.45,71.74,1,2024-10-09,2026-04-01
USER_003458,COURSE_00110,人工智能,68.56,63.78,0,2024-06-05,2026-03-25
USER_001637,COURSE_00182,市场营销,64.29,93.81,1,2024-10-24,2026-03-29
USER_003697,COURSE_00190,数据科学,132.44,59.93,1,2024-09-12,2026-04-15
USER_003000,COURSE_00032,数据科学,54.02,86.04,1,2024-04-22,2026-04-13
USER_003153,COURSE_00168,编程开发,161.08,65.54,1,2024-08-20,2026-04-03
USER_000699,COURSE_00141,职业技能,106.05,86.67,1,2024-11-06,2026-03-23
USER_002161,COURSE_00035,编程开发,43.47,84.3,1,2024-06-15,2026-04-16
USER_004098,COURSE_00133,产品设计,161.5,78.25,1,2024-06-21,2026-03-22
USER_004738,COURSE_00029,语言学习,63.47,94.27,0,2024-07-14,2026-04-06
USER_000855,COURSE_00070,产品设计,93.48,78.01,0,2024-07-08,2026-04-05
USER_003475,COURSE_00153,市场营销,77.37,91.07,1,2024-02-29,2026-04-11
USER_001708,COURSE_00095,编程开发,107.73,90.97,1,2024-08-17,2026-03-20
USER_002778,COURSE_00022,编程开发,124.0,82.48,0,2024-05-19,2026-04-06
USER_001734,COURSE_00194,产品设计,56.64,62.43,0,2024-01-23,2026-04-08
USER_004932,COURSE_00173,产品设计,65.24,72.61,1,2024-11-13,2026-03-25
USER_003511,COURSE_00069,产品设计,135.55,87.6,1,2024-01-27,2026-04-03
USER_000203,COURSE_00089,数据科学,500.0,87.12,0,2024-05-27,2026-04-09
USER_003256,COURSE_00072,人工智能,151.52,81.92,1,2024-10-04,2026-04-01
USER_004219,COURSE_00129,人工智能,88.89,56.49,1,2024-04-07,2026-04-09
USER_004497,COURSE_00172,编程开发,90.41,61.64,1,2024-08-07,2026-04-03
USER_000767,COURSE_00087,数据科学,102.27,86.12,1,2024-03-11,2026-04-09
USER_004390,COURSE_00096,产品设计,167.51,60.05,1,2024-10-26,2026-03-31
USER_002328,COURSE_00075,编程开发,76.49,64.38,0,2024-09-18,2026-04-13
USER_002932,COURSE_00167,数据科学,69.35,100.0,1,2024-01-13,2026-03-21
USER_000198,COURSE_00054,市场营销,34.25,76.92,0,2024-02-27,2026-04-13
USER_001931,COURSE_00088,语言学习,24.68,89.67,0,2024-07-11,2026-04-04
USER_003583,COURSE_00157,数据科学,141.89,71.61,1,2024-12-16,2026-04-03
USER_000609,COURSE_00054,商业管理,112.3,84.74,1,2024-04-10,2026-04-12
USER_003273,COURSE_00016,编程开发,129.98,38.39,0,2024-02-05,2026-03-28
USER_001148,COURSE_00099,职业技能,55.39,81.91,1,2024-06-15,2026-03-22
USER_004283,COURSE_00020,人工智能,152.39,78.46,0,2024-09-29,2026-03-26
USER_003398,COURSE_00046,商业管理,46.27,81.89,1,2024-06-22,2026-04-02
USER_002512,COURSE_00195,产品设计,65.16,90.75,1,2024-08-31,2026-03-20
USER_001795,COURSE_00193,语言学习,70.65,87.86,0,2024-02-16,2026-04-06
USER_000660,COURSE_00127,职业技能,83.13,87.53,1,2024-05-23,2026-03-22
USER_002812,COURSE_00058,市场营销,65.85,100.0,1,2024-06-28,2026-03-20
USER_001370,COURSE_00181,职业技能,93.81,49.53,1,2024-08-05,2026-04-03
USER_001987,COURSE_00111,语言学习,44.32,84.39,0,2024-09-14,2026-04-01
USER_000147,COURSE_00129,职业技能,33.55,88.91,1,2024-09-04,2026-03-26
USER_003220,COURSE_00081,语言学习,45.54,89.43,0,2024-01-27,2026-03-24
USER_002912,COURSE_00194,数据科学,,67.35,1,2024-09-19,2026-03-20
USER_001735,COURSE_00157,编程开发,131.49,89.16,1,2024-05-14,2026-04-11
USER_001844,COURSE_00084,职业技能,75.34,84.51,1,2024-12-07,2026-03-31
USER_000489,COURSE_00070,职业技能,15.51,77.0,1,2024-04-22,2026-04-04
USER_002977,COURSE_00008,编程开发,94.53,86.12,0,2024-12-27,2026-04-15
USER_001960,COURSE_00029,语言学习,63.94,87.92,0,2024-08-07,2026-03-25
USER_002386,COURSE_00112,产品设计,66.13,100.0,1,2024-06-26,2026-04-14
USER_002920,COURSE_00179,编程开发,127.52,62.23,1,2024-06-10,2026-04-14
USER_004737,COURSE_00161,语言学习,40.34,89.99,1,2024-12-12,2026-04-08
USER_001803,COURSE_00131,编程开发,84.57,65.63,1,2024-10-14,2026-03-30
USER_004062,COURSE_00188,产品设计,56.96,90.98,1,2024-03-14,2026-04-07
USER_003370,COURSE_00163,市场营销,38.39,100.0,1,2024-02-09,2026-04-16
USER_000263,COURSE_00197,商业管理,103.75,63.43,1,2024-12-19,2026-03-20
USER_000624,COURSE_00108,语言学习,68.85,78.69,0,2024-09-25,2026-03-24
USER_001017,COURSE_00109,人工智能,58.33,73.86,1,2024-07-08,2026-03-21
USER_003644,COURSE_00020,人工智能,91.78,85.82,1,2024-08-08,2026-04-09
USER_004977,COURSE_00073,语言学习,84.95,88.16,0,2024-06-17,2026-03-27
USER_002050,COURSE_00167,数据科学,118.31,70.82,1,2024-08-31,2026-03-19
USER_003724,COURSE_00004,市场营销,84.38,72.54,1,2024-08-25,2026-03-29
USER_004549,COURSE_00019,数据科学,170.67,60.43,1,2024-12-26,2026-04-09
USER_003109,COURSE_00102,商业管理,63.71,92.72,1,2024-03-21,2026-04-16
USER_004091,COURSE_00173,人工智能,182.51,74.63,1,2024-04-08,2026-03-18
USER_002057,COURSE_00171,产品设计,116.55,61.82,0,2024-01-20,2026-04-04
USER_003171,COURSE_00141,语言学习,52.17,41.19,1,2024-05-10,2026-04-08
USER_001683,COURSE_00141,商业管理,121.03,94.42,1,2024-06-22,2026-04-08
USER_002256,COURSE_00188,职业技能,88.73,75.65,1,2024-11-20,2026-04-09
USER_001155,COURSE_00185,职业技能,56.07,82.34,1,2024-11-13,2026-03-26
USER_004500,COURSE_00086,编程开发,168.95,64.47,1,2024-03-10,2026-04-01
USER_003192,COURSE_00052,人工智能,124.98,83.78,1,2024-01-31,2026-04-05
USER_001697,COURSE_00111,市场营销,47.16,72.08,1,2024-11-03,2026-04-12
USER_003992,COURSE_00181,人工智能,75.76,54.35,1,2024-07-21,2026-04-14
USER_004724,COURSE_00109,市场营销,72.11,73.75,0,2024-04-15,2026-04-15
USER_004683,COURSE_00086,市场营销,53.5,69.52,1,2024-05-16,2026-04-01
USER_001649,COURSE_00043,语言学习,62.51,100.0,1,2024-10-27,2026-04-08
USER_001446,COURSE_00200,市场营销,61.44,93.12,0,2024-09-21,2026-04-02
USER_004200,COURSE_00200,数据科学,40.58,94.59,0,2024-11-23,2026-04-15
USER_003924,COURSE_00042,职业技能,92.31,78.63,1,2024-07-15,2026-03-18
USER_000254,COURSE_00090,商业管理,125.23,97.81,0,2024-10-13,2026-03-30
USER_003184,COURSE_00115,产品设计,124.76,79.67,1,2024-09-17,2026-03-19
USER_002558,COURSE_00026,人工智能,190.66,82.21,1,2024-03-19,2026-03-29
USER_000099,COURSE_00151,产品设计,106.44,81.94,1,2024-01-17,2026-04-07
USER_002201,COURSE_00043,商业管理,22.33,,1,2024-07-26,2026-03-31
USER_002962,COURSE_00077,编程开发,85.07,87.43,0,2024-05-11,2026-04-04
USER_004974,COURSE_00156,商业管理,69.01,76.86,1,2024-05-27,2026-03-24
USER_004434,COURSE_00137,人工智能,178.62,82.99,1,2024-08-12,2026-04-15
USER_003778,COURSE_00020,职业技能,37.16,98.06,1,2024-04-07,2026-03-18
USER_002870,COURSE_00184,产品设计,88.02,98.37,1,2024-12-26,2026-03-31
USER_003235,COURSE_00039,产品设计,56.79,79.76,0,2024-08-03,2026-04-02
USER_003792,COURSE_00179,语言学习,93.82,91.21,1,2024-09-16,2026-04-12
USER_000957,COURSE_00012,语言学习,1.0,69.92,0,2024-11-26,2026-03-25
USER_004068,COURSE_00183,商业管理,96.56,77.5,0,2024-08-23,2026-03-30
USER_000161,COURSE_00011,商业管理,74.28,100.0,0,2024-01-30,2026-03-30
USER_004494,COURSE_00154,编程开发,119.57,70.8,1,2024-02-04,2026-03-25
USER_001301,COURSE_00042,市场营销,102.66,58.53,0,2024-02-24,2026-04-14
USER_004912,COURSE_00155,人工智能,145.88,64.73,1,2024-01-07,2026-04-15
USER_003988,COURSE_00011,语言学习,97.89,100.0,1,2024-11-26,2026-03-31
USER_001528,COURSE_00038,人工智能,148.7,71.07,0,2024-01-31,2026-03-20
USER_001219,COURSE_00098,编程开发,133.03,50.06,1,2024-11-26,2026-03-29
USER_004497,COURSE_00171,语言学习,52.93,100.0,0,2024-08-15,2026-04-15
USER_004736,COURSE_00019,语言学习,66.3,55.45,1,2024-05-06,2026-04-06
USER_003105,COURSE_00192,市场营销,66.17,68.12,0,2024-11-25,2026-03-26
USER_002736,COURSE_00134,人工智能,142.51,72.93,1,2024-04-05,2026-03-22
USER_004556,COURSE_00174,职业技能,77.66,83.74,0,2024-11-29,2026-03-22
USER_000955,COURSE_00116,人工智能,153.45,63.02,1,2024-11-27,2026-03-19
USER_004566,COURSE_00113,人工智能,185.15,62.16,0,2024-10-13,2026-03-21
USER_003447,COURSE_00170,市场营销,20.75,91.82,0,2024-04-24,2026-03-21
USER_001046,COURSE_00065,语言学习,36.92,93.05,1,2024-09-19,2026-04-09
USER_001694,COURSE_00099,编程开发,128.3,81.69,1,2024-05-13,2026-03-21
USER_003437,COURSE_00072,人工智能,75.04,76.54,1,2024-05-06,2026-04-06
USER_000563,COURSE_00187,产品设计,94.45,87.06,0,2024-05-25,2026-03-23
USER_002486,COURSE_00052,职业技能,55.06,80.34,0,2024-11-30,2026-04-10
USER_003355,COURSE_00118,职业技能,72.76,88.03,1,2024-02-16,2026-03-25
USER_000226,COURSE_00175,市场营销,59.14,98.59,1,2024-05-09,2026-04-13
USER_004894,COURSE_00120,数据科学,,57.29,0,2024-05-26,2026-04-05
USER_000960,COURSE_00007,编程开发,183.68,66.18,0,2024-08-07,2026-04-03
USER_004549,COURSE_00011,产品设计,46.7,89.57,0,2024-06-14,2026-03-21
USER_003068,COURSE_00103,人工智能,107.17,82.74,1,2024-04-14,2026-04-15
USER_000816,COURSE_00061,数据科学,43.51,69.1,1,2024-11-30,2026-04-09
USER_004755,COURSE_00068,编程开发,150.51,87.27,1,2024-09-17,2026-03-30
USER_004643,COURSE_00153,市场营销,66.58,69.79,1,2024-01-05,2026-04-15
USER_003121,COURSE_00140,数据科学,158.47,87.31,1,2024-08-17,2026-03-19
USER_000017,COURSE_00154,语言学习,62.95,53.51,1,2024-10-14,2026-03-27
USER_001244,COURSE_00102,商业管理,83.02,90.91,1,2024-09-26,2026-04-02
USER_002206,COURSE_00110,数据科学,22.95,87.34,1,2024-06-06,2026-04-04
USER_002525,COURSE_00140,商业管理,57.91,56.89,0,2024-09-02,2026-04-13
USER_001070,COURSE_00171,职业技能,98.89,82.42,1,2024-01-23,2026-04-09
USER_003445,COURSE_00051,产品设计,123.08,92.91,1,2024-05-21,2026-04-03
USER_002566,COURSE_00117,编程开发,127.41,53.1,0,2024-04-19,2026-04-09
USER_001061,COURSE_00165,产品设计,86.0,73.83,0,2024-07-25,2026-03-19
USER_002328,COURSE_00046,产品设计,,100.0,1,2024-12-18,2026-04-01
USER_003421,COURSE_00053,人工智能,72.5,83.68,1,2024-05-19,2026-03-23
USER_000302,COURSE_00088,市场营销,70.66,78.36,1,2024-04-18,2026-04-12
USER_004277,COURSE_00121,数据科学,177.39,55.61,1,2024-12-28,2026-03-18
USER_000607,COURSE_00013,编程开发,174.28,95.08,0,2024-03-18,2026-04-11
USER_003171,COURSE_00089,职业技能,85.82,81.21,0,2024-07-08,2026-04-11
USER_000700,COURSE_00125,语言学习,29.9,88.38,1,2024-03-30,2026-03-24
USER_001140,COURSE_00118,市场营销,90.55,76.32,1,2024-04-22,2026-03-18
USER_000191,COURSE_00054,市场营销,50.89,100.0,1,2024-01-22,2026-04-10
USER_002301,COURSE_00185,编程开发,103.07,80.87,0,2024-02-16,2026-03-30
USER_000981,COURSE_00116,市场营销,75.72,64.76,1,2024-08-29,2026-04-04
USER_002976,COURSE_00118,人工智能,154.97,77.59,1,2024-07-20,2026-04-09
USER_001185,COURSE_00004,市场营销,84.51,57.54,1,2024-02-20,2026-04-01
USER_003328,COURSE_00075,职业技能,29.85,100.0,1,2024-07-01,2026-03-25
USER_003395,COURSE_00049,职业技能,78.42,56.11,0,2024-12-16,2026-04-06
USER_000128,COURSE_00007,人工智能,121.55,76.95,1,2024-09-02,2026-03-22
USER_002066,COURSE_00110,数据科学,130.61,65.27,1,2024-07-19,2026-03-22
USER_001817,COURSE_00122,数据科学,76.74,80.04,1,2024-07-16,2026-04-02
USER_000570,COURSE_00011,产品设计,75.4,94.15,1,2024-06-23,2026-03-30
USER_001896,COURSE_00092,职业技能,46.35,64.76,0,2024-03-26,2026-03-30
USER_002734,COURSE_00182,人工智能,91.73,85.79,1,2024-01-16,2026-03-26
USER_003864,COURSE_00173,语言学习,70.88,73.88,0,2024-07-10,2026-03-25
USER_004722,COURSE_00023,数据科学,109.03,73.09,1,2024-06-26,2026-04-09
USER_004015,COURSE_00028,市场营销,55.75,90.15,1,2024-03-30,2026-03-25
USER_002902,COURSE_00111,编程开发,113.38,86.92,1,2024-06-21,2026-04-09
USER_001687,COURSE_00057,编程开发,175.68,70.78,1,2024-08-18,2026-03-19
USER_003010,COURSE_00026,商业管理,55.27,87.08,1,2024-09-23,2026-03-26
USER_000155,COURSE_00153,职业技能,15.8,80.49,1,2024-05-12,2026-04-08
USER_002538,COURSE_00054,人工智能,108.96,56.63,1,2024-09-09,2026-04-11
USER_001410,COURSE_00029,语言学习,6.09,79.43,1,2024-06-14,2026-03-31
USER_004058,COURSE_00097,产品设计,94.71,93.42,1,2024-09-05,2026-04-09
USER_000785,COURSE_00164,市场营销,36.28,70.87,1,2024-11-10,2026-03-25
USER_003176,COURSE_00014,人工智能,142.38,52.71,1,2024-03-17,2026-04-03
USER_004342,COURSE_00078,商业管理,115.9,84.63,1,2024-01-13,2026-03-22
USER_002807,COURSE_00035,编程开发,149.29,92.58,1,2024-02-14,2026-03-19
