订单ID,用户ID,下单时间,商品类别,商品数量,订单金额,用户评分,是否会员,年份,月份,日期,星期,小时
ORD_000020,USER_0308,2024-02-15 20:55:00,家居用品,1,156.86,5.0,是,2024,2,2024-02-15,3,20
ORD_000021,USER_0215,2024-04-06 13:42:00,家居用品,2,848.33,5.0,是,2024,4,2024-04-06,5,13
ORD_000022,USER_0067,2024-01-29 16:08:00,食品饮料,3,378.47,4.0,是,2024,1,2024-01-29,0,16
ORD_000023,USER_0234,2024-01-09 18:12:00,电子产品,3,4728.01,2.0,否,2024,1,2024-01-09,1,18
ORD_000024,USER_0303,2024-01-30 22:49:00,服装鞋帽,2,112.73,4.0,否,2024,1,2024-01-30,1,22
ORD_000025,USER_0142,2024-02-03 12:57:00,服装鞋帽,4,2673.31,2.0,否,2024,2,2024-02-03,5,12
ORD_000026,USER_0145,2024-03-19 18:02:00,美妆护肤,3,492.96,5.0,否,2024,3,2024-03-19,1,18
ORD_000027,USER_0341,2024-01-08 09:51:00,服装鞋帽,3,2195.6,4.0,否,2024,1,2024-01-08,0,9
ORD_000028,USER_0053,2024-02-28 22:22:00,食品饮料,1,70.58,5.0,否,2024,2,2024-02-28,2,22
ORD_000029,USER_0175,2024-01-04 14:52:00,图书文具,3,85.22,5.0,是,2024,1,2024-01-04,3,14
ORD_000030,USER_0160,2024-04-27 13:47:00,图书文具,2,243.9,5.0,否,2024,4,2024-04-27,5,13
ORD_000031,USER_0118,2024-01-08 16:46:00,电子产品,4,4728.01,5.0,是,2024,1,2024-01-08,0,16
ORD_000032,USER_0232,2024-02-20 10:51:00,服装鞋帽,2,1376.03,4.0,否,2024,2,2024-02-20,1,10
ORD_000033,USER_0207,2024-04-15 19:42:00,电子产品,3,4728.01,5.0,否,2024,4,2024-04-15,0,19
ORD_000034,USER_0168,2024-01-21 22:01:00,美妆护肤,3,1752.95,3.0,是,2024,1,2024-01-21,6,22
ORD_000035,USER_0116,2024-03-19 22:53:00,电子产品,1,936.8,4.0,是,2024,3,2024-03-19,1,22
ORD_000036,USER_0152,2024-02-05 13:31:00,电子产品,3,4728.01,5.0,否,2024,2,2024-02-05,0,13
ORD_000037,USER_0044,2024-01-25 21:01:00,食品饮料,3,149.99,5.0,是,2024,1,2024-01-25,3,21
ORD_000038,USER_0093,2024-04-21 19:54:00,食品饮料,3,207.05,4.0,是,2024,4,2024-04-21,6,19
ORD_000039,USER_0078,2024-03-13 16:14:00,运动户外,1,145.96,3.0,否,2024,3,2024-03-13,2,16
ORD_000040,USER_0113,2024-02-29 22:37:00,电子产品,2,4286.93,4.0,是,2024,2,2024-02-29,3,22
ORD_000041,USER_0229,2024-03-20 13:58:00,美妆护肤,1,68.81,4.0,是,2024,3,2024-03-20,2,13
ORD_000042,USER_0225,2024-04-28 09:35:00,电子产品,4,4200.21,5.0,否,2024,4,2024-04-28,6,9
ORD_000043,USER_0016,2024-03-14 09:05:00,运动户外,2,2118.8,5.0,否,2024,3,2024-03-14,3,9
ORD_000044,USER_0265,2024-04-22 11:12:00,服装鞋帽,4,2914.65,5.0,否,2024,4,2024-04-22,0,11
ORD_000045,USER_0351,2024-02-16 22:38:00,图书文具,3,108.57,5.0,否,2024,2,2024-02-16,4,22
ORD_000046,USER_0007,2024-02-27 11:19:00,食品饮料,1,176.56,1.0,否,2024,2,2024-02-27,1,11
ORD_000047,USER_0063,2024-01-26 10:36:00,食品饮料,3,199.74,5.0,否,2024,1,2024-01-26,4,10
ORD_000048,USER_0326,2024-03-31 15:22:00,电子产品,3,4728.01,4.0,是,2024,3,2024-03-31,6,15
ORD_000049,USER_0350,2024-01-31 22:26:00,美妆护肤,4,537.48,4.0,否,2024,1,2024-01-31,2,22
ORD_000050,USER_0291,2024-03-11 20:40:00,电子产品,3,4728.01,5.0,否,2024,3,2024-03-11,0,20
ORD_000051,USER_0002,2024-02-02 17:08:00,美妆护肤,1,308.09,3.0,否,2024,2,2024-02-02,4,17
ORD_000052,USER_0326,2024-02-04 13:56:00,美妆护肤,2,460.15,5.0,否,2024,2,2024-02-04,6,13
ORD_000053,USER_0265,2024-04-17 18:12:00,食品饮料,3,283.87,4.0,是,2024,4,2024-04-17,2,18
ORD_000054,USER_0313,2024-03-26 15:47:00,食品饮料,3,200.54,4.0,否,2024,3,2024-03-26,1,15
ORD_000055,USER_0247,2024-03-24 09:00:00,食品饮料,4,354.79,4.0,是,2024,3,2024-03-24,6,9
ORD_000056,USER_0330,2024-01-30 21:18:00,运动户外,2,1861.4,5.0,否,2024,1,2024-01-30,1,21
ORD_000057,USER_0275,2024-04-28 16:10:00,家居用品,1,183.25,4.0,否,2024,4,2024-04-28,6,16
ORD_000058,USER_0254,2024-01-08 12:40:00,图书文具,1,59.23,5.0,是,2024,1,2024-01-08,0,12
ORD_000059,USER_0138,2024-04-14 17:28:00,食品饮料,4,358.34,4.0,否,2024,4,2024-04-14,6,17
ORD_000060,USER_0109,2024-02-15 10:58:00,家居用品,4,676.16,4.0,否,2024,2,2024-02-15,3,10
ORD_000061,USER_0050,2024-01-21 10:27:00,服装鞋帽,3,1742.24,4.0,否,2024,1,2024-01-21,6,10
ORD_000062,USER_0022,2024-01-09 19:38:00,服装鞋帽,4,2671.87,4.0,否,2024,1,2024-01-09,1,19
ORD_000063,USER_0156,2024-01-30 16:00:00,运动户外,3,4192.19,4.0,是,2024,1,2024-01-30,1,16
ORD_000064,USER_0050,2024-01-06 17:05:00,食品饮料,3,320.95,2.0,否,2024,1,2024-01-06,5,17
ORD_000065,USER_0290,2024-02-19 22:03:00,家居用品,3,596.57,5.0,否,2024,2,2024-02-19,0,22
ORD_000066,USER_0354,2024-01-26 22:36:00,美妆护肤,3,1091.89,1.0,否,2024,1,2024-01-26,4,22
ORD_000067,USER_0305,2024-02-12 12:07:00,服装鞋帽,2,1394.52,5.0,是,2024,2,2024-02-12,0,12
ORD_000068,USER_0075,2024-04-21 09:36:00,服装鞋帽,4,726.48,2.0,否,2024,4,2024-04-21,6,9
ORD_000069,USER_0080,2024-04-21 20:59:00,运动户外,3,653.7,5.0,是,2024,4,2024-04-21,6,20
ORD_000070,USER_0088,2024-04-07 18:06:00,服装鞋帽,3,1333.14,5.0,否,2024,4,2024-04-07,6,18
ORD_000071,USER_0298,2024-02-21 13:04:00,服装鞋帽,4,1326.21,4.0,是,2024,2,2024-02-21,2,13
ORD_000072,USER_0136,2024-03-24 22:27:00,家居用品,3,690.88,4.0,是,2024,3,2024-03-24,6,22
ORD_000073,USER_0041,2024-04-24 21:25:00,运动户外,3,4728.01,5.0,否,2024,4,2024-04-24,2,21
ORD_000074,USER_0119,2024-04-12 22:19:00,图书文具,4,167.76,5.0,是,2024,4,2024-04-12,4,22
ORD_000075,USER_0258,2024-03-30 09:09:00,美妆护肤,1,51.88,4.0,否,2024,3,2024-03-30,5,9
ORD_000076,USER_0114,2024-01-01 20:39:00,服装鞋帽,1,204.95,2.0,否,2024,1,2024-01-01,0,20
ORD_000077,USER_0308,2024-04-25 17:15:00,图书文具,1,31.88,4.0,否,2024,4,2024-04-25,3,17
ORD_000078,USER_0140,2024-01-21 09:29:00,美妆护肤,2,296.68,2.0,否,2024,1,2024-01-21,6,9
ORD_000079,USER_0283,2024-04-27 19:07:00,服装鞋帽,2,1182.9,2.0,是,2024,4,2024-04-27,5,19
ORD_000080,USER_0243,2024-01-10 10:00:00,食品饮料,1,168.14,4.0,否,2024,1,2024-01-10,2,10
ORD_000081,USER_0219,2024-02-24 11:53:00,运动户外,2,3307.77,5.0,否,2024,2,2024-02-24,5,11
ORD_000082,USER_0085,2024-04-22 10:53:00,电子产品,3,4728.01,5.0,否,2024,4,2024-04-22,0,10
ORD_000083,USER_0056,2024-03-13 16:15:00,电子产品,3,4728.01,3.0,是,2024,3,2024-03-13,2,16
ORD_000084,USER_0052,2024-03-21 20:44:00,电子产品,3,3201.39,4.0,是,2024,3,2024-03-21,3,20
ORD_000085,USER_0352,2024-03-06 11:24:00,运动户外,3,1286.93,3.0,是,2024,3,2024-03-06,2,11
ORD_000086,USER_0158,2024-03-13 20:16:00,电子产品,1,1859.91,5.0,否,2024,3,2024-03-13,2,20
ORD_000087,USER_0283,2024-03-11 20:35:00,美妆护肤,1,592.62,5.0,否,2024,3,2024-03-11,0,20
ORD_000088,USER_0333,2024-01-10 18:11:00,服装鞋帽,4,2566.98,4.0,否,2024,1,2024-01-10,2,18
ORD_000089,USER_0101,2024-02-17 15:30:00,服装鞋帽,2,1287.85,5.0,否,2024,2,2024-02-17,5,15
ORD_000090,USER_0257,2024-04-18 18:39:00,服装鞋帽,3,1471.83,1.0,否,2024,4,2024-04-18,3,18
ORD_000091,USER_0192,2024-04-20 12:53:00,家居用品,2,548.77,2.0,否,2024,4,2024-04-20,5,12
ORD_000092,USER_0126,2024-02-28 17:31:00,美妆护肤,2,1150.39,3.0,否,2024,2,2024-02-28,2,17
ORD_000093,USER_0214,2024-03-27 19:49:00,家居用品,3,1193.8,1.0,是,2024,3,2024-03-27,2,19
ORD_000094,USER_0013,2024-01-30 21:23:00,家居用品,1,311.33,5.0,否,2024,1,2024-01-30,1,21
ORD_000095,USER_0291,2024-02-07 14:10:00,食品饮料,1,188.33,4.0,否,2024,2,2024-02-07,2,14
ORD_000096,USER_0269,2024-04-14 14:11:00,电子产品,3,4728.01,1.0,否,2024,4,2024-04-14,6,14
ORD_000097,USER_0038,2024-01-28 17:48:00,电子产品,1,2881.1,4.0,是,2024,1,2024-01-28,6,17
ORD_000098,USER_0052,2024-03-04 20:51:00,电子产品,4,4728.01,3.0,否,2024,3,2024-03-04,0,20
ORD_000099,USER_0163,2024-04-19 22:57:00,美妆护肤,1,329.16,4.0,否,2024,4,2024-04-19,4,22
ORD_000100,USER_0219,2024-02-01 20:26:00,服装鞋帽,2,812.54,3.0,否,2024,2,2024-02-01,3,20
ORD_000101,USER_0124,2024-01-29 16:16:00,家居用品,2,313.1,3.0,是,2024,1,2024-01-29,0,16
ORD_000102,USER_0288,2024-02-29 12:38:00,电子产品,3,4728.01,5.0,是,2024,2,2024-02-29,3,12
ORD_000103,USER_0353,2024-02-09 13:15:00,服装鞋帽,4,665.38,5.0,是,2024,2,2024-02-09,4,13
ORD_000104,USER_0297,2024-02-05 10:21:00,家居用品,4,660.46,4.0,否,2024,2,2024-02-05,0,10
ORD_000105,USER_0265,2024-04-05 16:16:00,运动户外,2,3183.07,5.0,是,2024,4,2024-04-05,4,16
ORD_000106,USER_0136,2024-04-24 16:00:00,美妆护肤,3,1473.36,4.0,是,2024,4,2024-04-24,2,16
ORD_000107,USER_0099,2024-01-22 22:09:00,家居用品,1,528.65,5.0,是,2024,1,2024-01-22,0,22
ORD_000108,USER_0062,2024-04-27 10:31:00,食品饮料,2,273.22,5.0,否,2024,4,2024-04-27,5,10
ORD_000109,USER_0315,2024-01-23 14:25:00,服装鞋帽,2,968.17,4.0,否,2024,1,2024-01-23,1,14
ORD_000110,USER_0202,2024-03-08 12:20:00,服装鞋帽,1,512.92,4.0,否,2024,3,2024-03-08,4,12
ORD_000111,USER_0268,2024-01-23 09:50:00,家居用品,3,362.17,4.0,否,2024,1,2024-01-23,1,9
ORD_000112,USER_0360,2024-03-09 17:41:00,美妆护肤,2,1178.86,2.0,否,2024,3,2024-03-09,5,17
ORD_000113,USER_0304,2024-04-01 17:36:00,家居用品,4,223.43,4.0,是,2024,4,2024-04-01,0,17
ORD_000114,USER_0188,2024-01-21 22:11:00,家居用品,2,564.21,5.0,否,2024,1,2024-01-21,6,22
ORD_000115,USER_0274,2024-01-28 21:18:00,食品饮料,1,163.81,4.0,否,2024,1,2024-01-28,6,21
ORD_000116,USER_0163,2024-02-13 10:02:00,食品饮料,1,59.29,5.0,是,2024,2,2024-02-13,1,10
ORD_000117,USER_0186,2024-03-13 15:19:00,食品饮料,4,791.53,1.0,否,2024,3,2024-03-13,2,15
ORD_000118,USER_0117,2024-03-05 12:05:00,食品饮料,3,226.16,5.0,否,2024,3,2024-03-05,1,12
ORD_000119,USER_0293,2024-01-26 11:46:00,服装鞋帽,2,324.44,4.0,否,2024,1,2024-01-26,4,11
ORD_000120,USER_0112,2024-02-12 19:27:00,食品饮料,3,50.19,2.0,是,2024,2,2024-02-12,0,19
ORD_000121,USER_0199,2024-04-12 10:37:00,家居用品,1,301.08,3.0,是,2024,4,2024-04-12,4,10
ORD_000122,USER_0170,2024-01-06 19:31:00,电子产品,3,2154.24,5.0,是,2024,1,2024-01-06,5,19
ORD_000123,USER_0340,2024-04-29 14:54:00,电子产品,2,4728.01,4.0,否,2024,4,2024-04-29,0,14
ORD_000124,USER_0140,2024-01-21 22:55:00,电子产品,4,4728.01,4.0,否,2024,1,2024-01-21,6,22
ORD_000125,USER_0319,2024-03-06 10:16:00,服装鞋帽,3,815.97,4.0,是,2024,3,2024-03-06,2,10
ORD_000126,USER_0110,2024-01-15 21:58:00,服装鞋帽,3,2037.5,3.0,否,2024,1,2024-01-15,0,21
ORD_000127,USER_0086,2024-02-18 13:42:00,图书文具,1,82.32,5.0,否,2024,2,2024-02-18,6,13
ORD_000128,USER_0188,2024-02-09 09:38:00,美妆护肤,2,1073.0,2.0,是,2024,2,2024-02-09,4,9
ORD_000129,USER_0156,2024-02-10 16:47:00,运动户外,4,4728.01,5.0,否,2024,2,2024-02-10,5,16
ORD_000130,USER_0099,2024-03-28 12:15:00,美妆护肤,3,962.4,3.0,否,2024,3,2024-03-28,3,12
ORD_000131,USER_0033,2024-04-26 09:04:00,美妆护肤,4,1873.63,5.0,是,2024,4,2024-04-26,4,9
ORD_000132,USER_0348,2024-02-11 21:42:00,电子产品,3,3690.52,5.0,是,2024,2,2024-02-11,6,21
ORD_000133,USER_0155,2024-03-28 19:29:00,食品饮料,4,111.31,1.0,是,2024,3,2024-03-28,3,19
ORD_000134,USER_0079,2024-04-11 17:35:00,运动户外,1,288.32,4.0,是,2024,4,2024-04-11,3,17
ORD_000135,USER_0027,2024-04-22 22:32:00,电子产品,4,4728.01,5.0,是,2024,4,2024-04-22,0,22
ORD_000136,USER_0199,2024-02-06 15:40:00,家居用品,2,225.16,1.0,否,2024,2,2024-02-06,1,15
ORD_000137,USER_0317,2024-02-13 17:03:00,家居用品,2,259.55,3.0,否,2024,2,2024-02-13,1,17
ORD_000138,USER_0129,2024-04-21 19:13:00,电子产品,2,465.15,5.0,是,2024,4,2024-04-21,6,19
ORD_000139,USER_0090,2024-03-08 13:29:00,服装鞋帽,1,319.57,5.0,否,2024,3,2024-03-08,4,13
ORD_000140,USER_0251,2024-03-31 21:42:00,食品饮料,1,190.59,4.0,否,2024,3,2024-03-31,6,21
ORD_000141,USER_0332,2024-01-09 22:27:00,家居用品,1,528.65,4.0,否,2024,1,2024-01-09,1,22
ORD_000142,USER_0180,2024-03-14 10:55:00,家居用品,3,379.54,5.0,否,2024,3,2024-03-14,3,10
ORD_000143,USER_0301,2024-04-13 16:30:00,食品饮料,3,420.28,4.0,否,2024,4,2024-04-13,5,16
ORD_000144,USER_0061,2024-03-07 21:12:00,家居用品,2,151.39,4.0,是,2024,3,2024-03-07,3,21
ORD_000145,USER_0313,2024-04-15 12:32:00,家居用品,4,1200.03,5.0,是,2024,4,2024-04-15,0,12
ORD_000146,USER_0175,2024-03-18 18:43:00,服装鞋帽,1,101.76,1.0,否,2024,3,2024-03-18,0,18
ORD_000147,USER_0286,2024-01-07 19:55:00,服装鞋帽,3,1660.93,3.0,否,2024,1,2024-01-07,6,19
ORD_000148,USER_0206,2024-01-17 18:28:00,食品饮料,4,259.33,5.0,是,2024,1,2024-01-17,2,18
ORD_000149,USER_0206,2024-03-27 12:00:00,电子产品,1,3882.87,5.0,否,2024,3,2024-03-27,2,12
ORD_000150,USER_0132,2024-02-13 14:11:00,服装鞋帽,4,506.36,5.0,否,2024,2,2024-02-13,1,14
ORD_000151,USER_0033,2024-01-04 13:43:00,家居用品,1,496.67,1.0,是,2024,1,2024-01-04,3,13
ORD_000152,USER_0113,2024-02-28 16:39:00,电子产品,1,1006.7,5.0,是,2024,2,2024-02-28,2,16
ORD_000153,USER_0275,2024-01-14 12:55:00,运动户外,1,1359.62,5.0,否,2024,1,2024-01-14,6,12
ORD_000154,USER_0146,2024-02-15 20:50:00,服装鞋帽,2,829.6,5.0,是,2024,2,2024-02-15,3,20
ORD_000155,USER_0280,2024-01-03 12:59:00,美妆护肤,4,457.74,4.0,否,2024,1,2024-01-03,2,12
ORD_000156,USER_0158,2024-04-04 13:40:00,食品饮料,1,149.59,4.0,是,2024,4,2024-04-04,3,13
ORD_000157,USER_0158,2024-03-12 13:56:00,电子产品,3,144.68,5.0,否,2024,3,2024-03-12,1,13
ORD_000158,USER_0092,2024-03-10 17:17:00,电子产品,2,4728.01,5.0,否,2024,3,2024-03-10,6,17
ORD_000159,USER_0081,2024-02-01 20:31:00,美妆护肤,1,537.48,4.0,否,2024,2,2024-02-01,3,20
ORD_000160,USER_0032,2024-02-26 17:31:00,家居用品,4,1416.17,3.0,是,2024,2,2024-02-26,0,17
ORD_000161,USER_0028,2024-03-10 12:10:00,美妆护肤,2,743.68,4.0,否,2024,3,2024-03-10,6,12
ORD_000162,USER_0172,2024-03-01 10:35:00,家居用品,2,115.97,4.0,否,2024,3,2024-03-01,4,10
ORD_000163,USER_0318,2024-04-26 14:22:00,家居用品,3,646.45,4.0,否,2024,4,2024-04-26,4,14
ORD_000164,USER_0187,2024-03-11 21:24:00,图书文具,1,76.21,3.0,否,2024,3,2024-03-11,0,21
ORD_000165,USER_0037,2024-02-25 18:56:00,图书文具,3,329.91,1.0,否,2024,2,2024-02-25,6,18
ORD_000166,USER_0151,2024-02-04 22:03:00,运动户外,1,323.13,3.0,否,2024,2,2024-02-04,6,22
ORD_000167,USER_0147,2024-03-12 14:14:00,运动户外,3,3107.26,5.0,是,2024,3,2024-03-12,1,14
ORD_000168,USER_0335,2024-02-28 13:29:00,食品饮料,1,64.95,5.0,否,2024,2,2024-02-28,2,13
ORD_000169,USER_0213,2024-03-01 18:06:00,美妆护肤,2,1023.27,5.0,是,2024,3,2024-03-01,4,18
ORD_000170,USER_0160,2024-02-25 14:42:00,家居用品,2,950.87,4.0,是,2024,2,2024-02-25,6,14
ORD_000171,USER_0089,2024-02-05 17:51:00,图书文具,2,155.88,2.0,否,2024,2,2024-02-05,0,17
ORD_000172,USER_0356,2024-02-24 17:10:00,服装鞋帽,2,1400.83,4.0,是,2024,2,2024-02-24,5,17
ORD_000173,USER_0021,2024-04-07 20:07:00,家居用品,4,1928.33,4.0,否,2024,4,2024-04-07,6,20
ORD_000174,USER_0306,2024-03-23 19:21:00,服装鞋帽,4,1492.71,2.0,否,2024,3,2024-03-23,5,19
ORD_000175,USER_0166,2024-04-22 11:51:00,运动户外,2,1674.04,5.0,是,2024,4,2024-04-22,0,11
ORD_000176,USER_0323,2024-02-26 18:54:00,电子产品,4,4728.01,4.0,否,2024,2,2024-02-26,0,18
ORD_000177,USER_0153,2024-04-19 17:21:00,运动户外,1,510.7,1.0,否,2024,4,2024-04-19,4,17
ORD_000178,USER_0028,2024-03-11 18:09:00,食品饮料,1,234.0,5.0,是,2024,3,2024-03-11,0,18
ORD_000179,USER_0356,2024-03-01 14:45:00,家居用品,1,209.23,5.0,否,2024,3,2024-03-01,4,14
ORD_000180,USER_0250,2024-03-29 20:58:00,美妆护肤,4,963.85,5.0,是,2024,3,2024-03-29,4,20
ORD_000181,USER_0337,2024-04-06 18:09:00,家居用品,1,73.29,5.0,否,2024,4,2024-04-06,5,18
ORD_000182,USER_0037,2024-01-02 10:18:00,运动户外,4,1054.49,5.0,否,2024,1,2024-01-02,1,10
ORD_000183,USER_0119,2024-01-14 12:39:00,服装鞋帽,4,3197.66,2.0,是,2024,1,2024-01-14,6,12
ORD_000184,USER_0322,2024-01-05 13:09:00,服装鞋帽,2,949.95,5.0,是,2024,1,2024-01-05,4,13
ORD_000185,USER_0228,2024-01-10 11:31:00,电子产品,2,1837.26,5.0,是,2024,1,2024-01-10,2,11
ORD_000186,USER_0025,2024-01-17 19:12:00,运动户外,3,3679.99,4.0,否,2024,1,2024-01-17,2,19
ORD_000187,USER_0277,2024-03-23 19:07:00,服装鞋帽,2,544.8,5.0,是,2024,3,2024-03-23,5,19
ORD_000188,USER_0357,2024-03-19 11:24:00,运动户外,2,1263.78,5.0,否,2024,3,2024-03-19,1,11
ORD_000189,USER_0151,2024-04-03 10:42:00,电子产品,2,4728.01,3.0,否,2024,4,2024-04-03,2,10
ORD_000190,USER_0216,2024-02-02 20:20:00,食品饮料,3,271.88,5.0,否,2024,2,2024-02-02,4,20
ORD_000191,USER_0093,2024-04-26 13:19:00,服装鞋帽,1,429.05,5.0,是,2024,4,2024-04-26,4,13
ORD_000192,USER_0338,2024-04-13 18:28:00,服装鞋帽,2,666.03,2.0,是,2024,4,2024-04-13,5,18
ORD_000193,USER_0266,2024-04-29 19:08:00,图书文具,3,348.36,3.0,否,2024,4,2024-04-29,0,19
ORD_000194,USER_0095,2024-02-25 20:21:00,美妆护肤,4,1548.96,4.0,否,2024,2,2024-02-25,6,20
ORD_000195,USER_0255,2024-04-25 21:10:00,运动户外,2,1181.3,4.0,否,2024,4,2024-04-25,3,21
ORD_000196,USER_0332,2024-01-02 14:43:00,家居用品,3,363.89,3.0,否,2024,1,2024-01-02,1,14
ORD_000197,USER_0271,2024-02-25 21:00:00,运动户外,2,2073.44,3.0,是,2024,2,2024-02-25,6,21
ORD_000198,USER_0253,2024-01-25 19:08:00,图书文具,3,161.36,5.0,否,2024,1,2024-01-25,3,19
ORD_000199,USER_0321,2024-04-27 11:03:00,美妆护肤,2,259.81,4.0,是,2024,4,2024-04-27,5,11
ORD_000200,USER_0073,2024-01-02 15:56:00,图书文具,4,283.08,4.0,是,2024,1,2024-01-02,1,15
ORD_000201,USER_0331,2024-04-05 09:53:00,电子产品,4,2704.67,3.0,否,2024,4,2024-04-05,4,9
ORD_000202,USER_0225,2024-03-29 10:17:00,电子产品,3,244.84,4.0,是,2024,3,2024-03-29,4,10
ORD_000203,USER_0300,2024-02-18 22:42:00,服装鞋帽,3,2039.2,2.0,否,2024,2,2024-02-18,6,22
ORD_000204,USER_0024,2024-03-21 10:03:00,美妆护肤,1,92.82,4.0,是,2024,3,2024-03-21,3,10
ORD_000205,USER_0056,2024-03-05 19:34:00,服装鞋帽,3,1485.35,3.0,否,2024,3,2024-03-05,1,19
ORD_000206,USER_0173,2024-04-18 17:47:00,美妆护肤,2,681.36,3.0,否,2024,4,2024-04-18,3,17
ORD_000207,USER_0073,2024-04-16 21:04:00,美妆护肤,1,73.15,1.0,是,2024,4,2024-04-16,1,21
ORD_000208,USER_0142,2024-01-08 19:36:00,运动户外,4,3166.67,1.0,是,2024,1,2024-01-08,0,19
ORD_000209,USER_0135,2024-02-28 16:16:00,运动户外,1,2409.68,1.0,否,2024,2,2024-02-28,2,16
ORD_000210,USER_0181,2024-02-18 09:07:00,美妆护肤,3,1288.75,4.0,是,2024,2,2024-02-18,6,9
ORD_000211,USER_0181,2024-03-29 13:10:00,家居用品,2,769.5,5.0,否,2024,3,2024-03-29,4,13
ORD_000212,USER_0126,2024-04-15 19:16:00,电子产品,4,4728.01,4.0,否,2024,4,2024-04-15,0,19
ORD_000213,USER_0165,2024-04-13 16:39:00,食品饮料,1,81.74,5.0,否,2024,4,2024-04-13,5,16
ORD_000214,USER_0030,2024-03-20 16:20:00,食品饮料,1,199.63,3.0,否,2024,3,2024-03-20,2,16
ORD_000215,USER_0103,2024-04-15 22:21:00,食品饮料,2,261.02,5.0,是,2024,4,2024-04-15,0,22
ORD_000216,USER_0180,2024-02-29 12:07:00,食品饮料,2,108.07,4.0,是,2024,2,2024-02-29,3,12
ORD_000217,USER_0080,2024-04-04 22:28:00,家居用品,3,490.99,1.0,是,2024,4,2024-04-04,3,22
ORD_000218,USER_0348,2024-03-07 12:35:00,家居用品,3,1375.34,5.0,否,2024,3,2024-03-07,3,12
ORD_000219,USER_0354,2024-03-14 17:15:00,运动户外,2,2847.64,5.0,否,2024,3,2024-03-14,3,17
ORD_000220,USER_0340,2024-01-06 11:06:00,家居用品,1,168.95,3.0,否,2024,1,2024-01-06,5,11
ORD_000221,USER_0017,2024-03-23 12:06:00,美妆护肤,3,1651.0,5.0,是,2024,3,2024-03-23,5,12
ORD_000222,USER_0016,2024-03-16 17:14:00,运动户外,4,4158.87,5.0,是,2024,3,2024-03-16,5,17
ORD_000223,USER_0129,2024-02-22 15:24:00,家居用品,1,454.65,4.0,否,2024,2,2024-02-22,3,15
ORD_000224,USER_0327,2024-04-13 09:25:00,运动户外,4,2150.53,3.0,是,2024,4,2024-04-13,5,9
ORD_000225,USER_0153,2024-04-25 17:30:00,食品饮料,2,119.68,4.0,否,2024,4,2024-04-25,3,17
ORD_000226,USER_0197,2024-04-01 10:58:00,食品饮料,3,557.55,4.0,否,2024,4,2024-04-01,0,10
ORD_000227,USER_0316,2024-03-03 20:20:00,电子产品,3,4728.01,5.0,否,2024,3,2024-03-03,6,20
ORD_000228,USER_0056,2024-01-27 14:42:00,电子产品,3,4728.01,5.0,是,2024,1,2024-01-27,5,14
ORD_000229,USER_0360,2024-02-08 09:42:00,服装鞋帽,1,691.03,3.0,否,2024,2,2024-02-08,3,9
