订单ID,用户ID,订单时间,商品类别,单价,数量,总金额,用户评分,支付方式,地区
ORD20260416000590,USER_00021,2026-01-18 20:36:20.264853,电子产品,1891.42,2,3782.84,4.7,支付宝,华东
ORD20260416000333,USER_00128,2026-01-18 20:49:23.264853,食品饮料,237.49,3,712.47,4.2,支付宝,华东
ORD20260416000167,USER_00045,2026-01-18 21:43:55.264853,美妆护肤,668.68,4,2674.72,4.3,银行卡,华南
ORD20260416000109,USER_00136,2026-01-18 22:48:08.264853,服装鞋帽,746.35,2,1492.7,5.0,支付宝,华东
ORD20260416000110,USER_00063,2026-01-18 22:57:48.264853,家居用品,449.13,2,898.26,4.9,支付宝,华南
ORD20260416000340,USER_00158,2026-01-19 01:14:34.264853,电子产品,2678.22,2,5356.44,4.9,支付宝,华南
ORD20260416000326,USER_00048,2026-01-19 01:41:46.264853,电子产品,5000.0,1,5000.0,3.4,支付宝,华南
ORD20260416000176,USER_00030,2026-01-19 07:24:16.264853,食品饮料,64.64,3,193.92,4.0,微信支付,华北
ORD20260416000584,USER_00058,2026-01-19 10:41:51.264853,电子产品,2302.81,2,4605.62,5.0,货到付款,华东
ORD20260416000217,USER_00187,2026-01-19 10:45:35.264853,服装鞋帽,568.0,1,568.0,3.4,信用卡,华中
ORD20260416000235,USER_00123,2026-01-19 11:17:39.264853,电子产品,1344.26,2,2688.52,2.1,银行卡,东北
ORD20260416000411,USER_00050,2026-01-19 20:45:50.264853,家居用品,1000.0,1,1000.0,4.4,支付宝,华东
ORD20260416000453,USER_00060,2026-01-20 07:04:04.264853,电子产品,5000.0,1,5000.0,3.2,微信支付,华东
ORD20260416000166,USER_00170,2026-01-20 09:10:26.264853,食品饮料,97.68,4,390.72,3.8,微信支付,华南
ORD20260416000245,USER_00097,2026-01-20 10:27:01.264853,服装鞋帽,484.93,1,484.93,4.1,信用卡,西南
ORD20260416000038,USER_00190,2026-01-20 11:57:45.264853,食品饮料,171.17,3,0.01,4.9,支付宝,华南
ORD20260416000190,USER_00198,2026-01-20 16:31:10.264853,服装鞋帽,474.51,3,1423.53,3.8,微信支付,华东
ORD20260416000253,USER_00164,2026-01-20 17:00:56.264853,家居用品,263.83,4,1055.32,3.9,微信支付,华南
ORD20260416000145,USER_00090,2026-01-20 17:23:44.264853,服装鞋帽,314.14,1,314.14,3.5,支付宝,华北
ORD20260416000493,USER_00096,2026-01-20 17:24:09.264853,食品饮料,82.48,4,329.92,4.2,微信支付,华东
ORD20260416000351,USER_00028,2026-01-20 17:35:02.264853,家居用品,840.19,1,840.19,3.7,信用卡,华东
ORD20260416000463,USER_00099,2026-01-20 23:53:12.264853,家居用品,353.81,1,353.81,,信用卡,华东
ORD20260416000314,USER_00110,2026-01-21 04:03:47.264853,美妆护肤,1133.99,3,3401.97,5.0,微信支付,华东
ORD20260416000225,USER_00126,2026-01-21 09:11:48.264853,服装鞋帽,430.79,1,430.79,2.7,支付宝,西北
ORD20260416000163,USER_00086,2026-01-21 21:14:54.264853,家居用品,692.09,1,692.09,4.7,支付宝,华北
ORD20260416000433,USER_00051,2026-01-21 21:28:51.264853,服装鞋帽,270.1,1,270.1,3.4,微信支付,华南
ORD20260416000137,USER_00131,2026-01-21 21:50:30.264853,电子产品,1361.69,2,2723.38,4.1,微信支付,华中
ORD20260416000598,USER_00036,2026-01-22 01:07:36.264853,食品饮料,149.9,4,599.6,4.0,信用卡,华东
ORD20260416000048,USER_00021,2026-01-22 09:34:51.264853,家居用品,632.74,1,632.74,3.8,支付宝,华南
ORD20260416000284,USER_00048,2026-01-22 11:01:49.264853,服装鞋帽,800.0,1,800.0,2.2,微信支付,华东
ORD20260416000435,USER_00186,2026-01-22 22:48:40.264853,食品饮料,135.93,2,271.86,4.0,微信支付,华东
ORD20260416000309,USER_00099,2026-01-23 00:22:42.264853,家居用品,874.72,1,874.72,3.6,微信支付,华北
ORD20260416000347,USER_00027,2026-01-23 00:23:59.264853,家居用品,627.96,2,1255.92,3.0,微信支付,华南
ORD20260416000057,USER_00090,2026-01-23 04:36:43.264853,食品饮料,47.26,1,47.26,3.1,微信支付,华东
ORD20260416000273,USER_00159,2026-01-23 08:54:07.264853,服装鞋帽,800.0,3,2400.0,4.1,支付宝,华南
ORD20260416000586,USER_00075,2026-01-23 14:58:49.264853,食品饮料,167.36,1,167.36,3.2,微信支付,华中
ORD20260416000120,USER_00028,2026-01-23 17:04:10.264853,美妆护肤,546.64,3,1639.92,4.9,支付宝,华东
ORD20260416000462,USER_00047,2026-01-23 20:11:26.264853,服装鞋帽,99.01,3,297.03,,支付宝,西北
ORD20260416000123,USER_00012,2026-01-23 20:25:17.264853,家居用品,799.31,2,1598.62,4.4,微信支付,西南
ORD20260416000599,USER_00096,2026-01-23 20:47:42.264853,食品饮料,168.67,1,168.67,5.0,支付宝,华南
ORD20260416000054,USER_00060,2026-01-24 13:34:02.264853,电子产品,4822.15,1,4822.15,4.9,支付宝,西南
ORD20260416000045,USER_00131,2026-01-24 13:46:23.264853,食品饮料,194.66,1,194.66,3.9,微信支付,华南
ORD20260416000392,USER_00114,2026-01-24 16:09:24.264853,服装鞋帽,744.31,3,2232.93,4.6,信用卡,华东
ORD20260416000021,USER_00088,2026-01-24 16:58:45.264853,美妆护肤,572.03,2,1144.06,5.0,微信支付,华东
ORD20260416000053,USER_00089,2026-01-24 19:39:41.264853,服装鞋帽,412.93,1,412.93,2.9,支付宝,华东
ORD20260416000020,USER_00002,2026-01-24 20:16:09.264853,服装鞋帽,800.0,4,3200.0,4.1,支付宝,华东
ORD20260416000046,USER_00051,2026-01-24 22:04:55.264853,食品饮料,143.95,2,287.9,3.2,支付宝,华北
ORD20260416000370,USER_00037,2026-01-25 06:04:19.264853,家居用品,1000.0,2,2000.0,3.5,支付宝,华南
ORD20260416000304,USER_00164,2026-01-25 11:11:04.264853,服装鞋帽,568.68,2,1137.36,4.6,支付宝,华中
ORD20260416000305,USER_00166,2026-01-25 12:36:14.264853,服装鞋帽,800.0,1,800.0,4.6,微信支付,华南
ORD20260416000219,USER_00002,2026-01-25 13:31:50.264853,家居用品,244.59,2,489.18,4.1,支付宝,华南
ORD20260416000373,USER_00046,2026-01-25 17:17:07.264853,服装鞋帽,584.66,1,584.66,4.8,支付宝,东北
ORD20260416000218,USER_00113,2026-01-25 19:28:54.264853,食品饮料,256.97,1,256.97,4.7,支付宝,华北
ORD20260416000372,USER_00093,2026-01-25 21:20:19.264853,服装鞋帽,289.58,1,289.58,2.5,微信支付,华北
ORD20260416000371,USER_00024,2026-01-25 22:43:00.264853,服装鞋帽,270.9,4,1083.6,4.7,微信支付,华东
ORD20260416000366,USER_00117,2026-01-26 14:15:11.264853,美妆护肤,1063.5,1,1063.5,5.0,支付宝,华北
ORD20260416000150,USER_00096,2026-01-26 20:19:31.264853,家居用品,170.78,1,170.78,2.6,支付宝,华东
ORD20260416000477,USER_00019,2026-01-26 20:45:06.264853,电子产品,1877.68,1,1877.68,3.2,微信支付,华东
ORD20260416000027,USER_00021,2026-01-27 05:28:44.264853,美妆护肤,808.6,2,1617.2,4.5,微信支付,西南
ORD20260416000254,USER_00147,2026-01-27 07:19:27.264853,电子产品,3099.58,1,3099.58,4.2,微信支付,华东
ORD20260416000358,USER_00004,2026-01-27 09:57:02.264853,服装鞋帽,558.54,2,1117.08,4.3,信用卡,华南
ORD20260416000187,USER_00116,2026-01-27 13:12:16.264853,电子产品,1504.89,1,1504.89,4.1,微信支付,华东
ORD20260416000016,USER_00152,2026-01-27 16:11:19.264853,电子产品,5000.0,2,10000.0,4.0,微信支付,华东
ORD20260416000483,USER_00062,2026-01-27 22:14:50.264853,家居用品,1000.0,1,1000.0,3.5,微信支付,华东
ORD20260416000113,USER_00136,2026-01-27 22:34:37.264853,食品饮料,193.28,3,579.84,,支付宝,华北
ORD20260416000564,USER_00043,2026-01-28 03:21:54.264853,电子产品,2526.98,2,5053.96,4.6,银行卡,华中
ORD20260416000050,USER_00167,2026-01-28 06:08:25.264853,电子产品,3026.57,1,3026.57,1.6,微信支付,华南
ORD20260416000485,USER_00127,2026-01-28 12:36:32.264853,服装鞋帽,593.72,1,593.72,4.9,微信支付,东北
ORD20260416000300,USER_00116,2026-01-28 18:09:01.264853,电子产品,2340.09,1,2340.09,3.5,银行卡,西南
ORD20260416000134,USER_00193,2026-01-28 19:41:35.264853,服装鞋帽,188.59,1,188.59,3.9,微信支付,华中
ORD20260416000374,USER_00181,2026-01-28 20:32:52.264853,服装鞋帽,368.24,2,736.48,5.0,货到付款,华南
ORD20260416000005,USER_00107,2026-01-28 20:34:31.264853,服装鞋帽,195.57,2,391.14,3.0,,华南
ORD20260416000402,USER_00104,2026-01-29 10:13:19.264853,电子产品,2322.95,1,2322.95,3.4,微信支付,华北
ORD20260416000362,USER_00017,2026-01-29 11:21:43.264853,电子产品,1018.95,3,3056.85,4.8,支付宝,华东
ORD20260416000419,USER_00173,2026-01-29 15:21:13.264853,食品饮料,300.0,1,300.0,3.8,微信支付,华东
ORD20260416000197,USER_00172,2026-01-29 16:31:49.264853,电子产品,5000.0,3,15000.0,4.0,支付宝,华东
ORD20260416000104,USER_00089,2026-01-29 17:52:50.264853,电子产品,3103.62,4,12414.48,4.1,微信支付,华南
ORD20260416000282,USER_00002,2026-01-29 22:13:52.264853,服装鞋帽,260.68,1,260.68,3.3,信用卡,华南
ORD20260416000516,USER_00047,2026-01-30 06:23:44.264853,电子产品,3608.49,1,3608.49,4.8,支付宝,华北
ORD20260416000105,USER_00071,2026-01-30 15:09:42.264853,电子产品,1172.63,1,1172.63,4.2,微信支付,华南
ORD20260416000290,USER_00099,2026-01-30 18:05:33.264853,家居用品,532.54,1,532.54,4.1,支付宝,华南
ORD20260416000381,USER_00161,2026-01-30 22:17:54.264853,家居用品,463.02,2,926.04,3.7,支付宝,华北
ORD20260416000439,USER_00150,2026-01-30 22:59:39.264853,电子产品,4346.23,3,13038.69,3.9,货到付款,华东
ORD20260416000116,USER_00033,2026-01-31 03:40:55.264853,家居用品,247.99,1,247.99,3.9,微信支付,华东
ORD20260416000025,USER_00192,2026-01-31 12:08:53.264853,电子产品,1557.42,2,3114.84,3.9,信用卡,华东
ORD20260416000233,USER_00183,2026-01-31 13:41:50.264853,服装鞋帽,703.89,2,1407.78,3.8,支付宝,华东
ORD20260416000575,USER_00008,2026-01-31 13:50:48.264853,服装鞋帽,328.94,2,657.88,4.1,微信支付,华东
ORD20260416000574,USER_00090,2026-01-31 15:59:58.264853,美妆护肤,376.56,1,376.56,4.0,微信支付,华中
ORD20260416000115,USER_00163,2026-01-31 16:13:36.264853,电子产品,2291.77,2,4583.54,4.6,支付宝,东北
ORD20260416000234,USER_00184,2026-01-31 16:53:11.264853,电子产品,2506.5,2,5013.0,3.9,支付宝,西南
ORD20260416000026,USER_00188,2026-01-31 17:45:03.264853,家居用品,321.97,5,1609.85,5.0,微信支付,华东
ORD20260416000427,USER_00092,2026-02-01 02:31:35.264853,电子产品,3181.91,1,3181.91,4.5,微信支付,华南
ORD20260416000060,USER_00084,2026-02-01 07:15:23.264853,电子产品,3210.86,1,3210.86,4.9,支付宝,华东
ORD20260416000047,USER_00135,2026-02-01 08:35:46.264853,家居用品,543.49,3,16304.7,4.3,微信支付,华东
ORD20260416000173,USER_00108,2026-02-01 08:48:24.264853,服装鞋帽,222.98,3,668.94,3.7,微信支付,华北
ORD20260416000130,USER_00099,2026-02-01 10:05:23.264853,服装鞋帽,694.83,1,694.83,2.6,微信支付,华东
ORD20260416000535,USER_00186,2026-02-01 12:36:19.264853,家居用品,468.47,1,468.47,,微信支付,华北
ORD20260416000297,USER_00120,2026-02-01 13:48:31.264853,美妆护肤,1500.0,2,3000.0,2.8,微信支付,华北
ORD20260416000426,USER_00143,2026-02-01 17:52:17.264853,食品饮料,189.11,2,378.22,4.3,支付宝,华东
ORD20260416000221,USER_00054,2026-02-01 18:36:31.264853,电子产品,2758.92,1,2758.92,5.0,支付宝,华东
ORD20260416000192,USER_00155,2026-02-01 20:07:10.264853,服装鞋帽,410.82,2,821.64,4.9,支付宝,华南
ORD20260416000536,USER_00096,2026-02-01 20:09:04.264853,电子产品,1307.33,1,1307.33,5.0,银行卡,华东
ORD20260416000061,USER_00092,2026-02-01 20:30:20.264853,服装鞋帽,418.79,1,418.79,3.6,支付宝,华南
ORD20260416000576,USER_00093,2026-02-02 09:06:20.264853,食品饮料,300.0,2,600.0,5.0,银行卡,华南
ORD20260416000415,USER_00060,2026-02-02 09:28:51.264853,电子产品,5000.0,1,5000.0,3.8,微信支付,西南
ORD20260416000043,USER_00055,2026-02-02 11:48:58.264853,食品饮料,260.14,2,520.28,3.8,支付宝,华东
ORD20260416000306,USER_00104,2026-02-02 15:14:42.264853,电子产品,3602.01,3,10806.03,3.2,支付宝,华南
ORD20260416000101,USER_00015,2026-02-02 16:12:33.264853,食品饮料,36.33,1,36.33,3.4,支付宝,华南
ORD20260416000287,USER_00037,2026-02-02 20:12:30.264853,电子产品,3751.7,2,7503.4,5.0,支付宝,华东
ORD20260416000098,USER_00124,2026-02-03 09:57:36.264853,食品饮料,139.01,2,278.02,3.2,支付宝,华南
ORD20260416000018,USER_00150,2026-02-03 11:52:43.264853,家居用品,639.48,1,639.48,4.3,微信支付,华东
ORD20260416000355,USER_00061,2026-02-03 18:43:26.264853,食品饮料,300.0,3,900.0,5.0,支付宝,华东
ORD20260416000072,USER_00104,2026-02-03 20:30:29.264853,电子产品,4020.05,3,12060.15,2.6,微信支付,华东
ORD20260416000014,USER_00100,2026-02-03 22:04:19.264853,电子产品,2691.9,2,5383.8,4.0,微信支付,华东
ORD20260416000558,USER_00012,2026-02-04 14:20:17.264853,电子产品,4798.39,2,9596.78,4.3,支付宝,华东
ORD20260416000357,USER_00147,2026-02-04 16:02:53.264853,服装鞋帽,636.85,4,2547.4,3.6,微信支付,华南
ORD20260416000476,USER_00063,2026-02-04 20:20:07.264853,食品饮料,262.28,1,262.28,4.1,微信支付,东北
ORD20260416000099,USER_00041,2026-02-04 20:42:59.264853,食品饮料,154.44,1,154.44,4.5,微信支付,西南
ORD20260416000250,USER_00003,2026-02-05 07:09:28.264853,家居用品,450.58,5,2252.9,3.6,信用卡,西南
ORD20260416000161,USER_00071,2026-02-05 07:33:28.264853,服装鞋帽,247.2,1,247.2,4.2,银行卡,华中
ORD20260416000506,USER_00093,2026-02-05 12:39:38.264853,服装鞋帽,490.17,2,980.34,4.7,支付宝,西南
ORD20260416000093,USER_00111,2026-02-05 14:55:29.264853,家居用品,1000.0,1,1000.0,4.2,货到付款,华中
ORD20260416000323,USER_00033,2026-02-05 16:41:55.264853,服装鞋帽,170.43,2,340.86,4.1,支付宝,华中
ORD20260416000517,USER_00094,2026-02-05 20:57:37.264853,服装鞋帽,800.0,1,800.0,4.2,信用卡,华南
ORD20260416000322,USER_00068,2026-02-06 08:55:48.264853,美妆护肤,1250.01,3,3750.03,4.0,支付宝,华南
ORD20260416000249,USER_00093,2026-02-06 09:02:53.264853,美妆护肤,789.16,1,789.16,4.9,微信支付,东北
ORD20260416000549,USER_00178,2026-02-06 10:08:44.264853,服装鞋帽,616.48,1,616.48,3.5,微信支付,华中
ORD20260416000397,USER_00194,2026-02-06 11:24:12.264853,美妆护肤,1500.0,2,3000.0,4.1,微信支付,华东
ORD20260416000033,USER_00059,2026-02-07 00:20:26.264853,家居用品,598.66,1,598.66,4.1,微信支付,西南
ORD20260416000231,USER_00160,2026-02-07 01:33:35.264853,家居用品,722.21,1,722.21,4.8,微信支付,华东
ORD20260416000195,USER_00165,2026-02-07 05:15:53.264853,电子产品,3976.04,4,15904.16,5.0,支付宝,西北
ORD20260416000424,USER_00142,2026-02-07 07:04:00.264853,家居用品,739.79,1,739.79,4.1,支付宝,华北
ORD20260416000194,USER_00062,2026-02-07 09:56:45.264853,食品饮料,88.81,3,266.43,2.8,支付宝,东北
ORD20260416000001,USER_00103,2026-02-07 10:22:58.264853,美妆护肤,955.76,1,955.76,4.5,微信支付,华东
ORD20260416000480,USER_00183,2026-02-07 10:27:28.264853,服装鞋帽,800.0,3,2400.0,3.2,支付宝,华南
ORD20260416000002,USER_00180,2026-02-07 15:07:53.264853,家居用品,756.29,1,756.29,4.0,微信支付,华中
ORD20260416000423,USER_00144,2026-02-07 16:22:57.264853,家居用品,489.43,1,489.43,4.6,货到付款,华北
ORD20260416000481,USER_00090,2026-02-07 19:01:28.264853,电子产品,5000.0,4,20000.0,3.7,支付宝,华东
ORD20260416000007,USER_00189,2026-02-07 20:15:03.264853,服装鞋帽,335.68,2,671.36,3.1,微信支付,西南
ORD20260416000032,USER_00049,2026-02-07 21:22:52.264853,家居用品,634.22,1,634.22,4.2,微信支付,东北
ORD20260416000006,USER_00072,2026-02-07 23:31:55.264853,美妆护肤,1186.89,4,4747.56,4.8,微信支付,华东
ORD20260416000382,USER_00067,2026-02-08 06:21:42.264853,服装鞋帽,417.13,3,1251.39,,支付宝,西南
ORD20260416000383,USER_00128,2026-02-08 16:59:36.264853,服装鞋帽,353.71,1,353.71,3.7,微信支付,华南
ORD20260416000336,USER_00187,2026-02-08 17:32:54.264853,服装鞋帽,377.49,1,377.49,5.0,银行卡,华东
ORD20260416000330,USER_00135,2026-02-08 17:57:56.264853,食品饮料,300.0,2,600.0,3.8,微信支付,东北
ORD20260416000331,USER_00195,2026-02-08 21:07:23.264853,电子产品,3707.76,1,3707.76,3.7,支付宝,西南
ORD20260416000119,USER_00041,2026-02-08 21:08:14.264853,服装鞋帽,170.69,3,512.07,3.6,银行卡,华南
ORD20260416000118,USER_00005,2026-02-08 21:24:33.264853,服装鞋帽,800.0,4,3200.0,4.4,微信支付,华南
ORD20260416000540,USER_00016,2026-02-09 00:40:53.264853,服装鞋帽,507.77,2,1015.54,4.4,信用卡,西北
ORD20260416000425,USER_00115,2026-02-09 10:25:49.264853,家居用品,517.63,3,1552.89,4.5,支付宝,华中
ORD20260416000085,USER_00014,2026-02-09 15:31:31.264853,服装鞋帽,495.27,1,495.27,,信用卡,华北
ORD20260416000528,USER_00010,2026-02-09 16:15:04.264853,电子产品,3581.56,2,7163.12,4.7,微信支付,西北
ORD20260416000028,USER_00161,2026-02-09 19:36:10.264853,美妆护肤,966.3,1,966.3,5.0,银行卡,华南
ORD20260416000237,USER_00038,2026-02-09 20:35:47.264853,电子产品,1963.62,4,7854.48,4.9,货到付款,华东
ORD20260416000141,USER_00103,2026-02-09 21:28:11.264853,电子产品,1984.01,3,5952.03,2.4,支付宝,西北
ORD20260416000302,USER_00113,2026-02-09 21:47:01.264853,美妆护肤,928.13,1,0.01,5.0,微信支付,华东
ORD20260416000152,USER_00096,2026-02-10 07:11:21.264853,食品饮料,238.01,2,476.02,3.6,微信支付,华北
ORD20260416000409,USER_00026,2026-02-10 10:22:18.264853,食品饮料,176.39,1,176.39,4.7,信用卡,华南
ORD20260416000353,USER_00192,2026-02-10 11:38:03.264853,美妆护肤,788.6,2,1577.2,3.8,支付宝,华东
ORD20260416000270,USER_00185,2026-02-10 15:22:44.264853,服装鞋帽,800.0,1,800.0,4.7,支付宝,华南
ORD20260416000524,USER_00100,2026-02-10 17:16:05.264853,服装鞋帽,800.0,3,2400.0,4.4,支付宝,西北
ORD20260416000348,USER_00021,2026-02-10 21:03:25.264853,服装鞋帽,220.34,1,220.34,4.7,支付宝,华东
ORD20260416000550,USER_00163,2026-02-10 21:42:19.264853,美妆护肤,1074.47,2,2148.94,4.1,支付宝,华南
ORD20260416000472,USER_00158,2026-02-10 21:55:20.264853,服装鞋帽,383.93,2,767.86,3.2,微信支付,西北
ORD20260416000263,USER_00168,2026-02-10 22:04:32.264853,服装鞋帽,800.0,1,800.0,3.7,微信支付,华东
ORD20260416000240,USER_00116,2026-02-11 12:37:44.264853,服装鞋帽,237.85,2,475.7,2.4,微信支付,西南
ORD20260416000442,USER_00086,2026-02-11 17:14:16.264853,电子产品,5000.0,2,10000.0,4.7,支付宝,华北
ORD20260416000447,USER_00015,2026-02-11 20:44:50.264853,食品饮料,261.26,3,783.78,5.0,信用卡,华南
ORD20260416000474,USER_00145,2026-02-11 21:48:11.264853,服装鞋帽,347.16,3,1041.48,4.5,银行卡,华东
ORD20260416000128,USER_00062,2026-02-11 21:55:39.264853,食品饮料,202.94,2,405.88,4.2,支付宝,华中
ORD20260416000293,USER_00131,2026-02-12 05:53:06.264853,电子产品,5000.0,2,10000.0,4.6,银行卡,华南
ORD20260416000277,USER_00144,2026-02-12 11:29:49.264853,电子产品,5000.0,2,10000.0,4.1,支付宝,华南
ORD20260416000551,USER_00124,2026-02-12 17:42:56.264853,电子产品,5000.0,3,15000.0,3.7,微信支付,西南
ORD20260416000125,USER_00033,2026-02-12 18:04:12.264853,服装鞋帽,362.89,1,362.89,3.2,微信支付,华南
ORD20260416000587,USER_00157,2026-02-13 04:04:50.264853,电子产品,3005.64,1,3005.64,4.0,微信支付,华中
ORD20260416000444,USER_00180,2026-02-13 06:31:43.264853,电子产品,3254.29,1,3254.29,4.3,支付宝,华东
ORD20260416000440,USER_00058,2026-02-13 14:10:54.264853,家居用品,880.82,2,1761.64,4.8,微信支付,华北
ORD20260416000216,USER_00081,2026-02-13 14:50:57.264853,家居用品,442.61,4,1770.44,4.5,支付宝,华北
ORD20260416000461,USER_00094,2026-02-13 15:49:09.264853,电子产品,4075.0,1,4075.0,5.0,信用卡,西北
ORD20260416000464,USER_00055,2026-02-13 16:30:15.264853,电子产品,2624.25,1,2624.25,3.9,支付宝,华南
ORD20260416000133,USER_00035,2026-02-13 19:42:44.264853,食品饮料,225.08,3,675.24,3.4,支付宝,华北
ORD20260416000547,USER_00152,2026-02-13 22:15:53.264853,家居用品,368.5,1,368.5,2.9,支付宝,华东
ORD20260416000404,USER_00137,2026-02-14 00:42:01.264853,服装鞋帽,329.38,1,329.38,5.0,货到付款,华南
ORD20260416000206,USER_00186,2026-02-14 01:05:08.264853,食品饮料,289.27,2,578.54,4.0,微信支付,华中
ORD20260416000571,USER_00130,2026-02-14 08:09:33.264853,电子产品,2349.96,5,11749.8,3.0,银行卡,华东
ORD20260416000009,USER_00103,2026-02-14 12:54:47.264853,食品饮料,179.89,3,539.67,4.3,银行卡,华南
ORD20260416000205,USER_00062,2026-02-14 17:02:58.264853,服装鞋帽,541.94,4,2167.76,3.6,信用卡,华南
ORD20260416000405,USER_00043,2026-02-14 17:18:30.264853,食品饮料,103.1,1,103.1,3.7,微信支付,华东
ORD20260416000144,USER_00015,2026-02-14 17:30:33.264853,电子产品,5000.0,3,15000.0,3.2,微信支付,东北
ORD20260416000143,USER_00137,2026-02-14 17:48:40.264853,服装鞋帽,438.64,4,1754.56,2.4,微信支付,西南
ORD20260416000008,USER_00021,2026-02-14 22:53:20.264853,电子产品,2254.29,4,9017.16,4.7,微信支付,西南
ORD20260416000107,USER_00088,2026-02-15 07:02:55.264853,电子产品,5000.0,1,5000.0,3.7,微信支付,西北
ORD20260416000106,USER_00009,2026-02-15 07:25:40.264853,服装鞋帽,344.06,2,688.12,4.6,微信支付,华北
ORD20260416000496,USER_00048,2026-02-15 12:08:51.264853,美妆护肤,983.12,1,983.12,4.9,,华东
ORD20260416000497,USER_00089,2026-02-15 15:41:25.264853,电子产品,5000.0,2,10000.0,3.8,微信支付,东北
ORD20260416000067,USER_00175,2026-02-15 16:16:22.264853,服装鞋帽,641.43,1,641.43,3.9,信用卡,华北
ORD20260416000066,USER_00008,2026-02-15 18:31:09.264853,家居用品,547.16,1,547.16,4.0,支付宝,西南
ORD20260416000180,USER_00092,2026-02-16 01:59:57.264853,家居用品,444.64,1,444.64,4.5,银行卡,华中
ORD20260416000570,USER_00046,2026-02-16 06:21:47.264853,美妆护肤,1500.0,2,3000.0,3.3,支付宝,华东
ORD20260416000420,USER_00020,2026-02-16 07:21:04.264853,电子产品,5000.0,1,5000.0,4.6,支付宝,华南
ORD20260416000091,USER_00040,2026-02-16 11:19:04.264853,食品饮料,121.32,2,242.64,3.5,银行卡,华南
ORD20260416000241,USER_00098,2026-02-16 13:53:59.264853,家居用品,559.22,2,1118.44,4.7,微信支付,华北
ORD20260416000596,USER_00177,2026-02-16 22:42:39.264853,食品饮料,118.66,1,118.66,3.5,支付宝,华北
ORD20260416000545,USER_00160,2026-02-17 01:06:34.264853,食品饮料,124.42,1,124.42,3.7,微信支付,华东
ORD20260416000159,USER_00013,2026-02-17 11:31:50.264853,服装鞋帽,739.21,1,739.21,3.7,银行卡,华南
ORD20260416000087,USER_00048,2026-02-17 11:48:28.264853,服装鞋帽,535.83,3,1607.49,5.0,支付宝,华南
ORD20260416000320,USER_00169,2026-02-17 15:06:30.264853,美妆护肤,454.37,1,454.37,3.1,银行卡,华东
ORD20260416000441,USER_00058,2026-02-17 17:58:21.264853,食品饮料,138.52,3,415.56,4.5,银行卡,华北
ORD20260416000146,USER_00042,2026-02-17 20:05:18.264853,电子产品,2683.7,2,5367.4,4.5,支付宝,华中
