订单ID,用户ID,商品ID,交易时间,商品类别,单价,数量,交易金额,用户评分,订单状态,支付方式,用户性别,年龄段,地区,交易日期,交易月份,交易星期,交易小时
ORD_000023,USER_0038,PROD_00288,2026-01-21 10:22:19.263733,家居,694.82,1,694.82,3.0,已完成,微信支付,男,26-35,华东,2026-01-21,2026-01,Wednesday,10
ORD_000024,USER_0130,PROD_00034,2026-01-21 11:20:54.263733,食品,70.83,1,70.83,5.0,已完成,银行卡,女,36-45,华南,2026-01-21,2026-01,Wednesday,11
ORD_000025,USER_0192,PROD_00095,2026-01-21 13:22:44.263733,母婴,390.65,2,781.3,5.0,已完成,微信支付,男,26-35,华南,2026-01-21,2026-01,Wednesday,13
ORD_000026,USER_0188,PROD_00072,2026-01-21 14:50:28.263733,家居,455.33,5,2276.65,5.0,已完成,支付宝,女,36-45,华南,2026-01-21,2026-01,Wednesday,14
ORD_000027,USER_0021,PROD_00039,2026-01-21 19:23:42.263733,服装,480.99,2,961.98,4.0,已完成,银行卡,男,26-35,华东,2026-01-21,2026-01,Wednesday,19
ORD_000028,USER_0161,PROD_00154,2026-01-21 21:13:44.263733,电子产品,2739.5112500000005,2,6233.206249999999,5.0,已完成,微信支付,男,18-25,华北,2026-01-21,2026-01,Wednesday,21
ORD_000029,USER_0058,PROD_00250,2026-01-21 22:19:58.263733,电子产品,2739.5112500000005,1,4469.06,3.0,已完成,支付宝,女,18-25,华东,2026-01-21,2026-01,Wednesday,22
ORD_000030,USER_0022,PROD_00162,2026-01-22 02:07:24.263733,服装,570.18,1,570.18,2.0,已完成,微信支付,女,26-35,华东,2026-01-22,2026-01,Thursday,2
ORD_000031,USER_0089,PROD_00118,2026-01-22 04:06:16.263733,服装,771.29,1,771.29,5.0,已完成,支付宝,女,36-45,华南,2026-01-22,2026-01,Thursday,4
ORD_000032,USER_0049,PROD_00259,2026-01-22 04:41:56.263733,运动,587.51,2,1175.02,4.0,已完成,支付宝,女,36-45,华东,2026-01-22,2026-01,Thursday,4
ORD_000033,USER_0059,PROD_00268,2026-01-22 05:45:30.263733,家居,1243.75,4,4975.0,5.0,已完成,支付宝,女,26-35,华北,2026-01-22,2026-01,Thursday,5
ORD_000034,USER_0170,PROD_00054,2026-01-22 08:55:11.263733,食品,70.36,2,140.72,4.0,已完成,微信支付,女,26-35,华南,2026-01-22,2026-01,Thursday,8
ORD_000035,USER_0188,PROD_00236,2026-01-22 09:08:09.263733,电子产品,2739.5112500000005,1,6233.206249999999,3.0,已完成,支付宝,男,26-35,华南,2026-01-22,2026-01,Thursday,9
ORD_000036,USER_0015,PROD_00222,2026-01-22 09:44:13.263733,运动,423.95,1,423.95,5.0,已完成,微信支付,女,26-35,华南,2026-01-22,2026-01,Thursday,9
ORD_000037,USER_0190,PROD_00251,2026-01-22 12:22:39.263733,美妆,368.1,2,736.2,4.0,已完成,微信支付,男,18-25,华东,2026-01-22,2026-01,Thursday,12
ORD_000038,USER_0190,PROD_00112,2026-01-22 12:53:36.263733,电子产品,2739.5112500000005,1,3152.09,3.0,已完成,银行卡,女,18-25,华东,2026-01-22,2026-01,Thursday,12
ORD_000039,USER_0175,PROD_00255,2026-01-22 23:15:37.263733,美妆,244.76,3,734.28,5.0,已完成,支付宝,女,18-25,西南,2026-01-22,2026-01,Thursday,23
ORD_000040,USER_0190,PROD_00207,2026-01-23 07:22:49.263733,家居,1031.67,3,3095.01,4.0,已完成,支付宝,女,26-35,华南,2026-01-23,2026-01,Friday,7
ORD_000041,USER_0051,PROD_00229,2026-01-23 18:21:38.263733,电子产品,2739.5112500000005,2,6233.206249999999,5.0,已完成,银行卡,女,18-25,华南,2026-01-23,2026-01,Friday,18
ORD_000042,USER_0108,PROD_00066,2026-01-23 18:25:48.263733,食品,140.99,1,140.99,4.0,已完成,支付宝,女,18-25,华东,2026-01-23,2026-01,Friday,18
ORD_000043,USER_0055,PROD_00075,2026-01-23 19:55:42.263733,食品,71.76,1,71.76,5.0,已完成,信用卡,女,36-45,华南,2026-01-23,2026-01,Friday,19
ORD_000044,USER_0064,PROD_00103,2026-01-23 20:45:22.263733,电子产品,2739.5112500000005,1,6233.206249999999,5.0,已完成,银行卡,男,26-35,华北,2026-01-23,2026-01,Friday,20
ORD_000045,USER_0131,PROD_00192,2026-01-23 21:35:33.263733,图书,144.76,1,144.76,5.0,已完成,微信支付,女,55+,华北,2026-01-23,2026-01,Friday,21
ORD_000046,USER_0051,PROD_00252,2026-01-24 01:01:47.263733,运动,1500.0,1,1500.0,3.0,已完成,货到付款,男,18-25,华北,2026-01-24,2026-01,Saturday,1
ORD_000047,USER_0135,PROD_00226,2026-01-24 01:18:00.263733,美妆,351.02,2,702.04,5.0,已完成,支付宝,女,26-35,华东,2026-01-24,2026-01,Saturday,1
ORD_000048,USER_0021,PROD_00294,2026-01-24 01:28:58.263733,食品,250.23,2,500.46,5.0,已完成,支付宝,男,26-35,华东,2026-01-24,2026-01,Saturday,1
ORD_000049,USER_0073,PROD_00098,2026-01-24 03:38:15.263733,食品,228.85,1,228.85,5.0,已完成,微信支付,男,18-25,华中,2026-01-24,2026-01,Saturday,3
ORD_000050,USER_0167,PROD_00286,2026-01-24 05:40:22.263733,美妆,454.01,1,454.01,4.0,已完成,支付宝,男,36-45,西北,2026-01-24,2026-01,Saturday,5
ORD_000051,USER_0018,PROD_00249,2026-01-24 09:48:49.263733,家居,2000.0,1,2000.0,5.0,已完成,信用卡,男,18-25,华东,2026-01-24,2026-01,Saturday,9
ORD_000052,USER_0132,PROD_00166,2026-01-24 11:12:22.263733,电子产品,2739.5112500000005,1,3470.21,5.0,已完成,支付宝,女,46-55,华南,2026-01-24,2026-01,Saturday,11
ORD_000053,USER_0089,PROD_00030,2026-01-24 12:18:48.263733,食品,129.41,3,388.23,3.0,已完成,微信支付,男,46-55,华东,2026-01-24,2026-01,Saturday,12
ORD_000054,USER_0060,PROD_00247,2026-01-24 15:05:27.263733,运动,139.26,1,139.26,4.0,已完成,微信支付,女,26-35,华东,2026-01-24,2026-01,Saturday,15
ORD_000055,USER_0014,PROD_00106,2026-01-24 17:09:56.263733,食品,190.17,1,190.17,5.0,已完成,微信支付,男,26-35,华南,2026-01-24,2026-01,Saturday,17
ORD_000056,USER_0009,PROD_00051,2026-01-24 18:22:28.263733,电子产品,2190.57,1,2190.57,2.0,已完成,支付宝,女,36-45,华东,2026-01-24,2026-01,Saturday,18
ORD_000057,USER_0090,PROD_00081,2026-01-24 20:04:18.263733,运动,599.85,3,1799.55,5.0,已完成,支付宝,女,26-35,华北,2026-01-24,2026-01,Saturday,20
ORD_000058,USER_0053,PROD_00133,2026-01-24 21:04:40.263733,服装,254.42,2,508.84,5.0,已完成,银行卡,女,36-45,华南,2026-01-24,2026-01,Saturday,21
ORD_000059,USER_0130,PROD_00285,2026-01-25 01:02:13.263733,服装,353.89,1,353.89,5.0,已完成,支付宝,女,18-25,华东,2026-01-25,2026-01,Sunday,1
ORD_000060,USER_0084,PROD_00138,2026-01-25 02:49:28.263733,电子产品,2739.5112500000005,2,6233.206249999999,4.0,已完成,银行卡,男,18-25,华东,2026-01-25,2026-01,Sunday,2
ORD_000061,USER_0092,PROD_00184,2026-01-25 03:04:15.263733,服装,427.37,2,854.74,3.0,已完成,微信支付,女,26-35,华中,2026-01-25,2026-01,Sunday,3
ORD_000062,USER_0111,PROD_00273,2026-01-25 03:36:27.263733,美妆,748.61,4,2994.44,5.0,已完成,银行卡,男,26-35,华东,2026-01-25,2026-01,Sunday,3
ORD_000063,USER_0188,PROD_00069,2026-01-25 05:13:32.263733,食品,291.85,1,291.85,4.0,已完成,微信支付,女,46-55,华北,2026-01-25,2026-01,Sunday,5
ORD_000064,USER_0199,PROD_00034,2026-01-25 05:52:31.263733,服装,353.43,3,1060.29,5.0,已完成,支付宝,女,18-25,华南,2026-01-25,2026-01,Sunday,5
ORD_000065,USER_0172,PROD_00262,2026-01-25 13:34:06.263733,图书,86.59,4,346.36,4.0,已退款,微信支付,男,36-45,华北,2026-01-25,2026-01,Sunday,13
ORD_000066,USER_0008,PROD_00053,2026-01-25 16:51:07.263733,图书,177.57,4,710.28,3.0,已完成,银行卡,女,18-25,华南,2026-01-25,2026-01,Sunday,16
ORD_000067,USER_0175,PROD_00205,2026-01-25 18:40:06.263733,图书,184.75,2,369.5,1.0,已完成,支付宝,女,26-35,华东,2026-01-25,2026-01,Sunday,18
ORD_000068,USER_0035,PROD_00126,2026-01-25 20:10:14.263733,服装,615.47,2,1230.94,4.0,已完成,信用卡,男,26-35,华东,2026-01-25,2026-01,Sunday,20
ORD_000069,USER_0081,PROD_00235,2026-01-25 21:13:18.263733,食品,96.29,1,96.29,5.0,已完成,微信支付,男,26-35,华东,2026-01-25,2026-01,Sunday,21
ORD_000070,USER_0164,PROD_00043,2026-01-25 21:54:29.263733,母婴,945.02,3,2835.06,4.0,已完成,支付宝,男,18-25,华南,2026-01-25,2026-01,Sunday,21
ORD_000071,USER_0050,PROD_00240,2026-01-25 23:26:35.263733,运动,834.45,2,1668.9,4.0,已完成,支付宝,女,26-35,华北,2026-01-25,2026-01,Sunday,23
ORD_000072,USER_0104,PROD_00111,2026-01-26 00:36:47.263733,电子产品,2739.5112500000005,2,6233.206249999999,4.0,已完成,信用卡,女,26-35,华东,2026-01-26,2026-01,Monday,0
ORD_000073,USER_0132,PROD_00249,2026-01-26 01:03:56.263733,电子产品,2739.5112500000005,1,3191.47,4.0,已完成,支付宝,男,26-35,华东,2026-01-26,2026-01,Monday,1
ORD_000074,USER_0002,PROD_00151,2026-01-26 06:16:23.263733,食品,67.36,2,134.72,4.0,已完成,银行卡,男,26-35,华南,2026-01-26,2026-01,Monday,6
ORD_000075,USER_0134,PROD_00183,2026-01-26 08:08:39.263733,图书,155.34,3,466.02,5.0,已完成,银行卡,女,36-45,华北,2026-01-26,2026-01,Monday,8
ORD_000076,USER_0054,PROD_00095,2026-01-26 12:25:50.263733,家居,282.44,1,282.44,4.0,已完成,支付宝,女,36-45,西北,2026-01-26,2026-01,Monday,12
ORD_000077,USER_0106,PROD_00008,2026-01-26 12:54:50.263733,食品,107.52,3,322.56,4.0,已完成,支付宝,男,26-35,华北,2026-01-26,2026-01,Monday,12
ORD_000078,USER_0004,PROD_00184,2026-01-26 14:29:57.263733,电子产品,2548.03,2,5096.06,3.0,已完成,微信支付,男,26-35,华南,2026-01-26,2026-01,Monday,14
ORD_000079,USER_0054,PROD_00281,2026-01-26 15:37:52.263733,美妆,313.7,3,941.1,5.0,已完成,支付宝,女,46-55,华北,2026-01-26,2026-01,Monday,15
ORD_000080,USER_0191,PROD_00195,2026-01-26 23:58:56.263733,运动,543.22,1,543.22,3.0,已完成,银行卡,男,26-35,西南,2026-01-26,2026-01,Monday,23
ORD_000081,USER_0146,PROD_00195,2026-01-27 01:56:52.263733,食品,284.89,1,284.89,2.0,已完成,微信支付,男,18-25,华中,2026-01-27,2026-01,Tuesday,1
ORD_000082,USER_0044,PROD_00155,2026-01-27 05:28:43.263733,运动,1190.72,4,4762.88,5.0,已完成,微信支付,女,26-35,华南,2026-01-27,2026-01,Tuesday,5
ORD_000083,USER_0162,PROD_00093,2026-01-27 05:51:57.263733,母婴,674.53,1,674.53,4.0,已完成,银行卡,女,36-45,华东,2026-01-27,2026-01,Tuesday,5
ORD_000084,USER_0190,PROD_00160,2026-01-27 07:56:37.263733,服装,749.12,3,2247.36,4.0,已完成,支付宝,男,18-25,华东,2026-01-27,2026-01,Tuesday,7
ORD_000085,USER_0014,PROD_00061,2026-01-27 10:58:51.263733,食品,91.13,1,91.13,4.0,已完成,微信支付,男,55+,华南,2026-01-27,2026-01,Tuesday,10
ORD_000086,USER_0095,PROD_00122,2026-01-27 11:39:25.263733,服装,233.45,2,466.9,5.0,已完成,支付宝,男,18-25,华中,2026-01-27,2026-01,Tuesday,11
ORD_000087,USER_0048,PROD_00051,2026-01-27 13:20:49.263733,运动,1216.62,1,1216.62,3.0,已完成,支付宝,男,36-45,华南,2026-01-27,2026-01,Tuesday,13
ORD_000088,USER_0015,PROD_00277,2026-01-27 17:22:53.263733,家居,1356.23,2,2712.46,5.0,已完成,微信支付,女,26-35,华东,2026-01-27,2026-01,Tuesday,17
ORD_000089,USER_0200,PROD_00005,2026-01-27 18:11:29.263733,家居,806.35,1,806.35,5.0,已完成,银行卡,男,26-35,华北,2026-01-27,2026-01,Tuesday,18
ORD_000090,USER_0190,PROD_00092,2026-01-27 23:59:57.263733,运动,447.78,1,447.78,4.0,已完成,支付宝,女,46-55,华中,2026-01-27,2026-01,Tuesday,23
ORD_000091,USER_0040,PROD_00170,2026-01-28 00:59:20.263733,食品,300.0,1,300.0,4.0,已完成,微信支付,女,26-35,华东,2026-01-28,2026-01,Wednesday,0
ORD_000092,USER_0082,PROD_00022,2026-01-28 01:46:18.263733,图书,46.55,1,46.55,4.0,已完成,微信支付,男,26-35,华北,2026-01-28,2026-01,Wednesday,1
ORD_000093,USER_0111,PROD_00001,2026-01-28 03:21:29.263733,家居,752.52,5,3762.6,5.0,已完成,支付宝,男,18-25,华南,2026-01-28,2026-01,Wednesday,3
ORD_000094,USER_0053,PROD_00133,2026-01-28 05:21:48.263733,电子产品,2739.5112500000005,4,6233.206249999999,4.0,已完成,支付宝,女,18-25,西南,2026-01-28,2026-01,Wednesday,5
ORD_000095,USER_0024,PROD_00233,2026-01-28 05:58:35.263733,美妆,1000.0,1,1000.0,4.0,已完成,信用卡,女,18-25,华中,2026-01-28,2026-01,Wednesday,5
ORD_000096,USER_0154,PROD_00012,2026-01-28 12:09:09.263733,运动,956.79,2,1913.58,4.0,已完成,微信支付,女,36-45,华南,2026-01-28,2026-01,Wednesday,12
ORD_000097,USER_0188,PROD_00046,2026-01-28 16:52:07.263733,服装,540.36,1,540.36,5.0,已完成,微信支付,男,18-25,华北,2026-01-28,2026-01,Wednesday,16
ORD_000098,USER_0124,PROD_00034,2026-01-29 02:28:26.263733,运动,594.27,2,1188.54,4.0,已完成,微信支付,女,18-25,西南,2026-01-29,2026-01,Thursday,2
ORD_000099,USER_0041,PROD_00078,2026-01-29 04:30:29.263733,图书,146.16,3,438.48,5.0,已完成,支付宝,女,26-35,华南,2026-01-29,2026-01,Thursday,4
ORD_000100,USER_0157,PROD_00218,2026-01-29 06:43:43.263733,服装,447.98,4,1791.92,4.0,已完成,微信支付,女,36-45,华南,2026-01-29,2026-01,Thursday,6
ORD_000101,USER_0015,PROD_00073,2026-01-29 10:46:26.263733,母婴,345.72,1,345.72,2.0,已完成,微信支付,男,36-45,华中,2026-01-29,2026-01,Thursday,10
ORD_000102,USER_0045,PROD_00282,2026-01-29 13:18:50.263733,电子产品,2739.5112500000005,3,6233.206249999999,3.0,已完成,微信支付,女,18-25,华东,2026-01-29,2026-01,Thursday,13
ORD_000103,USER_0065,PROD_00249,2026-01-29 13:19:01.263733,服装,690.41,1,690.41,4.0,已完成,支付宝,女,18-25,华南,2026-01-29,2026-01,Thursday,13
ORD_000104,USER_0089,PROD_00047,2026-01-29 13:33:55.263733,电子产品,2739.5112500000005,5,6233.206249999999,3.0,已完成,支付宝,男,46-55,西南,2026-01-29,2026-01,Thursday,13
ORD_000105,USER_0071,PROD_00121,2026-01-29 14:23:47.263733,图书,111.85,1,111.85,1.0,已完成,支付宝,女,26-35,华北,2026-01-29,2026-01,Thursday,14
ORD_000106,USER_0009,PROD_00214,2026-01-29 14:52:47.263733,美妆,325.48,2,650.96,5.0,已完成,信用卡,男,46-55,华南,2026-01-29,2026-01,Thursday,14
ORD_000107,USER_0088,PROD_00239,2026-01-29 21:31:25.263733,电子产品,1339.54,2,2679.08,5.0,已完成,微信支付,男,46-55,华东,2026-01-29,2026-01,Thursday,21
ORD_000108,USER_0129,PROD_00056,2026-01-30 02:59:01.263733,食品,167.66,2,335.32,5.0,已完成,微信支付,男,36-45,华南,2026-01-30,2026-01,Friday,2
ORD_000109,USER_0136,PROD_00107,2026-01-30 03:48:33.263733,家居,1743.44,1,1743.44,3.0,已完成,支付宝,女,18-25,华东,2026-01-30,2026-01,Friday,3
ORD_000110,USER_0063,PROD_00048,2026-01-30 04:27:14.263733,电子产品,2739.5112500000005,4,6233.206249999999,3.0,已完成,支付宝,男,36-45,华东,2026-01-30,2026-01,Friday,4
ORD_000111,USER_0139,PROD_00061,2026-01-30 09:27:24.263733,图书,165.42,1,165.42,2.0,已完成,微信支付,女,36-45,华中,2026-01-30,2026-01,Friday,9
ORD_000112,USER_0081,PROD_00026,2026-01-30 09:48:34.263733,运动,761.22,2,1522.44,5.0,已完成,微信支付,女,26-35,华东,2026-01-30,2026-01,Friday,9
ORD_000113,USER_0136,PROD_00292,2026-01-30 10:36:41.263733,食品,266.98,1,266.98,5.0,已完成,微信支付,男,26-35,华南,2026-01-30,2026-01,Friday,10
ORD_000114,USER_0163,PROD_00257,2026-01-30 11:18:31.263733,母婴,1214.34,1,1214.34,4.0,已完成,支付宝,女,26-35,华南,2026-01-30,2026-01,Friday,11
ORD_000115,USER_0163,PROD_00008,2026-01-30 11:39:23.263733,食品,125.48,2,250.96,3.0,已完成,微信支付,女,18-25,东北,2026-01-30,2026-01,Friday,11
ORD_000116,USER_0033,PROD_00113,2026-01-30 13:22:32.263733,母婴,1072.96,1,1072.96,4.0,已完成,支付宝,女,26-35,华南,2026-01-30,2026-01,Friday,13
ORD_000117,USER_0123,PROD_00253,2026-01-30 13:47:18.263733,美妆,401.58,1,401.58,4.0,已完成,支付宝,女,26-35,华东,2026-01-30,2026-01,Friday,13
ORD_000118,USER_0005,PROD_00180,2026-01-30 15:26:21.263733,家居,1329.63,1,1329.63,4.0,已完成,微信支付,女,26-35,华东,2026-01-30,2026-01,Friday,15
ORD_000119,USER_0041,PROD_00207,2026-01-30 19:04:54.263733,电子产品,2219.67,1,2219.67,5.0,已完成,支付宝,男,26-35,华北,2026-01-30,2026-01,Friday,19
ORD_000120,USER_0028,PROD_00127,2026-01-30 19:29:14.263733,图书,59.7,3,179.1,5.0,已完成,支付宝,女,26-35,华北,2026-01-30,2026-01,Friday,19
ORD_000121,USER_0135,PROD_00056,2026-01-30 21:49:56.263733,食品,263.1,3,789.3,3.0,已完成,微信支付,男,36-45,华南,2026-01-30,2026-01,Friday,21
ORD_000122,USER_0072,PROD_00214,2026-01-30 23:16:46.263733,电子产品,2739.5112500000005,1,6233.206249999999,2.0,已完成,微信支付,女,46-55,华南,2026-01-30,2026-01,Friday,23
ORD_000123,USER_0012,PROD_00014,2026-01-31 04:46:09.263733,电子产品,2739.5112500000005,1,5834.13,5.0,已完成,银行卡,男,18-25,华东,2026-01-31,2026-01,Saturday,4
ORD_000124,USER_0162,PROD_00028,2026-01-31 10:22:52.263733,家居,1060.64,1,1060.64,3.0,已完成,微信支付,女,26-35,华南,2026-01-31,2026-01,Saturday,10
ORD_000125,USER_0033,PROD_00078,2026-01-31 10:54:46.263733,食品,46.89,1,46.89,2.0,已完成,支付宝,女,18-25,华南,2026-01-31,2026-01,Saturday,10
ORD_000126,USER_0048,PROD_00216,2026-01-31 19:17:25.263733,美妆,505.71,2,6233.206249999999,5.0,已完成,支付宝,女,36-45,华东,2026-01-31,2026-01,Saturday,19
ORD_000127,USER_0151,PROD_00154,2026-01-31 21:37:11.263733,图书,138.04,2,276.08,2.0,已完成,货到付款,男,36-45,华东,2026-01-31,2026-01,Saturday,21
ORD_000128,USER_0062,PROD_00014,2026-01-31 23:32:37.263733,电子产品,2739.5112500000005,1,3252.92,4.0,已完成,微信支付,男,46-55,华东,2026-01-31,2026-01,Saturday,23
ORD_000129,USER_0037,PROD_00187,2026-02-01 00:43:14.263733,美妆,367.66,1,367.66,5.0,已完成,微信支付,女,26-35,华东,2026-02-01,2026-02,Sunday,0
ORD_000130,USER_0099,PROD_00007,2026-02-01 03:13:39.263733,电子产品,2739.5112500000005,1,6233.206249999999,4.0,已完成,支付宝,女,46-55,华北,2026-02-01,2026-02,Sunday,3
ORD_000131,USER_0172,PROD_00003,2026-02-01 03:29:15.263733,运动,766.54,3,2299.62,4.0,已完成,微信支付,男,18-25,华东,2026-02-01,2026-02,Sunday,3
ORD_000132,USER_0104,PROD_00111,2026-02-01 05:24:27.263733,运动,991.71,5,4958.55,5.0,已完成,支付宝,女,36-45,华东,2026-02-01,2026-02,Sunday,5
ORD_000133,USER_0035,PROD_00238,2026-02-01 07:29:46.263733,家居,1494.74,1,1494.74,4.0,已完成,微信支付,女,18-25,华东,2026-02-01,2026-02,Sunday,7
ORD_000134,USER_0193,PROD_00239,2026-02-01 08:20:27.263733,美妆,318.2,1,318.2,5.0,已完成,信用卡,男,46-55,西北,2026-02-01,2026-02,Sunday,8
ORD_000135,USER_0101,PROD_00274,2026-02-01 22:21:50.263733,服装,468.11,3,1404.33,5.0,已完成,信用卡,女,26-35,西南,2026-02-01,2026-02,Sunday,22
ORD_000136,USER_0175,PROD_00294,2026-02-01 23:44:20.263733,食品,299.84,4,1199.36,1.0,已完成,微信支付,女,36-45,华东,2026-02-01,2026-02,Sunday,23
ORD_000137,USER_0131,PROD_00227,2026-02-02 00:52:38.263733,运动,1500.0,1,1500.0,5.0,已完成,微信支付,女,36-45,华南,2026-02-02,2026-02,Monday,0
ORD_000138,USER_0001,PROD_00015,2026-02-02 08:20:02.263733,食品,158.13,1,158.13,4.0,已完成,信用卡,男,18-25,华东,2026-02-02,2026-02,Monday,8
ORD_000139,USER_0005,PROD_00192,2026-02-02 08:32:59.263733,服装,377.33,1,377.33,5.0,已完成,微信支付,女,18-25,华南,2026-02-02,2026-02,Monday,8
ORD_000140,USER_0142,PROD_00119,2026-02-02 11:07:21.263733,食品,177.32,2,354.64,4.0,已完成,支付宝,女,46-55,华东,2026-02-02,2026-02,Monday,11
ORD_000141,USER_0103,PROD_00028,2026-02-02 15:55:58.263733,运动,892.34,1,892.34,5.0,已退款,微信支付,男,26-35,华北,2026-02-02,2026-02,Monday,15
ORD_000142,USER_0027,PROD_00202,2026-02-02 16:53:05.263733,服装,800.0,1,800.0,5.0,已完成,支付宝,女,18-25,华南,2026-02-02,2026-02,Monday,16
ORD_000143,USER_0137,PROD_00039,2026-02-02 17:10:48.263733,电子产品,2582.41,2,5164.82,3.0,已完成,微信支付,女,26-35,西南,2026-02-02,2026-02,Monday,17
ORD_000144,USER_0015,PROD_00273,2026-02-02 18:01:59.263733,美妆,456.44,1,456.44,4.0,已完成,微信支付,女,26-35,华东,2026-02-02,2026-02,Monday,18
ORD_000145,USER_0090,PROD_00231,2026-02-02 21:47:58.263733,运动,451.9,3,1355.7,5.0,已完成,微信支付,男,18-25,华中,2026-02-02,2026-02,Monday,21
ORD_000146,USER_0042,PROD_00086,2026-02-03 05:56:07.263733,电子产品,2562.21,1,2562.21,5.0,已完成,支付宝,女,26-35,华中,2026-02-03,2026-02,Tuesday,5
ORD_000147,USER_0124,PROD_00126,2026-02-03 07:11:55.263733,服装,513.05,1,513.05,2.0,已完成,支付宝,女,18-25,华东,2026-02-03,2026-02,Tuesday,7
ORD_000148,USER_0179,PROD_00300,2026-02-03 08:46:26.263733,电子产品,2739.5112500000005,2,6233.206249999999,5.0,已完成,微信支付,男,26-35,华南,2026-02-03,2026-02,Tuesday,8
ORD_000149,USER_0063,PROD_00025,2026-02-03 09:46:36.263733,服装,307.17,1,307.17,4.0,已完成,银行卡,男,46-55,华东,2026-02-03,2026-02,Tuesday,9
