order_id,user_id,order_time,category,amount,quantity,total_amount,rating,payment_method,region
O000148,U0127,2026-01-19 21:33:27.969896,图书,22.56,1,22.56,4,微信支付,华东
O000054,U0116,2026-01-20 00:21:56.969896,服装,198.62,2,397.24,4,微信支付,华南
O000555,U0078,2026-01-20 06:58:12.969896,母婴,401.88,1,401.88,5,支付宝,华中
O000303,U0066,2026-01-20 16:31:36.969896,母婴,169.27,4,677.08,2,支付宝,华中
O000178,U0072,2026-01-20 19:10:00.969896,图书,119.88,2,239.76,5,支付宝,华东
O000350,U0034,2026-01-20 22:32:16.969896,数码配件,157.83,2,315.66,5,银行卡,华南
O000545,U0073,2026-01-20 23:19:54.969896,服装,803.12,1,803.12,3,微信支付,华中
O000214,U0070,2026-01-21 00:34:42.969896,美妆,139.72,2,279.44,5,微信支付,华东
O000353,U0005,2026-01-21 18:05:33.969896,食品,63.43,1,63.43,5,微信支付,华北
O000235,U0054,2026-01-21 19:08:26.969896,家居,2025.03,2,4050.06,5,微信支付,西南
O000029,U0118,2026-01-21 21:16:06.969896,食品,21.82,1,21.82,5,微信支付,华东
O000156,U0122,2026-01-22 01:11:11.969896,母婴,112.71,1,112.71,5,支付宝,华南
O000524,U0144,2026-01-22 01:39:41.969896,服装,545.38,3,1636.14,3,微信支付,华北
O000050,U0141,2026-01-22 11:23:48.969896,食品,46.85,1,46.85,5,微信支付,华东
O000325,U0102,2026-01-22 11:43:14.969896,电子产品,6414.61,1,6414.61,5,支付宝,华南
O000026,U0081,2026-01-22 18:35:40.969896,图书,138.07,1,138.07,4,信用卡,华东
O000116,U0106,2026-01-22 21:58:51.969896,家居,1038.67,1,1038.67,5,支付宝,华北
O000100,U0142,2026-01-23 02:26:35.969896,食品,270.07,1,270.07,5,支付宝,华东
O000159,U0074,2026-01-23 04:24:45.969896,家居,2634.28,2,5268.56,5,支付宝,东北
O000394,U0013,2026-01-23 08:19:04.969896,服装,557.27,1,557.27,3,支付宝,华北
O000121,U0103,2026-01-23 18:42:44.969896,运动户外,1881.61,2,3763.22,3,微信支付,西南
O000009,U0109,2026-01-23 21:50:44.969896,运动户外,1129.68,2,2259.36,5,信用卡,东北
O000466,U0133,2026-01-24 19:14:18.969896,服装,726.14,1,726.14,5,微信支付,华北
O000218,U0135,2026-01-24 19:50:41.969896,家电,449.46,3,1348.38,5,微信支付,西南
O000239,U0009,2026-01-25 02:28:41.969896,家居,1953.45,1,1953.45,5,微信支付,华中
O000276,U0069,2026-01-25 03:03:17.969896,电子产品,771.2,1,771.2,4,支付宝,东北
O000076,U0068,2026-01-25 07:35:09.969896,母婴,399.72,3,1199.16,5,支付宝,华北
O000474,U0036,2026-01-25 09:23:10.969896,电子产品,6207.56,2,12415.12,4,信用卡,西北
O000409,U0104,2026-01-25 20:22:41.969896,图书,27.49,4,109.96,4,微信支付,华南
O000039,U0088,2026-01-26 08:00:50.969896,服装,897.44,1,897.44,5,微信支付,华北
O000014,U0021,2026-01-26 15:04:22.969896,数码配件,192.06,2,384.12,5,支付宝,华东
O000554,U0128,2026-01-26 15:33:21.969896,数码配件,406.16,1,406.16,5,银行卡,华北
O000186,U0030,2026-01-27 20:07:13.969896,食品,246.59,1,246.59,4,微信支付,华北
O000448,U0005,2026-01-27 22:44:52.969896,运动户外,108.21,1,108.21,4,支付宝,华南
O000110,U0033,2026-01-28 05:27:40.969896,电子产品,3737.45,1,3737.45,4,微信支付,华北
O000267,U0062,2026-01-28 12:14:24.969896,食品,89.51,3,268.53,2,支付宝,华南
O000592,U0107,2026-01-28 15:05:43.969896,家电,597.14,1,597.14,5,银行卡,华东
O000443,U0037,2026-01-28 16:04:15.969896,运动户外,790.04,1,790.04,3,银行卡,西南
O000090,U0077,2026-01-28 18:49:33.969896,母婴,396.04,1,396.04,5,微信支付,华东
O000215,U0031,2026-01-28 20:32:15.969896,家居,1046.74,1,1046.74,4,支付宝,华东
O000370,U0081,2026-01-29 01:27:53.969896,图书,114.47,1,114.47,5,银行卡,华东
O000087,U0145,2026-01-29 01:40:44.969896,数码配件,200.7,1,200.7,5,微信支付,华南
O000521,U0094,2026-01-29 15:50:04.969896,图书,55.2,1,55.2,3,微信支付,华北
O000296,U0008,2026-01-29 18:13:40.969896,电子产品,3945.85,4,15783.4,5,银行卡,华南
O000508,U0140,2026-01-29 19:55:12.969896,美妆,117.24,2,234.48,5,微信支付,华南
O000259,U0081,2026-01-29 20:24:19.969896,美妆,63.43,2,126.86,5,银行卡,东北
O000410,U0104,2026-01-29 22:26:32.969896,电子产品,4853.51,2,9707.02,4,微信支付,华南
O000176,U0067,2026-01-29 23:53:27.969896,图书,133.71,2,267.42,5,信用卡,华南
O000318,U0024,2026-01-30 07:18:45.969896,美妆,615.96,1,615.96,3,信用卡,华南
O000361,U0019,2026-01-30 14:19:55.969896,服装,668.59,2,1337.18,5,微信支付,西北
O000586,U0132,2026-01-30 14:30:21.969896,食品,107.23,2,214.46,4,银行卡,东北
O000123,U0103,2026-01-30 17:11:22.969896,数码配件,339.29,3,1017.87,5,支付宝,西南
O000285,U0129,2026-01-30 19:50:19.969896,家电,2309.66,1,2309.66,4,微信支付,华中
O000375,U0144,2026-01-30 20:38:06.969896,数码配件,430.73,2,861.46,4,微信支付,华东
O000255,U0090,2026-01-31 03:52:26.969896,图书,83.16,1,83.16,4,银行卡,华北
O000256,U0027,2026-01-31 07:10:20.969896,食品,100.28,1,100.28,5,微信支付,华东
O000204,U0091,2026-02-01 02:22:00.969896,美妆,533.97,1,533.97,5,微信支付,东北
O000177,U0117,2026-02-01 05:59:17.969896,运动户外,1553.0,2,3106.0,5,银行卡,西北
O000368,U0059,2026-02-01 08:41:46.969896,图书,74.93,3,224.79,3,支付宝,西南
O000588,U0077,2026-02-01 10:39:19.969896,家电,1489.1,1,1489.1,4,信用卡,华中
O000275,U0071,2026-02-01 10:40:15.969896,图书,31.59,2,63.18,5,银行卡,华中
O000558,U0119,2026-02-01 14:16:21.969896,家居,1933.93,2,3867.86,4,支付宝,华东
O000386,U0080,2026-02-01 16:24:25.969896,运动户外,1054.23,2,2108.46,5,信用卡,华东
O000491,U0092,2026-02-02 00:57:49.969896,服装,302.06,2,604.12,5,银行卡,华东
O000511,U0043,2026-02-02 08:27:51.969896,母婴,183.78,2,367.56,3,微信支付,华南
O000380,U0058,2026-02-02 12:26:15.969896,服装,953.0,1,953.0,5,微信支付,华东
O000501,U0049,2026-02-02 17:55:30.969896,美妆,547.98,2,1095.96,5,微信支付,西南
O000011,U0098,2026-02-03 04:42:27.969896,服装,419.24,1,419.24,5,支付宝,华北
O000493,U0035,2026-02-03 12:03:52.969896,电子产品,5857.45,2,11714.9,5,微信支付,西南
O000575,U0094,2026-02-03 17:49:55.969896,图书,147.55,2,295.1,5,微信支付,华东
O000324,U0102,2026-02-03 19:28:21.969896,数码配件,259.16,1,259.16,2,银行卡,华中
O000317,U0009,2026-02-03 20:58:09.969896,家电,3156.73,2,6313.46,4,微信支付,华东
O000517,U0061,2026-02-04 06:07:26.969896,运动户外,1955.85,1,1955.85,3,支付宝,华中
O000130,U0138,2026-02-04 07:53:16.969896,家居,2412.16,2,4824.32,4,微信支付,华中
O000262,U0049,2026-02-04 14:51:14.969896,数码配件,340.42,1,340.42,3,微信支付,华东
O000195,U0028,2026-02-04 15:19:32.969896,图书,40.9,1,40.9,5,支付宝,华南
O000326,U0032,2026-02-05 01:43:47.969896,母婴,89.87,2,179.74,4,信用卡,东北
O000437,U0041,2026-02-05 02:29:04.969896,运动户外,771.65,1,771.65,5,银行卡,东北
O000094,U0018,2026-02-05 02:33:38.969896,家居,2289.9,1,2289.9,5,支付宝,华东
O000391,U0088,2026-02-05 03:31:51.969896,食品,227.84,1,227.84,2,信用卡,华中
O000019,U0094,2026-02-05 05:07:11.969896,食品,76.35,1,76.35,3,信用卡,西南
O000297,U0076,2026-02-05 07:51:55.969896,运动户外,1401.22,2,2802.44,5,支付宝,东北
O000519,U0116,2026-02-05 08:20:53.969896,运动户外,1211.75,1,1211.75,5,微信支付,华东
O000534,U0142,2026-02-05 09:12:08.969896,家电,692.33,1,692.33,4,支付宝,西南
O000454,U0034,2026-02-05 21:48:03.969896,家电,4265.89,2,8531.78,4,银行卡,华北
O000231,U0058,2026-02-06 08:35:14.969896,数码配件,98.49,1,98.49,5,微信支付,华南
O000445,U0080,2026-02-06 15:36:48.969896,数码配件,311.72,2,623.44,4,微信支付,华南
O000471,U0096,2026-02-06 19:09:21.969896,家居,2785.96,1,2785.96,4,支付宝,西南
O000161,U0039,2026-02-06 21:44:53.969896,家居,340.12,1,340.12,5,支付宝,华南
O000564,U0013,2026-02-07 14:35:23.969896,美妆,98.06,1,98.06,5,支付宝,华南
O000283,U0122,2026-02-07 15:55:26.969896,图书,71.83,1,71.83,4,支付宝,华东
O000188,U0148,2026-02-07 23:24:20.969896,图书,132.08,1,132.08,5,支付宝,华南
O000536,U0017,2026-02-08 09:36:44.969896,美妆,153.48,2,306.96,5,支付宝,华东
O000470,U0107,2026-02-08 10:27:44.969896,电子产品,4738.14,1,4738.14,5,支付宝,华南
O000587,U0082,2026-02-08 14:37:50.969896,食品,34.68,1,34.68,3,支付宝,华北
O000028,U0055,2026-02-08 15:35:24.969896,母婴,335.09,2,670.18,4,支付宝,华东
O000133,U0105,2026-02-09 02:56:57.969896,运动户外,1051.31,3,3153.93,4,信用卡,华北
O000066,U0026,2026-02-09 04:32:18.969896,电子产品,7928.79,2,15857.58,5,支付宝,东北
O000052,U0052,2026-02-09 15:50:45.969896,美妆,427.55,1,427.55,4,微信支付,华东
O000261,U0139,2026-02-09 18:09:29.969896,母婴,209.04,1,209.04,4,银行卡,华南
O000268,U0004,2026-02-09 19:34:42.969896,数码配件,128.8,1,128.8,3,支付宝,西南
O000599,U0108,2026-02-09 23:36:29.969896,食品,46.54,1,46.54,5,微信支付,华北
O000287,U0004,2026-02-10 16:01:28.969896,食品,26.76,1,26.76,5,支付宝,华东
O000162,U0055,2026-02-11 07:01:29.969896,服装,733.09,1,733.09,4,微信支付,东北
O000390,U0056,2026-02-11 08:42:05.969896,图书,34.88,1,34.88,4,支付宝,华南
O000271,U0131,2026-02-11 09:45:07.969896,美妆,388.21,4,1552.84,3,支付宝,华中
O000557,U0041,2026-02-11 09:48:56.969896,母婴,458.7,2,917.4,5,银行卡,华北
O000192,U0089,2026-02-12 05:40:36.969896,数码配件,402.76,3,1208.28,5,微信支付,西南
O000064,U0111,2026-02-12 07:09:08.969896,运动户外,1643.78,2,3287.56,4,微信支付,西南
O000408,U0081,2026-02-12 13:03:41.969896,家电,3857.13,1,3857.13,5,支付宝,华东
O000397,U0030,2026-02-12 20:13:19.969896,运动户外,668.12,2,1336.24,5,银行卡,西南
O000196,U0118,2026-02-12 22:35:51.969896,食品,188.91,1,188.91,5,微信支付,华北
O000367,U0142,2026-02-13 08:37:31.969896,家居,1435.04,1,1435.04,5,信用卡,华东
O000541,U0047,2026-02-13 10:29:36.969896,食品,130.57,2,261.14,5,微信支付,华东
O000412,U0028,2026-02-13 13:37:29.969896,家居,1245.9,1,1245.9,3,支付宝,西北
O000198,U0124,2026-02-13 13:45:21.969896,母婴,334.68,4,1338.72,5,微信支付,华东
O000158,U0062,2026-02-13 19:00:20.969896,美妆,531.59,1,531.59,5,支付宝,东北
O000245,U0146,2026-02-13 20:42:44.969896,美妆,799.55,1,799.55,4,银行卡,西南
O000139,U0120,2026-02-13 23:57:55.969896,母婴,381.88,1,381.88,5,支付宝,华东
O000339,U0056,2026-02-14 00:46:52.969896,母婴,165.44,1,165.44,5,微信支付,西北
O000598,U0049,2026-02-14 03:36:21.969896,电子产品,3210.53,1,3210.53,5,微信支付,华中
O000305,U0041,2026-02-14 04:45:58.969896,服装,661.71,4,2646.84,4,银行卡,华南
O000457,U0094,2026-02-14 14:24:56.969896,家居,2974.85,1,2974.85,5,支付宝,华东
O000424,U0018,2026-02-14 15:10:21.969896,母婴,389.04,2,778.08,5,银行卡,华北
O000208,U0122,2026-02-14 16:48:45.969896,母婴,396.91,2,793.82,5,支付宝,华东
O000155,U0110,2026-02-14 21:58:46.969896,数码配件,224.1,1,224.1,3,微信支付,华南
O000355,U0017,2026-02-15 05:21:58.969896,母婴,492.85,1,492.85,5,银行卡,华南
O000467,U0042,2026-02-15 10:52:31.969896,美妆,86.27,1,86.27,5,银行卡,东北
O000475,U0036,2026-02-15 14:35:19.969896,母婴,309.71,1,309.71,4,微信支付,华南
O000407,U0112,2026-02-15 19:01:10.969896,电子产品,3391.34,1,3391.34,4,微信支付,华北
O000258,U0141,2026-02-15 19:23:27.969896,电子产品,4754.84,1,4754.84,5,银行卡,华北
O000585,U0122,2026-02-15 21:36:26.969896,数码配件,450.74,1,450.74,5,银行卡,华东
O000335,U0035,2026-02-16 05:41:34.969896,图书,55.35,2,110.7,5,支付宝,华北
O000272,U0121,2026-02-16 12:15:20.969896,家居,682.71,1,682.71,4,银行卡,华南
O000018,U0098,2026-02-16 15:19:45.969896,美妆,272.05,1,272.05,5,微信支付,华中
