order_id,user_id,order_date,category,amount,quantity,rating,payment_method,region,total_amount
ORD000048,U0047,2024-01-09,图书文具,63.49,5,4,信用卡,华南,317.45
ORD000049,U0094,2024-01-09,运动户外,784.01,1,4,微信支付,华南,784.01
ORD000050,U0144,2024-01-10,运动户外,809.35,1,3,支付宝,西北,809.35
ORD000051,U0085,2024-01-10,图书文具,125.22,1,5,微信支付,华中,125.22
ORD000052,U0039,2024-01-10,运动户外,1095.63,3,4,银行卡,华北,3286.8900000000003
ORD000053,U0100,2024-01-10,食品饮料,400.89,3,2,支付宝,华中,1202.67
ORD000054,U0033,2024-01-10,家居用品,1061.17,3,4,信用卡,华南,3183.51
ORD000055,U0101,2024-01-10,图书文具,145.79,1,3,支付宝,华东,145.79
ORD000056,U0023,2024-01-10,家居用品,1882.43,3,2,微信支付,华南,5647.29
ORD000057,U0010,2024-01-11,母婴用品,396.39,4,5,微信支付,华中,1585.56
ORD000058,U0069,2024-01-11,电子产品,6708.86,2,4,银行卡,华北,13417.72
ORD000059,U0100,2024-01-11,食品饮料,295.79,4,5,微信支付,东北,1183.16
ORD000060,U0034,2024-01-11,美妆护肤,476.36,3,3,信用卡,西北,1429.08
ORD000061,U0138,2024-01-11,食品饮料,358.46,2,5,银行卡,西北,716.92
ORD000062,U0147,2024-01-11,图书文具,163.02,2,2,微信支付,西北,326.04
ORD000063,U0096,2024-01-12,美妆护肤,824.96,1,4,银行卡,东北,824.96
ORD000064,U0001,2024-01-12,电子产品,3900.59,1,5,银行卡,西北,3900.59
ORD000065,U0069,2024-01-12,图书文具,154.13,2,5,支付宝,华北,308.26
ORD000066,U0004,2024-01-12,服装鞋帽,1537.75,1,4,微信支付,东北,1537.75
ORD000067,U0016,2024-01-12,家居用品,326.88,3,3,信用卡,西北,980.64
ORD000068,U0024,2024-01-12,电子产品,2741.47,5,5,支付宝,东北,13707.349999999999
ORD000069,U0080,2024-01-13,家居用品,245.0,3,4,银行卡,华中,735.0
ORD000070,U0002,2024-01-13,运动户外,1895.45,1,5,货到付款,华北,1895.45
ORD000071,U0128,2024-01-13,服装鞋帽,566.43,1,5,支付宝,西南,566.43
ORD000072,U0084,2024-01-13,服装鞋帽,1797.94,1,1,微信支付,华东,1797.94
ORD000073,U0140,2024-01-13,电子产品,4259.97,2,2,微信支付,西北,8519.94
ORD000074,U0124,2024-01-13,服装鞋帽,1607.48,3,4,微信支付,华东,4822.4400000000005
ORD000075,U0033,2024-01-13,美妆护肤,1469.45,4,3,支付宝,东北,5877.8
ORD000076,U0101,2024-01-14,服装鞋帽,1684.38,1,3,支付宝,华东,1684.38
ORD000077,U0012,2024-01-14,家居用品,2603.64,4,5,微信支付,华北,10414.56
ORD000078,U0067,2024-01-14,家居用品,1235.79,3,4,信用卡,华北,3707.37
ORD000079,U0065,2024-01-14,图书文具,170.0,1,5,银行卡,华南,170.0
ORD000080,U0074,2024-01-14,家居用品,776.59,3,4,微信支付,西北,2329.77
ORD000081,U0043,2024-01-14,图书文具,66.87,1,4,支付宝,华南,66.87
ORD000082,U0044,2024-01-14,家居用品,1526.41,1,2,微信支付,华东,1526.41
ORD000083,U0029,2024-01-15,美妆护肤,912.82,2,3,支付宝,西南,1825.64
ORD000084,U0141,2024-01-15,母婴用品,359.09,1,3,信用卡,华南,359.09
ORD000085,U0012,2024-01-15,图书文具,175.14,2,4,信用卡,华南,350.28
ORD000086,U0095,2024-01-15,食品饮料,444.29,2,5,银行卡,华北,888.58
ORD000087,U0046,2024-01-15,运动户外,1413.97,2,4,信用卡,西南,2827.94
ORD000088,U0130,2024-01-15,电子产品,5794.42,1,4,支付宝,东北,5794.42
ORD000089,U0035,2024-01-15,家居用品,2419.84,2,4,银行卡,华东,4839.68
ORD000090,U0081,2024-01-16,服装鞋帽,1977.8,2,2,支付宝,华南,3955.6
ORD000091,U0090,2024-01-16,母婴用品,615.1,2,4,信用卡,西南,1230.2
ORD000092,U0008,2024-01-16,家居用品,2424.41,1,3,支付宝,西北,2424.41
ORD000093,U0093,2024-01-17,服装鞋帽,1926.42,1,3,银行卡,西南,1926.42
ORD000094,U0090,2024-01-17,运动户外,2363.8,2,2,信用卡,华东,4727.6
ORD000095,U0115,2024-01-17,运动户外,395.65,1,4,支付宝,西南,395.65
ORD000096,U0105,2024-01-17,运动户外,1045.66,2,5,微信支付,西南,2091.32
ORD000097,U0135,2024-01-17,服装鞋帽,668.26,3,3,银行卡,西南,2004.78
ORD000098,U0058,2024-01-17,家居用品,279.04,2,3,微信支付,西北,558.08
ORD000099,U0114,2024-01-17,运动户外,1601.44,2,4,支付宝,华南,3202.88
ORD000100,U0075,2024-01-18,美妆护肤,1117.06,4,3,支付宝,华东,4468.24
ORD000101,U0120,2024-01-18,图书文具,255.96,3,5,支付宝,西北,767.88
ORD000102,U0021,2024-01-18,服装鞋帽,271.87,4,4,信用卡,西南,1087.48
ORD000103,U0138,2024-01-18,服装鞋帽,1756.59,3,4,微信支付,西南,5269.7699999999995
ORD000104,U0101,2024-01-18,家居用品,1935.92,1,4,支付宝,华南,1935.92
ORD000105,U0099,2024-01-19,服装鞋帽,1416.77,1,3,微信支付,华东,1416.77
ORD000106,U0036,2024-01-19,服装鞋帽,1823.93,2,4,微信支付,华北,3647.86
ORD000107,U0096,2024-01-20,运动户外,1580.67,1,4,支付宝,西北,1580.67
ORD000108,U0037,2024-01-20,家居用品,1020.88,1,5,微信支付,华南,1020.88
ORD000109,U0012,2024-01-20,运动户外,2071.51,1,3,支付宝,华东,2071.51
ORD000110,U0113,2024-01-20,图书文具,115.29,2,4,支付宝,西北,230.58
ORD000111,U0013,2024-01-20,母婴用品,63.2,2,4,银行卡,西南,126.4
ORD000112,U0023,2024-01-20,图书文具,250.89,2,1,支付宝,华东,501.78
ORD000113,U0099,2024-01-21,母婴用品,364.84,2,4,微信支付,华东,729.68
ORD000114,U0105,2024-01-21,运动户外,1945.89,3,5,微信支付,东北,5837.67
ORD000115,U0030,2024-01-21,图书文具,115.2,1,5,微信支付,华东,115.2
ORD000116,U0017,2024-01-21,家居用品,2585.98,3,3,微信支付,华北,7757.9400000000005
ORD000117,U0113,2024-01-21,电子产品,1834.13,1,5,微信支付,华东,1834.13
ORD000118,U0062,2024-01-21,运动户外,2437.64,4,5,信用卡,华北,9750.56
ORD000119,U0084,2024-01-21,母婴用品,786.37,2,5,微信支付,西南,1572.74
ORD000120,U0112,2024-01-21,美妆护肤,215.64,1,2,微信支付,华北,215.64
ORD000121,U0086,2024-01-21,母婴用品,578.8,1,5,信用卡,西北,578.8
ORD000122,U0141,2024-01-22,美妆护肤,1478.78,1,3,微信支付,西南,1478.78
ORD000123,U0019,2024-01-22,服装鞋帽,958.0,1,5,支付宝,西南,958.0
ORD000124,U0100,2024-01-22,图书文具,62.81,1,4,支付宝,华北,62.81
ORD000125,U0140,2024-01-22,美妆护肤,752.93,2,2,支付宝,华南,1505.86
ORD000126,U0147,2024-01-23,母婴用品,527.08,2,5,信用卡,华中,1054.16
ORD000127,U0076,2024-01-24,服装鞋帽,1491.12,2,3,银行卡,华东,2982.24
ORD000128,U0009,2024-01-24,电子产品,5620.88,4,5,信用卡,东北,22483.52
ORD000129,U0028,2024-01-25,家居用品,1219.6,2,5,微信支付,华中,2439.2
ORD000130,U0128,2024-01-25,家居用品,669.71,2,4,微信支付,华东,1339.42
ORD000131,U0052,2024-01-25,家居用品,1942.26,1,2,支付宝,华东,1942.26
ORD000132,U0083,2024-01-25,美妆护肤,661.47,2,4,微信支付,西南,1322.94
ORD000133,U0111,2024-01-25,电子产品,1144.98,1,2,微信支付,华东,1144.98
ORD000134,U0144,2024-01-26,美妆护肤,1355.83,5,1,货到付款,东北,6779.15
ORD000135,U0117,2024-01-26,图书文具,210.45,3,5,支付宝,华东,631.3499999999999
ORD000136,U0069,2024-01-26,美妆护肤,1040.62,2,3,微信支付,华北,2081.24
ORD000137,U0099,2024-01-27,电子产品,6598.41,1,4,微信支付,华中,6598.41
ORD000138,U0140,2024-01-27,电子产品,4284.33,3,5,微信支付,华北,12852.99
ORD000139,U0025,2024-01-27,图书文具,246.37,3,3,微信支付,东北,739.11
ORD000140,U0123,2024-01-27,电子产品,4034.92,1,3,银行卡,华东,4034.92
ORD000141,U0053,2024-01-27,母婴用品,95.16,1,5,支付宝,西北,95.16
ORD000142,U0144,2024-01-28,电子产品,3301.46,3,2,银行卡,东北,9904.380000000001
ORD000143,U0057,2024-01-28,家居用品,1502.45,1,5,微信支付,西南,1502.45
ORD000144,U0039,2024-01-28,母婴用品,728.6,4,5,信用卡,华北,2914.4
ORD000145,U0109,2024-01-28,母婴用品,133.38,1,5,信用卡,华北,133.38
ORD000146,U0042,2024-01-28,图书文具,50.61,1,4,支付宝,华南,50.61
ORD000147,U0142,2024-01-28,食品饮料,135.52,3,3,支付宝,华东,406.56000000000006
ORD000148,U0122,2024-01-28,食品饮料,136.92,1,3,货到付款,西南,136.92
ORD000149,U0133,2024-01-28,电子产品,5884.26,2,5,微信支付,西北,11768.52
ORD000150,U0075,2024-01-28,母婴用品,273.21,1,5,信用卡,华北,273.21
ORD000151,U0146,2024-01-29,食品饮料,318.38,1,4,支付宝,华北,318.38
ORD000152,U0076,2024-01-29,食品饮料,249.67,2,3,微信支付,西南,499.34
ORD000153,U0009,2024-01-29,电子产品,4629.03,2,2,信用卡,东北,9258.06
ORD000154,U0074,2024-01-29,食品饮料,419.86,2,2,信用卡,东北,839.72
ORD000155,U0145,2024-01-29,美妆护肤,636.35,3,5,支付宝,华东,1909.0500000000002
ORD000156,U0007,2024-01-29,服装鞋帽,1548.7,2,4,银行卡,华南,3097.4
ORD000157,U0141,2024-01-30,图书文具,132.39,1,5,微信支付,华北,132.39
ORD000158,U0137,2024-01-30,服装鞋帽,727.13,1,5,支付宝,华南,727.13
ORD000159,U0027,2024-01-30,电子产品,7673.15,4,3,微信支付,东北,30692.6
ORD000160,U0122,2024-01-30,家居用品,569.43,3,4,微信支付,东北,1708.29
ORD000161,U0005,2024-01-30,图书文具,36.2,2,4,信用卡,华中,72.4
ORD000162,U0029,2024-01-30,电子产品,6190.79,1,4,微信支付,西北,6190.79
ORD000163,U0083,2024-01-31,母婴用品,96.2,1,5,支付宝,华东,96.2
ORD000164,U0136,2024-01-31,家居用品,2514.5,2,5,支付宝,华中,5029.0
ORD000165,U0109,2024-01-31,服装鞋帽,891.27,3,5,微信支付,西北,2673.81
ORD000166,U0065,2024-01-31,电子产品,7332.56,2,3,支付宝,华中,14665.12
ORD000167,U0086,2024-01-31,母婴用品,729.89,3,1,银行卡,华中,2189.67
ORD000168,U0145,2024-01-31,图书文具,187.02,3,5,微信支付,华东,561.0600000000001
ORD000169,U0071,2024-02-01,图书文具,285.3,1,2,信用卡,华东,285.3
ORD000170,U0045,2024-02-01,运动户外,1021.79,1,3,货到付款,西南,1021.79
ORD000171,U0132,2024-02-01,母婴用品,955.46,1,1,微信支付,华南,955.46
ORD000172,U0036,2024-02-01,美妆护肤,245.75,1,4,信用卡,华南,245.75
ORD000173,U0070,2024-02-01,食品饮料,244.46,3,3,银行卡,西南,733.38
ORD000174,U0019,2024-02-01,家居用品,824.34,1,4,微信支付,西南,824.34
ORD000175,U0108,2024-02-01,母婴用品,553.65,2,5,支付宝,东北,1107.3
ORD000176,U0091,2024-02-01,运动户外,446.93,1,2,微信支付,西北,446.93
ORD000177,U0090,2024-02-01,食品饮料,421.56,1,2,微信支付,华中,421.56
ORD000178,U0019,2024-02-01,食品饮料,423.97,1,3,信用卡,西南,423.97
ORD000179,U0039,2024-02-02,电子产品,7646.37,1,5,微信支付,华北,7646.37
ORD000180,U0126,2024-02-02,食品饮料,81.56,2,3,信用卡,华南,163.12
ORD000181,U0141,2024-02-03,美妆护肤,953.83,1,4,微信支付,西南,953.83
ORD000182,U0126,2024-02-03,图书文具,147.53,2,2,支付宝,华北,295.06
ORD000183,U0058,2024-02-03,运动户外,893.74,1,5,货到付款,华北,893.74
ORD000184,U0148,2024-02-03,食品饮料,179.01,1,4,微信支付,华北,179.01
ORD000185,U0061,2024-02-03,电子产品,3361.07,1,5,微信支付,东北,3361.07
ORD000186,U0127,2024-02-03,美妆护肤,1072.14,2,5,微信支付,东北,2144.28
ORD000187,U0105,2024-02-03,服装鞋帽,1208.62,2,3,支付宝,华北,2417.24
ORD000188,U0001,2024-02-03,图书文具,143.31,1,5,微信支付,西北,143.31
ORD000189,U0131,2024-02-03,图书文具,32.02,1,2,微信支付,东北,32.02
ORD000190,U0092,2024-02-03,运动户外,240.53,2,5,微信支付,华中,481.06
ORD000191,U0113,2024-02-03,图书文具,10.68,1,4,货到付款,华北,10.68
ORD000192,U0056,2024-02-03,食品饮料,484.01,1,5,微信支付,华中,484.01
ORD000193,U0117,2024-02-04,电子产品,141.51,3,1,支付宝,华中,424.53
ORD000194,U0134,2024-02-04,图书文具,39.9,2,3,微信支付,华北,79.8
ORD000195,U0058,2024-02-04,图书文具,101.23,1,4,信用卡,华南,101.23
ORD000196,U0044,2024-02-04,服装鞋帽,1620.64,4,4,支付宝,西北,6482.56
ORD000197,U0061,2024-02-04,服装鞋帽,1925.33,3,3,支付宝,华北,5775.99
ORD000198,U0047,2024-02-05,家居用品,2374.24,1,4,支付宝,华北,2374.24
ORD000199,U0149,2024-02-05,美妆护肤,1051.31,2,2,支付宝,东北,2102.62
ORD000200,U0080,2024-02-05,食品饮料,263.04,2,4,信用卡,华北,526.08
ORD000201,U0118,2024-02-05,图书文具,35.14,1,5,银行卡,华南,35.14
ORD000202,U0147,2024-02-05,母婴用品,959.43,1,4,微信支付,东北,959.43
ORD000203,U0020,2024-02-05,图书文具,229.93,1,1,微信支付,华东,229.93
ORD000204,U0146,2024-02-05,电子产品,5147.7,2,4,微信支付,华东,10295.4
ORD000205,U0047,2024-02-06,家居用品,2281.93,1,1,货到付款,华中,2281.93
ORD000206,U0049,2024-02-06,美妆护肤,1099.95,3,5,货到付款,西北,3299.8500000000004
ORD000207,U0014,2024-02-06,母婴用品,648.11,2,2,微信支付,华中,1296.22
ORD000208,U0143,2024-02-07,家居用品,2942.12,1,5,信用卡,华南,2942.12
ORD000209,U0001,2024-02-07,运动户外,2263.24,2,5,银行卡,西南,4526.48
ORD000210,U0117,2024-02-07,美妆护肤,987.66,1,5,支付宝,西北,987.66
ORD000211,U0054,2024-02-07,图书文具,211.02,2,4,支付宝,华东,422.04
ORD000212,U0118,2024-02-08,图书文具,24.96,2,5,微信支付,华中,49.92
ORD000213,U0003,2024-02-08,美妆护肤,1021.38,1,5,银行卡,华东,1021.38
ORD000214,U0144,2024-02-08,图书文具,22.81,1,4,货到付款,华南,22.81
ORD000215,U0012,2024-02-08,食品饮料,296.19,1,4,银行卡,华南,296.19
ORD000216,U0074,2024-02-09,美妆护肤,1499.06,1,4,信用卡,西南,1499.06
ORD000217,U0016,2024-02-09,家居用品,1676.3,1,4,微信支付,西南,1676.3
ORD000218,U0102,2024-02-09,美妆护肤,736.15,1,4,信用卡,东北,736.15
ORD000219,U0117,2024-02-10,母婴用品,333.47,5,4,银行卡,西北,1667.3500000000001
ORD000220,U0008,2024-02-10,图书文具,44.95,1,3,微信支付,华南,44.95
ORD000221,U0122,2024-02-10,食品饮料,366.86,1,2,微信支付,华中,366.86
ORD000222,U0092,2024-02-10,食品饮料,100.34,2,2,信用卡,华东,200.68
ORD000223,U0090,2024-02-10,运动户外,332.44,1,3,支付宝,华北,332.44
ORD000224,U0136,2024-02-10,家居用品,1276.85,4,1,信用卡,西南,5107.4
ORD000225,U0060,2024-02-11,服装鞋帽,1596.82,2,4,支付宝,华北,3193.64
ORD000226,U0028,2024-02-11,服装鞋帽,1497.78,3,3,微信支付,华中,4493.34
ORD000227,U0101,2024-02-12,美妆护肤,129.58,1,5,信用卡,西南,129.58
ORD000228,U0041,2024-02-12,运动户外,1165.1,1,2,支付宝,华北,1165.1
ORD000229,U0145,2024-02-13,电子产品,4227.23,1,3,支付宝,西北,4227.23
ORD000230,U0141,2024-02-13,美妆护肤,984.59,3,5,微信支付,华中,2953.77
ORD000231,U0046,2024-02-13,运动户外,1642.91,1,4,信用卡,华东,1642.91
ORD000232,U0035,2024-02-13,家居用品,1106.8,1,2,支付宝,西北,1106.8
ORD000233,U0134,2024-02-13,家居用品,1690.82,5,5,信用卡,华中,8454.1
ORD000234,U0082,2024-02-13,家居用品,1453.56,1,5,支付宝,东北,1453.56
ORD000235,U0115,2024-02-14,家居用品,2657.3,1,3,货到付款,西南,2657.3
ORD000236,U0047,2024-02-14,家居用品,1600.19,1,3,货到付款,华南,1600.19
ORD000237,U0010,2024-02-15,运动户外,1130.53,5,5,微信支付,华东,5652.65
ORD000238,U0056,2024-02-15,运动户外,1040.99,1,4,微信支付,西北,1040.99
ORD000239,U0030,2024-02-15,食品饮料,288.35,2,4,微信支付,西北,576.7
ORD000240,U0109,2024-02-15,母婴用品,809.86,3,5,微信支付,华北,2429.58
ORD000241,U0005,2024-02-15,服装鞋帽,1090.65,1,3,支付宝,西南,1090.65
ORD000242,U0119,2024-02-16,图书文具,201.88,2,4,支付宝,华南,403.76
ORD000243,U0033,2024-02-16,家居用品,2218.81,1,3,支付宝,华中,2218.81
ORD000244,U0118,2024-02-16,电子产品,4209.33,1,5,微信支付,华南,4209.33
ORD000245,U0065,2024-02-16,图书文具,133.78,3,4,支付宝,西南,401.34000000000003
ORD000246,U0146,2024-02-16,运动户外,2197.83,3,4,微信支付,西南,6593.49
ORD000247,U0011,2024-02-17,电子产品,3398.3,2,3,货到付款,东北,6796.6
ORD000248,U0085,2024-02-17,电子产品,3749.35,2,3,微信支付,东北,7498.7
ORD000249,U0026,2024-02-17,电子产品,7923.7,1,4,微信支付,华南,7923.7
ORD000250,U0063,2024-02-17,食品饮料,5.12,1,5,微信支付,华中,5.12
ORD000251,U0086,2024-02-17,运动户外,504.41,1,4,信用卡,华南,504.41
ORD000252,U0059,2024-02-18,电子产品,3133.31,1,1,信用卡,西南,3133.31
ORD000253,U0027,2024-02-18,家居用品,2799.12,1,5,信用卡,西南,2799.12
ORD000254,U0098,2024-02-18,美妆护肤,151.54,1,2,货到付款,华北,151.54
ORD000255,U0105,2024-02-18,电子产品,174.93,1,5,支付宝,东北,174.93
ORD000256,U0099,2024-02-18,食品饮料,31.08,1,1,信用卡,华北,31.08
ORD000257,U0129,2024-02-18,图书文具,35.68,2,4,银行卡,华东,71.36
ORD000258,U0149,2024-02-19,运动户外,142.11,3,2,支付宝,西南,426.33000000000004
ORD000259,U0055,2024-02-19,母婴用品,495.39,1,5,货到付款,华北,495.39
ORD000260,U0006,2024-02-20,食品饮料,292.47,4,4,支付宝,华南,1169.88
ORD000261,U0095,2024-02-20,电子产品,2246.33,3,2,微信支付,东北,6738.99
ORD000262,U0133,2024-02-21,运动户外,1025.8,1,3,支付宝,东北,1025.8
ORD000263,U0102,2024-02-21,美妆护肤,182.96,3,3,微信支付,华中,548.88
ORD000264,U0003,2024-02-21,电子产品,2757.33,2,3,银行卡,华南,5514.66
ORD000265,U0023,2024-02-21,食品饮料,263.65,2,5,微信支付,华中,527.3
ORD000266,U0053,2024-02-21,服装鞋帽,1472.58,1,4,微信支付,华北,1472.58
ORD000267,U0083,2024-02-21,家居用品,29.97,2,5,支付宝,西北,59.94
ORD000268,U0145,2024-02-22,母婴用品,483.29,1,4,信用卡,华东,483.29
ORD000269,U0085,2024-02-22,图书文具,96.13,2,4,支付宝,华南,192.26
ORD000270,U0078,2024-02-22,食品饮料,427.15,2,2,微信支付,华南,854.3
ORD000271,U0110,2024-02-23,运动户外,1803.11,2,3,信用卡,华南,3606.22
ORD000272,U0001,2024-02-23,母婴用品,601.44,2,5,信用卡,华中,1202.88
ORD000273,U0051,2024-02-24,母婴用品,298.95,2,5,微信支付,华北,597.9
ORD000274,U0004,2024-02-24,母婴用品,913.03,1,3,银行卡,华南,913.03
ORD000275,U0113,2024-02-24,电子产品,456.3,1,3,信用卡,西北,456.3
ORD000276,U0032,2024-02-24,家居用品,346.21,3,4,信用卡,华南,1038.6299999999999
ORD000277,U0034,2024-02-24,电子产品,3193.88,1,5,微信支付,东北,3193.88
ORD000278,U0092,2024-02-24,运动户外,354.87,1,3,支付宝,华东,354.87
ORD000279,U0095,2024-02-24,电子产品,7655.68,1,4,支付宝,东北,7655.68
ORD000280,U0072,2024-02-24,服装鞋帽,1602.04,1,5,支付宝,东北,1602.04
ORD000281,U0039,2024-02-24,家居用品,791.77,4,1,微信支付,华东,3167.08
ORD000282,U0118,2024-02-24,家居用品,1773.89,2,1,支付宝,西北,3547.78
ORD000283,U0003,2024-02-25,运动户外,2456.71,4,4,微信支付,华北,9826.84
ORD000284,U0123,2024-02-25,图书文具,266.42,2,5,微信支付,东北,532.84
ORD000285,U0050,2024-02-25,服装鞋帽,1213.57,1,3,支付宝,华北,1213.57
ORD000286,U0012,2024-02-26,食品饮料,452.34,1,4,信用卡,东北,452.34
ORD000287,U0054,2024-02-26,电子产品,7914.56,2,4,微信支付,西南,15829.12
ORD000288,U0133,2024-02-26,美妆护肤,1127.86,1,4,支付宝,华东,1127.86
ORD000289,U0057,2024-02-26,电子产品,613.39,3,4,信用卡,东北,1840.17
ORD000290,U0145,2024-02-27,母婴用品,419.53,3,4,支付宝,西南,1258.59
ORD000291,U0112,2024-02-27,电子产品,6718.82,1,4,银行卡,华中,6718.82
ORD000292,U0047,2024-02-27,食品饮料,119.13,4,4,银行卡,西南,476.52
ORD000293,U0085,2024-02-28,电子产品,6662.08,3,4,微信支付,华南,19986.239999999998
ORD000294,U0142,2024-02-28,服装鞋帽,267.07,2,4,信用卡,东北,534.14
ORD000295,U0066,2024-02-28,服装鞋帽,122.48,1,5,微信支付,西南,122.48
ORD000296,U0075,2024-02-28,家居用品,1164.59,1,1,微信支付,华北,1164.59
ORD000297,U0103,2024-02-28,运动户外,139.99,2,5,支付宝,华中,279.98
ORD000298,U0038,2024-02-28,图书文具,287.61,1,5,支付宝,西北,287.61
ORD000299,U0050,2024-02-28,美妆护肤,1248.0,1,3,信用卡,东北,1248.0
ORD000300,U0098,2024-02-29,母婴用品,806.75,3,4,微信支付,华南,2420.25
ORD000301,U0082,2024-02-29,电子产品,5075.25,1,4,微信支付,西北,5075.25
ORD000302,U0030,2024-02-29,电子产品,1808.96,2,3,微信支付,西南,3617.92
ORD000303,U0079,2024-02-29,食品饮料,261.54,4,4,微信支付,西北,1046.16
ORD000304,U0091,2024-03-01,运动户外,1513.32,3,1,支付宝,西北,4539.96
ORD000305,U0052,2024-03-01,服装鞋帽,1064.31,1,3,微信支付,华中,1064.31
ORD000306,U0079,2024-03-01,美妆护肤,427.34,3,5,银行卡,西北,1282.02
ORD000307,U0030,2024-03-02,家居用品,1555.44,1,3,支付宝,西北,1555.44
ORD000308,U0106,2024-03-02,服装鞋帽,997.64,1,5,支付宝,东北,997.64
ORD000309,U0051,2024-03-03,母婴用品,996.45,2,4,支付宝,华中,1992.9
ORD000310,U0081,2024-03-03,运动户外,2248.72,1,5,微信支付,华南,2248.72
ORD000311,U0133,2024-03-03,母婴用品,479.48,1,4,信用卡,西南,479.48
ORD000312,U0029,2024-03-03,图书文具,190.65,2,1,支付宝,华中,381.3
ORD000313,U0132,2024-03-03,家居用品,2248.66,1,4,支付宝,华中,2248.66
ORD000314,U0138,2024-03-03,图书文具,20.11,1,1,支付宝,华东,20.11
ORD000315,U0145,2024-03-04,食品饮料,447.99,1,4,银行卡,华中,447.99
ORD000316,U0074,2024-03-04,母婴用品,864.32,3,5,微信支付,华东,2592.96
