用户ID,订单时间,商品类别,单价,数量,订单金额,评分,支付方式,日期,月份,星期,小时
USER_0418,2023-04-25 17:06:03,家居用品,367.89,4,1471.56,5.0,支付宝,2023-04-25,2023-04,Tuesday,17
USER_0394,2023-04-11 17:23:34,图书音像,94.27,5,471.35,4.0,支付宝,2023-04-11,2023-04,Tuesday,17
USER_0525,2023-01-23 17:34:40,服装鞋帽,450.75,1,1110.13,4.0,支付宝,2023-01-23,2023-01,Monday,17
USER_0019,2023-02-18 12:11:40,运动户外,742.07,4,2968.28,5.0,微信支付,2023-02-18,2023-02,Saturday,12
USER_0367,2023-01-16 13:04:34,家居用品,567.09,5,2835.45,3.0,微信支付,2023-01-16,2023-01,Monday,13
USER_0569,2023-02-08 21:52:41,图书音像,199.27,3,597.81,2.0,微信支付,2023-02-08,2023-02,Wednesday,21
USER_0235,2023-03-16 10:46:11,家居用品,841.85,5,4209.25,5.0,支付宝,2023-03-16,2023-03,Thursday,10
USER_0393,2023-02-19 19:57:01,电子产品,515.7,5,2578.5,5.0,支付宝,2023-02-19,2023-02,Sunday,19
USER_0500,2023-01-17 15:24:44,美妆护肤,200.6,5,1003.0,2.0,支付宝,2023-01-17,2023-01,Tuesday,15
USER_0167,2023-04-01 18:25:18,电子产品,2294.88875,4,6641.0175,1.0,微信支付,2023-04-01,2023-04,Saturday,18
USER_0476,2023-03-13 21:40:38,美妆护肤,300.02,4,1200.08,5.0,支付宝,2023-03-13,2023-03,Monday,21
USER_0117,2023-01-06 18:43:44,图书音像,27.77,5,138.85,5.0,银行卡,2023-01-06,2023-01,Friday,18
USER_0229,2023-02-05 11:18:19,电子产品,914.46,1,914.46,3.0,微信支付,2023-02-05,2023-02,Sunday,11
USER_0259,2023-01-16 15:56:10,服装鞋帽,762.81,4,3051.24,5.0,支付宝,2023-01-16,2023-01,Monday,15
USER_0373,2023-01-08 18:27:35,食品饮料,77.14,4,308.56,4.0,支付宝,2023-01-08,2023-01,Sunday,18
USER_0502,2023-03-04 09:08:32,服装鞋帽,502.09,5,2510.45,3.0,银行卡,2023-03-04,2023-03,Saturday,9
USER_0253,2023-01-06 10:50:04,家居用品,435.7,2,871.4,5.0,微信支付,2023-01-06,2023-01,Friday,10
USER_0005,2023-04-29 16:32:53,美妆护肤,493.89,5,2469.45,3.0,微信支付,2023-04-29,2023-04,Saturday,16
USER_0217,2023-03-27 19:26:48,美妆护肤,244.97,1,244.97,4.0,支付宝,2023-03-27,2023-03,Monday,19
USER_0518,2023-04-02 09:04:30,美妆护肤,458.32,5,2291.6,4.0,银行卡,2023-04-02,2023-04,Sunday,9
USER_0458,2023-03-24 09:20:13,电子产品,1332.07,4,5328.28,3.0,支付宝,2023-03-24,2023-03,Friday,9
USER_0488,2023-02-01 10:27:30,电子产品,2294.88875,3,6641.0175,4.0,微信支付,2023-02-01,2023-02,Wednesday,10
USER_0268,2023-03-06 14:43:04,电子产品,2294.88875,5,6641.0175,4.0,微信支付,2023-03-06,2023-03,Monday,14
USER_0578,2023-03-16 11:38:37,家居用品,981.05,2,1962.1,4.0,支付宝,2023-03-16,2023-03,Thursday,11
USER_0435,2023-03-04 10:51:56,食品饮料,158.89,2,317.78,4.0,微信支付,2023-03-04,2023-03,Saturday,10
USER_0133,2023-01-29 12:09:55,运动户外,1549.39,5,6641.0175,2.0,银行卡,2023-01-29,2023-01,Sunday,12
USER_0053,2023-03-07 21:42:42,电子产品,471.73,3,1415.19,2.0,支付宝,2023-03-07,2023-03,Tuesday,21
USER_0520,2023-01-04 16:03:55,服装鞋帽,705.74,2,1411.48,4.0,微信支付,2023-01-04,2023-01,Wednesday,16
USER_0051,2023-01-19 13:04:17,服装鞋帽,182.76,1,182.76,2.0,微信支付,2023-01-19,2023-01,Thursday,13
USER_0524,2023-03-31 10:48:13,服装鞋帽,291.19,1,291.19,2.0,微信支付,2023-03-31,2023-03,Friday,10
USER_0056,2023-04-04 19:47:16,服装鞋帽,654.65,5,3273.25,5.0,银行卡,2023-04-04,2023-04,Tuesday,19
USER_0303,2023-02-25 14:13:25,美妆护肤,275.01,2,550.02,4.0,支付宝,2023-02-25,2023-02,Saturday,14
USER_0312,2023-04-25 15:02:46,运动户外,1511.75,2,3023.5,1.0,支付宝,2023-04-25,2023-04,Tuesday,15
USER_0015,2023-03-05 17:54:36,电子产品,2294.88875,2,5726.86,5.0,微信支付,2023-03-05,2023-03,Sunday,17
USER_0537,2023-01-17 21:19:24,家居用品,795.5,4,3182.0,4.0,微信支付,2023-01-17,2023-01,Tuesday,21
USER_0034,2023-04-21 16:39:48,食品饮料,81.97,4,327.88,3.0,微信支付,2023-04-21,2023-04,Friday,16
USER_0443,2023-02-25 19:44:05,家居用品,260.11,4,1040.44,2.0,微信支付,2023-02-25,2023-02,Saturday,19
USER_0446,2023-03-03 16:54:08,电子产品,2294.88875,4,6641.0175,4.0,银行卡,2023-03-03,2023-03,Friday,16
USER_0006,2023-03-07 12:27:10,运动户外,1643.29,3,4929.87,3.0,微信支付,2023-03-07,2023-03,Tuesday,12
USER_0194,2023-03-20 19:07:25,服装鞋帽,627.12,4,2508.48,3.0,支付宝,2023-03-20,2023-03,Monday,19
USER_0225,2023-01-20 09:11:46,家居用品,774.75,3,2324.25,2.0,银行卡,2023-01-20,2023-01,Friday,9
USER_0259,2023-02-02 14:49:55,电子产品,410.54,5,2052.7,5.0,微信支付,2023-02-02,2023-02,Thursday,14
USER_0596,2023-03-06 13:08:16,电子产品,2294.88875,3,6641.0175,4.0,支付宝,2023-03-06,2023-03,Monday,13
USER_0581,2023-03-03 20:43:49,电子产品,2294.88875,4,6641.0175,5.0,支付宝,2023-03-03,2023-03,Friday,20
USER_0513,2023-02-09 14:59:28,电子产品,2294.88875,3,6641.0175,3.0,支付宝,2023-02-09,2023-02,Thursday,14
USER_0005,2023-03-24 19:13:25,运动户外,666.58,2,1333.16,4.0,微信支付,2023-03-24,2023-03,Friday,19
USER_0295,2023-04-14 11:37:32,美妆护肤,261.31,1,261.31,3.0,支付宝,2023-04-14,2023-04,Friday,11
USER_0104,2023-02-20 15:50:05,运动户外,1274.03,4,5096.12,3.0,微信支付,2023-02-20,2023-02,Monday,15
USER_0289,2023-04-26 15:26:35,图书音像,155.43,3,466.29,5.0,微信支付,2023-04-26,2023-04,Wednesday,15
USER_0254,2023-03-09 14:01:09,食品饮料,153.38,5,766.9,2.0,支付宝,2023-03-09,2023-03,Thursday,14
USER_0228,2023-04-19 16:51:55,食品饮料,112.57,4,450.28,4.0,微信支付,2023-04-19,2023-04,Wednesday,16
USER_0130,2023-01-27 11:50:35,食品饮料,57.84,3,173.52,3.0,银行卡,2023-01-27,2023-01,Friday,11
USER_0550,2023-01-06 16:22:46,服装鞋帽,511.21,2,1022.42,5.0,微信支付,2023-01-06,2023-01,Friday,16
USER_0460,2023-04-18 12:47:03,美妆护肤,31.05,1,31.05,4.0,微信支付,2023-04-18,2023-04,Tuesday,12
USER_0378,2023-01-09 14:50:28,电子产品,2294.88875,1,4218.15,5.0,支付宝,2023-01-09,2023-01,Monday,14
USER_0405,2023-03-31 12:53:22,运动户外,1746.3,5,6641.0175,4.0,支付宝,2023-03-31,2023-03,Friday,12
USER_0309,2023-01-09 18:51:56,电子产品,1734.15,1,1734.15,4.0,微信支付,2023-01-09,2023-01,Monday,18
USER_0386,2023-01-07 10:26:33,运动户外,1194.78,3,3584.34,1.0,支付宝,2023-01-07,2023-01,Saturday,10
USER_0025,2023-03-12 12:05:52,运动户外,756.67,2,1513.34,4.0,支付宝,2023-03-12,2023-03,Sunday,12
USER_0469,2023-02-18 15:16:19,食品饮料,115.89,5,579.45,5.0,支付宝,2023-02-18,2023-02,Saturday,15
USER_0327,2023-01-01 21:29:22,服装鞋帽,649.84,5,3249.2,3.0,微信支付,2023-01-01,2023-01,Sunday,21
USER_0477,2023-01-30 16:18:17,服装鞋帽,585.54,4,2342.16,4.0,支付宝,2023-01-30,2023-01,Monday,16
USER_0222,2023-02-07 11:03:00,服装鞋帽,106.63,2,213.26,5.0,支付宝,2023-02-07,2023-02,Tuesday,11
USER_0162,2023-04-07 15:54:27,美妆护肤,436.16,1,436.16,4.0,支付宝,2023-04-07,2023-04,Friday,15
USER_0443,2023-03-13 14:56:46,食品饮料,178.62,2,357.24,4.0,微信支付,2023-03-13,2023-03,Monday,14
USER_0088,2023-03-19 16:45:42,图书音像,189.99,2,379.98,3.0,支付宝,2023-03-19,2023-03,Sunday,16
USER_0151,2023-03-26 11:47:18,食品饮料,90.07,5,450.35,5.0,支付宝,2023-03-26,2023-03,Sunday,11
USER_0386,2023-03-08 15:54:11,美妆护肤,185.69,1,185.69,5.0,支付宝,2023-03-08,2023-03,Wednesday,15
USER_0500,2023-03-27 20:23:16,运动户外,1000.49,1,1000.49,5.0,支付宝,2023-03-27,2023-03,Monday,20
USER_0209,2023-01-14 17:39:01,家居用品,280.15,3,840.45,3.0,支付宝,2023-01-14,2023-01,Saturday,17
USER_0442,2023-01-29 21:33:22,家居用品,827.91,2,1655.82,4.0,微信支付,2023-01-29,2023-01,Sunday,21
USER_0034,2023-01-17 13:24:37,美妆护肤,119.08,5,595.4,1.0,支付宝,2023-01-17,2023-01,Tuesday,13
USER_0287,2023-01-06 19:39:33,家居用品,675.09,5,3375.45,3.0,微信支付,2023-01-06,2023-01,Friday,19
USER_0476,2023-03-03 18:45:01,电子产品,2294.88875,4,6641.0175,2.0,微信支付,2023-03-03,2023-03,Friday,18
USER_0029,2023-01-21 19:39:10,服装鞋帽,589.28,3,1767.84,3.0,银行卡,2023-01-21,2023-01,Saturday,19
USER_0055,2023-04-21 16:53:21,美妆护肤,123.17,4,492.68,1.0,支付宝,2023-04-21,2023-04,Friday,16
USER_0244,2023-04-17 09:58:44,电子产品,2294.88875,1,3154.33,4.0,支付宝,2023-04-17,2023-04,Monday,9
USER_0017,2023-01-01 17:42:39,服装鞋帽,234.8,5,1174.0,5.0,支付宝,2023-01-01,2023-01,Sunday,17
USER_0435,2023-04-04 14:33:11,服装鞋帽,118.69,5,593.45,5.0,微信支付,2023-04-04,2023-04,Tuesday,14
USER_0569,2023-02-24 09:46:11,食品饮料,175.86,5,879.3,5.0,微信支付,2023-02-24,2023-02,Friday,9
USER_0485,2023-04-28 14:07:24,运动户外,1311.0,1,1311.0,4.0,银行卡,2023-04-28,2023-04,Friday,14
USER_0047,2023-02-01 18:15:06,图书音像,120.05,5,600.25,4.0,微信支付,2023-02-01,2023-02,Wednesday,18
USER_0498,2023-02-28 15:28:17,美妆护肤,46.34,3,139.02,4.0,微信支付,2023-02-28,2023-02,Tuesday,15
USER_0273,2023-01-14 16:34:43,电子产品,477.07,2,954.14,4.0,微信支付,2023-01-14,2023-01,Saturday,16
USER_0364,2023-02-08 16:48:03,美妆护肤,173.0,5,865.0,4.0,微信支付,2023-02-08,2023-02,Wednesday,16
USER_0450,2023-02-24 11:41:33,电子产品,2294.88875,3,6641.0175,4.0,支付宝,2023-02-24,2023-02,Friday,11
USER_0029,2023-03-03 09:28:52,食品饮料,120.34,1,120.34,3.0,微信支付,2023-03-03,2023-03,Friday,9
USER_0359,2023-03-25 13:00:29,电子产品,2294.88875,2,4779.64,3.0,支付宝,2023-03-25,2023-03,Saturday,13
USER_0293,2023-01-25 09:52:45,电子产品,636.39,4,2545.56,4.0,支付宝,2023-01-25,2023-01,Wednesday,9
USER_0061,2023-04-11 19:59:05,图书音像,179.16,5,895.8,4.0,银行卡,2023-04-11,2023-04,Tuesday,19
USER_0564,2023-01-04 19:07:19,美妆护肤,130.67,2,261.34,5.0,支付宝,2023-01-04,2023-01,Wednesday,19
USER_0218,2023-02-10 09:57:02,美妆护肤,404.37,1,404.37,4.0,微信支付,2023-02-10,2023-02,Friday,9
USER_0020,2023-04-23 21:58:41,食品饮料,103.33,3,309.99,5.0,微信支付,2023-04-23,2023-04,Sunday,21
USER_0120,2023-04-21 17:08:03,食品饮料,27.38,3,82.14,5.0,支付宝,2023-04-21,2023-04,Friday,17
USER_0541,2023-01-09 11:24:33,运动户外,1628.56,5,6641.0175,4.0,微信支付,2023-01-09,2023-01,Monday,11
USER_0226,2023-03-29 20:14:37,服装鞋帽,592.57,5,2962.85,4.0,支付宝,2023-03-29,2023-03,Wednesday,20
USER_0593,2023-04-24 16:44:31,食品饮料,182.24,2,364.48,4.0,微信支付,2023-04-24,2023-04,Monday,16
USER_0289,2023-01-06 16:18:15,家居用品,855.06,1,855.06,5.0,支付宝,2023-01-06,2023-01,Friday,16
USER_0557,2023-03-30 13:41:35,家居用品,760.14,3,2280.42,3.0,银行卡,2023-03-30,2023-03,Thursday,13
USER_0031,2023-01-23 18:09:31,服装鞋帽,607.63,4,2430.52,3.0,微信支付,2023-01-23,2023-01,Monday,18
USER_0589,2023-04-03 20:38:01,服装鞋帽,512.7,1,512.7,5.0,支付宝,2023-04-03,2023-04,Monday,20
USER_0448,2023-03-29 21:34:47,电子产品,2294.88875,2,6641.0175,4.0,支付宝,2023-03-29,2023-03,Wednesday,21
USER_0572,2023-03-20 13:28:21,运动户外,1391.38,3,1110.13,2.0,支付宝,2023-03-20,2023-03,Monday,13
USER_0524,2023-01-22 09:09:53,服装鞋帽,515.69,2,1031.38,1.0,银行卡,2023-01-22,2023-01,Sunday,9
USER_0285,2023-03-17 12:58:34,食品饮料,82.89,1,82.89,2.0,支付宝,2023-03-17,2023-03,Friday,12
USER_0079,2023-02-01 11:10:57,电子产品,878.8,4,3515.2,4.0,支付宝,2023-02-01,2023-02,Wednesday,11
USER_0397,2023-04-15 15:14:54,美妆护肤,163.22,4,652.88,5.0,微信支付,2023-04-15,2023-04,Saturday,15
USER_0539,2023-03-08 09:43:55,服装鞋帽,757.71,3,2273.13,4.0,银行卡,2023-03-08,2023-03,Wednesday,9
USER_0453,2023-01-03 19:00:57,运动户外,498.41,1,498.41,3.0,微信支付,2023-01-03,2023-01,Tuesday,19
USER_0524,2023-01-18 20:15:26,图书音像,53.39,5,266.95,5.0,支付宝,2023-01-18,2023-01,Wednesday,20
USER_0027,2023-02-15 10:51:06,家居用品,157.31,4,629.24,1.0,银行卡,2023-02-15,2023-02,Wednesday,10
USER_0558,2023-01-15 17:29:13,食品饮料,125.39,1,125.39,3.0,支付宝,2023-01-15,2023-01,Sunday,17
USER_0501,2023-04-27 10:23:07,服装鞋帽,391.42,2,782.84,1.0,微信支付,2023-04-27,2023-04,Thursday,10
USER_0338,2023-04-20 14:31:10,家居用品,864.32,3,2592.96,5.0,支付宝,2023-04-20,2023-04,Thursday,14
USER_0088,2023-02-10 09:11:56,食品饮料,13.49,4,53.96,4.0,微信支付,2023-02-10,2023-02,Friday,9
USER_0242,2023-04-07 10:32:32,运动户外,210.89,2,421.78,5.0,支付宝,2023-04-07,2023-04,Friday,10
USER_0194,2023-02-07 15:25:45,家居用品,826.8,4,1110.13,1.0,支付宝,2023-02-07,2023-02,Tuesday,15
USER_0317,2023-03-08 19:05:08,运动户外,151.34,2,302.68,4.0,银行卡,2023-03-08,2023-03,Wednesday,19
USER_0318,2023-03-25 19:06:10,运动户外,1117.81,2,2235.62,5.0,支付宝,2023-03-25,2023-03,Saturday,19
USER_0127,2023-02-10 20:41:13,电子产品,395.73,5,1978.65,3.0,支付宝,2023-02-10,2023-02,Friday,20
USER_0243,2023-01-19 15:45:35,美妆护肤,438.48,3,1315.44,4.0,支付宝,2023-01-19,2023-01,Thursday,15
USER_0549,2023-04-06 16:40:58,家居用品,223.56,5,1117.8,4.0,支付宝,2023-04-06,2023-04,Thursday,16
USER_0207,2023-04-07 15:11:48,运动户外,1467.98,4,1110.13,5.0,微信支付,2023-04-07,2023-04,Friday,15
USER_0364,2023-01-20 20:23:49,运动户外,1178.42,5,5892.1,4.0,支付宝,2023-01-20,2023-01,Friday,20
USER_0578,2023-03-20 10:35:05,家居用品,992.37,5,4961.85,3.0,支付宝,2023-03-20,2023-03,Monday,10
USER_0237,2023-01-18 16:20:14,电子产品,2294.88875,2,6641.0175,4.0,支付宝,2023-01-18,2023-01,Wednesday,16
USER_0334,2023-01-02 15:36:04,电子产品,2242.11,5,6641.0175,2.0,支付宝,2023-01-02,2023-01,Monday,15
USER_0504,2023-04-13 17:19:01,电子产品,2294.88875,4,6641.0175,3.0,支付宝,2023-04-13,2023-04,Thursday,17
USER_0229,2023-01-05 09:39:11,电子产品,2294.88875,3,6641.0175,4.0,微信支付,2023-01-05,2023-01,Thursday,9
USER_0270,2023-03-21 18:28:09,家居用品,171.38,3,514.14,4.0,银行卡,2023-03-21,2023-03,Tuesday,18
USER_0313,2023-03-05 14:19:27,电子产品,2294.88875,5,6641.0175,4.0,微信支付,2023-03-05,2023-03,Sunday,14
USER_0556,2023-02-25 20:46:14,食品饮料,112.58,2,225.16,1.0,支付宝,2023-02-25,2023-02,Saturday,20
USER_0293,2023-01-20 18:28:00,电子产品,2294.88875,5,6641.0175,5.0,支付宝,2023-01-20,2023-01,Friday,18
USER_0206,2023-01-12 18:19:52,食品饮料,140.33,1,140.33,1.0,微信支付,2023-01-12,2023-01,Thursday,18
USER_0185,2023-02-08 16:46:42,食品饮料,136.7,5,683.5,3.0,支付宝,2023-02-08,2023-02,Wednesday,16
USER_0375,2023-01-08 10:20:00,美妆护肤,94.96,2,189.92,3.0,微信支付,2023-01-08,2023-01,Sunday,10
USER_0119,2023-03-31 19:09:29,食品饮料,127.39,1,127.39,5.0,支付宝,2023-03-31,2023-03,Friday,19
USER_0345,2023-02-15 12:32:00,电子产品,2294.88875,5,6641.0175,4.0,微信支付,2023-02-15,2023-02,Wednesday,12
USER_0220,2023-03-07 10:05:08,运动户外,1987.01,5,6641.0175,5.0,微信支付,2023-03-07,2023-03,Tuesday,10
USER_0489,2023-03-16 12:33:37,服装鞋帽,550.7,2,1101.4,5.0,微信支付,2023-03-16,2023-03,Thursday,12
USER_0279,2023-03-24 21:10:00,电子产品,2294.88875,1,2768.0,1.0,支付宝,2023-03-24,2023-03,Friday,21
USER_0143,2023-01-21 11:59:28,服装鞋帽,228.16,4,912.64,4.0,支付宝,2023-01-21,2023-01,Saturday,11
USER_0267,2023-04-09 16:45:13,家居用品,479.59,2,959.18,4.0,银行卡,2023-04-09,2023-04,Sunday,16
USER_0450,2023-03-11 20:52:28,服装鞋帽,335.15,5,1675.75,4.0,支付宝,2023-03-11,2023-03,Saturday,20
USER_0043,2023-02-17 15:05:45,家居用品,956.86,3,2870.58,1.0,支付宝,2023-02-17,2023-02,Friday,15
USER_0117,2023-01-15 17:35:10,服装鞋帽,197.87,3,593.61,4.0,支付宝,2023-01-15,2023-01,Sunday,17
USER_0373,2023-02-21 19:28:46,食品饮料,120.38,2,240.76,2.0,支付宝,2023-02-21,2023-02,Tuesday,19
USER_0589,2023-01-04 18:24:29,电子产品,2294.88875,5,6641.0175,3.0,支付宝,2023-01-04,2023-01,Wednesday,18
USER_0312,2023-04-23 18:41:55,图书音像,107.04,1,107.04,5.0,支付宝,2023-04-23,2023-04,Sunday,18
USER_0362,2023-02-16 19:12:54,家居用品,529.72,2,1059.44,4.0,支付宝,2023-02-16,2023-02,Thursday,19
USER_0010,2023-03-29 18:56:41,运动户外,739.17,5,3695.85,3.0,支付宝,2023-03-29,2023-03,Wednesday,18
USER_0531,2023-04-10 20:38:09,美妆护肤,387.99,2,775.98,3.0,支付宝,2023-04-10,2023-04,Monday,20
USER_0561,2023-04-09 20:33:32,电子产品,569.0,3,1707.0,1.0,微信支付,2023-04-09,2023-04,Sunday,20
USER_0160,2023-01-11 18:08:13,家居用品,86.7,3,260.1,3.0,微信支付,2023-01-11,2023-01,Wednesday,18
USER_0554,2023-04-28 21:38:40,家居用品,991.52,3,2974.56,2.0,微信支付,2023-04-28,2023-04,Friday,21
USER_0102,2023-02-11 15:44:45,服装鞋帽,533.97,1,533.97,4.0,支付宝,2023-02-11,2023-02,Saturday,15
USER_0070,2023-02-10 15:03:12,食品饮料,22.85,3,68.55,5.0,微信支付,2023-02-10,2023-02,Friday,15
USER_0230,2023-03-13 10:02:53,电子产品,2294.88875,2,4677.22,3.0,银行卡,2023-03-13,2023-03,Monday,10
USER_0209,2023-02-04 10:22:29,服装鞋帽,485.36,5,2426.8,2.0,支付宝,2023-02-04,2023-02,Saturday,10
USER_0287,2023-02-16 17:54:15,服装鞋帽,367.02,4,1468.08,5.0,支付宝,2023-02-16,2023-02,Thursday,17
USER_0515,2023-01-16 21:22:27,图书音像,23.6,4,94.4,5.0,支付宝,2023-01-16,2023-01,Monday,21
USER_0286,2023-01-21 12:05:21,电子产品,2294.88875,4,6641.0175,2.0,微信支付,2023-01-21,2023-01,Saturday,12
USER_0509,2023-01-14 12:32:22,服装鞋帽,320.1,3,960.3,2.0,支付宝,2023-01-14,2023-01,Saturday,12
USER_0449,2023-03-16 11:51:22,图书音像,177.2,3,531.6,3.0,微信支付,2023-03-16,2023-03,Thursday,11
USER_0316,2023-04-11 12:41:11,运动户外,276.91,3,830.73,5.0,微信支付,2023-04-11,2023-04,Tuesday,12
USER_0462,2023-01-06 11:15:06,服装鞋帽,110.69,2,221.38,4.0,支付宝,2023-01-06,2023-01,Friday,11
USER_0466,2023-03-19 12:17:09,美妆护肤,83.61,4,334.44,5.0,微信支付,2023-03-19,2023-03,Sunday,12
USER_0110,2023-03-21 14:45:51,食品饮料,85.75,5,428.75,3.0,支付宝,2023-03-21,2023-03,Tuesday,14
USER_0537,2023-03-20 12:44:59,美妆护肤,78.58,4,314.32,4.0,支付宝,2023-03-20,2023-03,Monday,12
USER_0447,2023-01-06 21:42:01,家居用品,177.46,3,532.38,2.0,支付宝,2023-01-06,2023-01,Friday,21
USER_0345,2023-01-02 19:49:30,家居用品,984.17,3,2952.51,3.0,支付宝,2023-01-02,2023-01,Monday,19
